club_name,player_name,age,position,club_involved_name,fee,transfer_movement,transfer_period,fee_cleaned,league_name,year,season
Atlético de Madrid,Luis García,23,attack,UNAM Pumas,€720Th.,in,Summer,0.72,Primera Division,1992,1992/1993
Atlético de Madrid,Tilico,27,attack,São Paulo,?,in,Summer,NA,Primera Division,1992,1992/1993
Atlético de Madrid,Antonio Acosta,21,midfield,Atl. Madrid B,-,in,Summer,0,Primera Division,1992,1992/1993
Atlético de Madrid,Manolo Alfaro,21,Centre-Forward,Atl. Madrid B,-,in,Summer,0,Primera Division,1992,1992/1993
Atlético de Madrid,Pizo Gómez,28,midfield,Espanyol,"End of loanJun 30, 1992",in,Summer,0,Primera Division,1992,1992/1993
Atlético de Madrid,Tilico,27,attack,Atl. Marbella,loan transfer,out,Summer,NA,Primera Division,1992,1992/1993
Atlético de Madrid,Sebastián Losada,24,attack,Sevilla FC,?,out,Summer,NA,Primera Division,1992,1992/1993
Atlético de Madrid,Pizo Gómez,28,midfield,Rayo Vallecano,loan transfer,out,Summer,NA,Primera Division,1992,1992/1993
RCD Espanyol Barcelona,Goyo Fonseca,26,attack,Real Valladolid,€1.20m,in,Summer,1.2,Primera Division,1992,1992/1993
RCD Espanyol Barcelona,Juan José Elgezabal,28,Central Midfield,CD Logroñés,?,in,Summer,NA,Primera Division,1992,1992/1993
RCD Espanyol Barcelona,Santi Cuesta,20,Left-Back,Real Valladolid,?,in,Summer,NA,Primera Division,1992,1992/1993
RCD Espanyol Barcelona,Enrique Ayucar,26,midfield,Real Burgos CF,?,in,Summer,NA,Primera Division,1992,1992/1993
RCD Espanyol Barcelona,Emilio Isierte,28,Goalkeeper,Sporting Gijón,loan transfer,in,Summer,NA,Primera Division,1992,1992/1993
RCD Espanyol Barcelona,Antoni Lima,21,Centre-Back,CE L’Hospitalet,"End of loanJun 30, 1992",in,Summer,0,Primera Division,1992,1992/1993
RCD Espanyol Barcelona,Wolfram Wuttke,30,Second Striker,Saarbrücken,?,out,Summer,NA,Primera Division,1992,1992/1993
RCD Espanyol Barcelona,Antoni Lima,21,Centre-Back,Palamós CF,?,out,Summer,NA,Primera Division,1992,1992/1993
RCD Espanyol Barcelona,Javier Diaz Pons,24,midfield,CP Mérida,?,out,Summer,NA,Primera Division,1992,1992/1993
RCD Espanyol Barcelona,Carlos Alfaro,27,Left Winger,Palamós CF,?,out,Summer,NA,Primera Division,1992,1992/1993
RCD Espanyol Barcelona,José Luis Gallardo,20,Centre-Back,UE Lleida,?,out,Summer,NA,Primera Division,1992,1992/1993
RCD Espanyol Barcelona,Ezequiel Castillo,25,Central Midfield,CD Tenerife,?,out,Summer,NA,Primera Division,1992,1992/1993
RCD Espanyol Barcelona,Carlos Meléndez,35,Goalkeeper,Retired,-,out,Summer,0,Primera Division,1992,1992/1993
RCD Espanyol Barcelona,Pizo Gómez,28,midfield,Atlético Madrid,"End of loanJun 30, 1992",out,Summer,0,Primera Division,1992,1992/1993
Deportivo de La Coruña,Mauro Silva,24,Defensive Midfield,Bragantino,€1.60m,in,Summer,1.6,Primera Division,1992,1992/1993
Deportivo de La Coruña,Bebeto,28,Centre-Forward,Vasco da Gama,€700Th.,in,Summer,0.7,Primera Division,1992,1992/1993
Deportivo de La Coruña,Adolfo Aldana,26,Right Midfield,Real Madrid,?,in,Summer,NA,Primera Division,1992,1992/1993
Deportivo de La Coruña,Ramón,28,Centre-Forward,Sevilla FC,?,in,Summer,NA,Primera Division,1992,1992/1993
Deportivo de La Coruña,Atanas Kirov,22,Attacking Midfield,CD Málaga,?,in,Summer,NA,Primera Division,1992,1992/1993
Deportivo de La Coruña,Nando,25,defence,Valencia,?,in,Summer,NA,Primera Division,1992,1992/1993
Deportivo de La Coruña,Juanito,22,Right Winger,SD Compostela,?,in,Summer,NA,Primera Division,1992,1992/1993
Deportivo de La Coruña,Marcos Vales,17,Right Midfield,Fabril,-,in,Summer,0,Primera Division,1992,1992/1993
Deportivo de La Coruña,Zoran Stojadinovic,31,attack,UE Figueres,?,out,Summer,NA,Primera Division,1992,1992/1993
Deportivo de La Coruña,Jon Aspiazu,29,midfield,Sestao Sport,?,out,Summer,NA,Primera Division,1992,1992/1993
Deportivo de La Coruña,Martín Lasarte,31,defence,Defensor,?,out,Summer,NA,Primera Division,1992,1992/1993
Deportivo de La Coruña,Pepe Belman,21,Goalkeeper,R. B. Linense,?,out,Summer,NA,Primera Division,1992,1992/1993
Deportivo de La Coruña,Pello Uralde,34,Centre-Forward,Retired,-,out,Summer,0,Primera Division,1992,1992/1993
Deportivo de La Coruña,Gustavo Loureiro,28,Centre-Back,Retired,-,out,Summer,0,Primera Division,1992,1992/1993
Celta de Vigo,Santiago Cañizares,22,Goalkeeper,Real Madrid,Loan fee:€343Th.,in,Summer,0.343,Primera Division,1992,1992/1993
Celta de Vigo,Ismael Urzaiz,20,Centre-Forward,Real Madrid,loan transfer,in,Summer,NA,Primera Division,1992,1992/1993
Celta de Vigo,Patxi Salinas,28,Centre-Back,Athletic,?,in,Summer,NA,Primera Division,1992,1992/1993
Celta de Vigo,Vicente Engonga,26,Central Midfield,Real Valladolid,?,in,Summer,NA,Primera Division,1992,1992/1993
Celta de Vigo,Milos Bursac,27,Centre-Forward,Olympique Lyon,?,in,Summer,NA,Primera Division,1992,1992/1993
Celta de Vigo,Alejo Indias,25,Centre-Back,UE Figueres,?,in,Summer,NA,Primera Division,1992,1992/1993
Celta de Vigo,Milorad Ratkovic,27,Left Midfield,Red Star,?,in,Summer,NA,Primera Division,1992,1992/1993
Celta de Vigo,Tito Vilanova,23,midfield,UE Figueres,?,in,Summer,NA,Primera Division,1992,1992/1993
Celta de Vigo,Paco Ferrando,29,midfield,Levante,free transfer,out,Summer,NA,Primera Division,1992,1992/1993
Celta de Vigo,Nacho,25,Left-Back,SD Compostela,?,out,Summer,NA,Primera Division,1992,1992/1993
Celta de Vigo,Fabiano Soares,26,midfield,SD Compostela,?,out,Summer,NA,Primera Division,1992,1992/1993
Celta de Vigo,Roberto Olaizola,31,defence,SD Beasain,?,out,Summer,NA,Primera Division,1992,1992/1993
Celta de Vigo,Luis Miguel Damián,26,midfield,Real Valladolid,"End of loanJun 30, 1992",out,Summer,0,Primera Division,1992,1992/1993
Valencia CF,Miodrag Belodedici,28,Sweeper,Red Star,€1.68m,in,Summer,1.68,Primera Division,1992,1992/1993
Valencia CF,Gaizka Mendieta,18,Right Midfield,CD Castellón,€180Th.,in,Summer,0.18,Primera Division,1992,1992/1993
Valencia CF,Álvaro Cervera,26,attack,RCD Mallorca,?,in,Summer,NA,Primera Division,1992,1992/1993
Valencia CF,José González,27,Goalkeeper,Real Sociedad,?,in,Summer,NA,Primera Division,1992,1992/1993
Valencia CF,Juan Sánchez,20,Centre-Forward,Valencia B,-,in,Summer,0,Primera Division,1992,1992/1993
Valencia CF,José Manuel Ochotorena,31,Goalkeeper,CD Tenerife,?,out,Summer,NA,Primera Division,1992,1992/1993
Valencia CF,Emilio Fenoll,27,attack,Real Burgos CF,?,out,Summer,NA,Primera Division,1992,1992/1993
Valencia CF,Toni,26,attack,Real Valladolid,?,out,Summer,NA,Primera Division,1992,1992/1993
Valencia CF,Nando,25,defence,Dep. La Coruña,?,out,Summer,NA,Primera Division,1992,1992/1993
Valencia CF,Rommel Fernández,NA,attack,Albacete,?,out,Summer,NA,Primera Division,1992,1992/1993
Albacete Balompié,Antônio Carlos Zago,23,Centre-Back,São Paulo,€840Th.,in,Summer,0.84,Primera Division,1992,1992/1993
Albacete Balompié,Antonio Pinilla,21,Left Winger,Barcelona,loan transfer,in,Summer,NA,Primera Division,1992,1992/1993
Albacete Balompié,Pedro Cordero,23,midfield,Cartagena FC,€36Th.,in,Summer,0.036,Primera Division,1992,1992/1993
Albacete Balompié,Francisco Oliete,21,Left-Back,Barcelona B,?,in,Summer,NA,Primera Division,1992,1992/1993
Albacete Balompié,Delfí Geli,23,Right-Back,Barcelona B,?,in,Summer,NA,Primera Division,1992,1992/1993
Albacete Balompié,Raúl dos Santos,25,attack,Defensor,?,in,Summer,NA,Primera Division,1992,1992/1993
Albacete Balompié,Armando Tejera,24,Centre-Back,UD Las Palmas,?,in,Summer,NA,Primera Division,1992,1992/1993
Albacete Balompié,Miguel Bossio,32,midfield,CE Sabadell,?,in,Summer,NA,Primera Division,1992,1992/1993
Albacete Balompié,Jesús Unanua,23,Goalkeeper,CA Osasuna,?,in,Summer,NA,Primera Division,1992,1992/1993
Albacete Balompié,Rommel Fernández,NA,attack,Valencia,?,in,Summer,NA,Primera Division,1992,1992/1993
