club_name,player_name,age,position,club_involved_name,fee,transfer_movement,transfer_period,fee_cleaned,league_name,year,season
Leeds United,Olivier Dacourt,25,Defensive Midfield,Lens,€10.50m,in,Summer,10.5,Premier League,2000,2000/2001
Leeds United,Mark Viduka,24,Centre-Forward,Celtic,€9.15m,in,Summer,9.15,Premier League,2000,2000/2001
Leeds United,Dominic Matteo,26,Left-Back,Liverpool,€7.13m,in,Summer,7.13,Premier League,2000,2000/2001
Leeds United,Jacob Burns,22,Defensive Midfield,Parra. Power,€375Th.,in,Summer,0.375,Premier League,2000,2000/2001
Leeds United,Jamie McMaster,17,Central Midfield,NSWIS,free transfer,in,Summer,NA,Premier League,2000,2000/2001
Leeds United,Chad Harpur,17,Goalkeeper,Chelsea U18,free transfer,in,Summer,NA,Premier League,2000,2000/2001
Leeds United,Shane Cansdell-Sherriff,17,Centre-Back,NSWIS,?,in,Summer,NA,Premier League,2000,2000/2001
Leeds United,Harpal Singh,18,Left Midfield,Leeds U18,-,in,Summer,0,Premier League,2000,2000/2001
Leeds United,Alf-Inge Haaland,27,Defensive Midfield,Man City,€3.75m,out,Summer,3.75,Premier League,2000,2000/2001
Leeds United,David Hopkin,29,Right Midfield,Bradford,€3.75m,out,Summer,3.75,Premier League,2000,2000/2001
Leeds United,Martin Hiden,27,Centre-Back,Austria Vienna,free transfer,out,Summer,NA,Premier League,2000,2000/2001
Leeds United,Alan Cawley,18,Central Midfield,Sheff Wed,?,out,Summer,NA,Premier League,2000,2000/2001
Leeds United,Tommy Knarvik,20,Central Midfield,Brann,?,out,Summer,NA,Premier League,2000,2000/2001
Leeds United,Alan Maybury,22,Right-Back,Crewe Alexandra,loan transfer,out,Summer,NA,Premier League,2000,2000/2001
Bradford City,David Hopkin,29,Right Midfield,Leeds,€3.75m,in,Summer,3.75,Premier League,2000,2000/2001
Bradford City,Ashley Ward,29,Centre-Forward,Blackburn,€2.10m,in,Summer,2.1,Premier League,2000,2000/2001
Bradford City,Andy Tod,28,Centre-Back,Dunfermline A.,Loan fee:€75Th.,in,Summer,0.075,Premier League,2000,2000/2001
Bradford City,Ian Nolan,29,Left-Back,Sheff Wed,free transfer,in,Summer,NA,Premier League,2000,2000/2001
Bradford City,Stan Collymore,29,Centre-Forward,Leicester,free transfer,in,Summer,NA,Premier League,2000,2000/2001
Bradford City,Billy McKinlay,31,Right Midfield,Blackburn,free transfer,in,Summer,NA,Premier League,2000,2000/2001
Bradford City,Dan Petrescu,32,Right-Back,Chelsea,?,in,Summer,NA,Premier League,2000,2000/2001
Bradford City,Peter Beagrie,35,Left Winger,Wigan,?,in,Summer,NA,Premier League,2000,2000/2001
Bradford City,Benny Carbone,28,Second Striker,Aston Villa,?,in,Summer,NA,Premier League,2000,2000/2001
Bradford City,Eoin Jess,29,Second Striker,Aberdeen FC,loan transfer,in,Summer,NA,Premier League,2000,2000/2001
Bradford City,Matt Clarke,27,Goalkeeper,Bolton,"End of loanMay 31, 2001",in,Summer,0,Premier League,2000,2000/2001
Bradford City,Lee Sharpe,29,Left Midfield,Portsmouth,"End of loanMay 7, 2001",in,Summer,0,Premier League,2000,2000/2001
Bradford City,Mark Bower,21,Centre-Back,York City,"End of loanMay 6, 2001",in,Summer,0,Premier League,2000,2000/2001
Bradford City,Lee Mills,30,Centre-Forward,Portsmouth,€1.40m,out,Summer,1.4,Premier League,2000,2000/2001
Bradford City,Ashley Westwood,23,Centre-Back,Sheff Wed,€175Th.,out,Summer,0.175,Premier League,2000,2000/2001
Bradford City,Isaiah Rankin,22,Centre-Forward,Bolton,loan transfer,out,Summer,NA,Premier League,2000,2000/2001
Bradford City,Robbie Blake,24,Second Striker,Nottm Forest,loan transfer,out,Summer,NA,Premier League,2000,2000/2001
Bradford City,John Dreyer,37,Centre-Back,Cambridge Utd.,?,out,Summer,NA,Premier League,2000,2000/2001
Bradford City,Jorge Cadete,31,Centre-Forward,CF Estrela,?,out,Summer,NA,Premier League,2000,2000/2001
Bradford City,Lee Todd,28,Left-Back,Rochdale,?,out,Summer,NA,Premier League,2000,2000/2001
Bradford City,Stephen Wright,28,Right-Back,Dundee United,?,out,Summer,NA,Premier League,2000,2000/2001
Bradford City,Dean Saunders,36,Centre-Forward,Retired,-,out,Summer,0,Premier League,2000,2000/2001
Bradford City,Neville Southall,41,Goalkeeper,Without Club,-,out,Summer,0,Premier League,2000,2000/2001
Leicester City,Gary Rowett,26,Right-Back,Birmingham,€4.50m,in,Summer,4.5,Premier League,2000,2000/2001
Leicester City,Callum Davidson,24,Left-Back,Blackburn,€2.50m,in,Summer,2.5,Premier League,2000,2000/2001
Leicester City,Trevor Benjamin,21,Centre-Forward,Cambridge Utd.,€2.25m,in,Summer,2.25,Premier League,2000,2000/2001
Leicester City,Richard Cresswell,22,Centre-Forward,Sheff Wed,€1.05m,in,Summer,1.05,Premier League,2000,2000/2001
Leicester City,Damien Delaney,18,Centre-Back,Cork City,€75Th.,in,Summer,0.075,Premier League,2000,2000/2001
Leicester City,Simon Royce,28,Goalkeeper,Charlton,free transfer,in,Summer,NA,Premier League,2000,2000/2001
Leicester City,Lawrie Dudfield,20,Centre-Forward,Lincoln City,?,in,Summer,NA,Premier League,2000,2000/2001
Leicester City,Fernando Pasquinelli,20,Centre-Forward,Boca Juniors,?,in,Summer,NA,Premier League,2000,2000/2001
Leicester City,Jon Ashton,17,Centre-Back,Leicester U18,-,in,Summer,0,Premier League,2000,2000/2001
Leicester City,Matt Heath,18,Centre-Back,Leicester U18,-,in,Summer,0,Premier League,2000,2000/2001
Leicester City,Matt Piper,18,Right Midfield,Leicester U18,-,in,Summer,0,Premier League,2000,2000/2001
Leicester City,Richard Cresswell,23,Centre-Forward,Preston,"End of loanMay 31, 2001",in,Summer,0,Premier League,2000,2000/2001
Leicester City,Phil Gilchrist,26,Centre-Back,West Brom,€750Th.,out,Summer,0.75,Premier League,2000,2000/2001
Leicester City,Stuart Campbell,22,Defensive Midfield,Grimsby Town,€325Th.,out,Summer,0.325,Premier League,2000,2000/2001
Leicester City,Graham Fenton,26,Second Striker,Stoke City,free transfer,out,Summer,NA,Premier League,2000,2000/2001
Leicester City,Pegguy Arphexad,27,Goalkeeper,Liverpool,free transfer,out,Summer,NA,Premier League,2000,2000/2001
Leicester City,Tony Cottee,35,Centre-Forward,Norwich,free transfer,out,Summer,NA,Premier League,2000,2000/2001
Leicester City,Steve Walsh,35,Centre-Back,Norwich,free transfer,out,Summer,NA,Premier League,2000,2000/2001
Leicester City,Ian Marshall,34,Centre-Forward,Bolton,free transfer,out,Summer,NA,Premier League,2000,2000/2001
Leicester City,Stan Collymore,29,Centre-Forward,Bradford,free transfer,out,Summer,NA,Premier League,2000,2000/2001
Leicester City,Lawrie Dudfield,20,Centre-Forward,Lincoln City,free transfer,out,Summer,NA,Premier League,2000,2000/2001
Leicester City,Theodoros Zagorakis,28,Central Midfield,AEK Athens,free transfer,out,Summer,NA,Premier League,2000,2000/2001
Leicester City,Carl Bacon,19,Right-Back,Nuneaton,?,out,Summer,NA,Premier League,2000,2000/2001
Leicester City,John Hodges,20,Goalkeeper,Plymouth,?,out,Summer,NA,Premier League,2000,2000/2001
Coventry City,Craig Bellamy,21,Left Winger,Norwich,€9.25m,in,Summer,9.25,Premier League,2000,2000/2001
Coventry City,David Thompson,22,Right Midfield,Liverpool,€4.50m,in,Summer,4.5,Premier League,2000,2000/2001
Coventry City,Jay Bothroyd,18,Centre-Forward,Arsenal U18,€1.50m,in,Summer,1.5,Premier League,2000,2000/2001
Coventry City,Iván Guerrero,22,Left-Back,FC Motagua,?,in,Summer,NA,Premier League,2000,2000/2001
Coventry City,Jairo Martínez,22,Centre-Forward,FC Motagua,?,in,Summer,NA,Premier League,2000,2000/2001
Coventry City,Alan Miller,30,Goalkeeper,Blackburn,loan transfer,in,Summer,NA,Premier League,2000,2000/2001
Coventry City,Stephen McPhee,19,attack,Coventry U18,-,in,Summer,0,Premier League,2000,2000/2001
Coventry City,Calum Davenport,17,defence,Coventry U18,-,in,Summer,0,Premier League,2000,2000/2001
Coventry City,Stephen McPhee,19,attack,St. Mirren,"End of loanMay 1, 2001",in,Summer,0,Premier League,2000,2000/2001
Coventry City,Carlton Palmer,35,Defensive Midfield,Sheff Wed,"End of loanMay 1, 2001",in,Summer,0,Premier League,2000,2000/2001
Coventry City,Robbie Keane,20,Centre-Forward,Inter,€19.50m,out,Summer,19.5,Premier League,2000,2000/2001
Coventry City,Noel Whelan,25,Centre-Forward,Middlesbrough,€3.00m,out,Summer,3,Premier League,2000,2000/2001
Coventry City,Gary McAllister,35,Central Midfield,Liverpool,€1.00m,out,Summer,1,Premier League,2000,2000/2001
Coventry City,Chukki Eribenne,19,Centre-Forward,Bournemouth,free transfer,out,Summer,NA,Premier League,2000,2000/2001
Coventry City,Gary McPhee,20,attack,Portadown,free transfer,out,Summer,NA,Premier League,2000,2000/2001
Coventry City,David Burrows,31,Left-Back,Birmingham,free transfer,out,Summer,NA,Premier League,2000,2000/2001
Coventry City,Ian Brightwell,32,Right-Back,Walsall,?,out,Summer,NA,Premier League,2000,2000/2001
Coventry City,Steve Ogrizovic,42,Goalkeeper,Retired,-,out,Summer,0,Premier League,2000,2000/2001
Coventry City,Barry Ferguson,20,defence,Colchester Utd.,loan transfer,out,Summer,NA,Premier League,2000,2000/2001
Manchester United,Fabien Barthez,29,Goalkeeper,Monaco,€11.70m,in,Summer,11.7,Premier League,2000,2000/2001
Manchester United,Paul Tierney,17,Left-Back,Man Utd U18,-,in,Summer,0,Premier League,2000,2000/2001
Manchester United,Jimmy Davis,18,Left Winger,Man Utd U18,-,in,Summer,0,Premier League,2000,2000/2001
Manchester United,Alan Tate,17,Centre-Back,Man Utd U18,-,in,Summer,0,Premier League,2000,2000/2001
Manchester United,Lee Roche,20,Right-Back,Wrexham,"End of loanMay 31, 2001",in,Summer,0,Premier League,2000,2000/2001
Manchester United,Danny Higginbotham,21,Centre-Back,Derby,€3.00m,out,Summer,3,Premier League,2000,2000/2001
Manchester United,Henning Berg,30,Right-Back,Blackburn,€2.63m,out,Summer,2.63,Premier League,2000,2000/2001
Manchester United,John Curtis,21,Right-Back,Blackburn,€2.25m,out,Summer,2.25,Premier League,2000,2000/2001
Manchester United,Jordi Cruyff,26,Attacking Midfield,Alavés,free transfer,out,Summer,NA,Premier League,2000,2000/2001
Manchester United,Lee Roche,19,Right-Back,Wrexham,loan transfer,out,Summer,NA,Premier League,2000,2000/2001
Manchester United,Michael Twiss,23,Right Midfield,Port Vale,?,out,Summer,NA,Premier League,2000,2000/2001
Manchester United,Michael Stewart,19,Central Midfield,Royal Antwerp,loan transfer,out,Summer,NA,Premier League,2000,2000/2001
Newcastle United,Carl Cort,22,Centre-Forward,Wimbledon FC,€10.50m,in,Summer,10.5,Premier League,2000,2000/2001
Newcastle United,Christian Bassedas,27,Attacking Midfield,Vélez Sarsfield,€5.30m,in,Summer,5.3,Premier League,2000,2000/2001
Newcastle United,Lomana LuaLua,19,Centre-Forward,Colchester Utd.,€3.75m,in,Summer,3.75,Premier League,2000,2000/2001
Newcastle United,Olivier Bernard,20,Left-Back,Olympique Lyon,free transfer,in,Summer,NA,Premier League,2000,2000/2001
Newcastle United,Colin McMenamin,19,Centre-Forward,Annan Athletic,free transfer,in,Summer,NA,Premier League,2000,2000/2001
Newcastle United,Pablo Bonvín,19,Centre-Forward,Boca Juniors,loan transfer,in,Summer,NA,Premier League,2000,2000/2001
