,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,Season
0,Ignazio Abate,it ITA,"DF,MF",Torino,21,1986,25,21,"1,913",21.3,1,2,1,0,0,1,1,0.05,0.09,0.14,0.05,0.14,Matches,2008-2009
1,Christian Abbiati,it ITA,GK,Milan,31,1977,28,28,"2,441",27.1,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,2008-2009
2,Elvis Abbruscato,it ITA,FW,Torino,27,1981,10,2,388,4.3,1,0,1,0,0,0,0,0.23,0.00,0.23,0.23,0.23,Matches,2008-2009
3,Pietro Accardi,it ITA,DF,Sampdoria,25,1982,24,24,"2,122",23.6,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,2008-2009
4,Paolo Acerbis,it ITA,GK,Catania,27,1981,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2008-2009
5,Robert Acquafresca,it ITA,FW,Cagliari,20,1987,36,29,"2,275",25.3,14,0,10,4,4,3,0,0.55,0.00,0.55,0.40,0.40,Matches,2008-2009
6,Adaílton,br BRA,FW,Bologna,31,1977,23,13,"1,133",12.6,1,3,1,0,0,2,0,0.08,0.24,0.32,0.08,0.32,Matches,2008-2009
7,Daniel Adejo,ng NGA,DF,Reggina,18,1989,8,4,414,4.6,0,1,0,0,0,0,0,0.00,0.22,0.22,0.00,0.22,Matches,2008-2009
8,Adriano,br BRA,FW,Inter,26,1982,12,9,805,8.9,3,3,2,1,1,0,0,0.34,0.34,0.67,0.22,0.56,Matches,2008-2009
9,Alessandro Agostini,it ITA,DF,Cagliari,29,1979,34,33,"2,951",32.8,0,1,0,0,0,7,1,0.00,0.03,0.03,0.00,0.03,Matches,2008-2009
10,Gabriele Aldegani,it ITA,GK,Chievo,32,1976,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2008-2009
11,Sergio Almirón,ar ARG,MF,Fiorentina,27,1980,11,6,509,5.7,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,2008-2009
12,Pablo Álvarez,uy URU,DF,Reggina,23,1985,9,5,534,5.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2008-2009
13,Pablo Álvarez,ar ARG,DF,Catania,24,1984,5,4,360,4.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,2008-2009
14,Amauri,it ITA,FW,Juventus,28,1980,32,27,"2,378",26.4,12,3,12,0,0,3,0,0.45,0.11,0.57,0.45,0.57,Matches,2008-2009
15,Massimo Ambrosini,it ITA,MF,Milan,31,1977,28,24,"2,065",22.9,7,3,7,0,0,9,1,0.31,0.13,0.44,0.31,0.44,Matches,2008-2009
16,Marco Amelia,it ITA,GK,Palermo,26,1982,34,34,"2,988",33.2,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,2008-2009
17,Nicolás Amodio,uy URU,MF,Napoli,25,1983,3,3,250,2.8,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,2008-2009
18,Christian Amoroso,it ITA,MF,Bologna,31,1976,24,11,"1,113",12.4,0,3,0,0,0,1,0,0.00,0.24,0.24,0.00,0.24,Matches,2008-2009
19,Nicola Amoruso,it ITA,FW,Siena,33,1974,6,1,174,1.9,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,2008-2009
20,Nicola Amoruso,it ITA,FW,Torino,33,1974,20,16,"1,408",15.6,4,1,2,2,2,3,0,0.26,0.06,0.32,0.13,0.19,Matches,2008-2009
21,Valerio Anastasi,it ITA,FW,Chievo,18,1990,1,0,5,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2008-2009
22,Ângelo,br BRA,"DF,MF",Lecce,27,1981,10,6,617,6.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2008-2009
23,Mirco Antenucci,it ITA,FW,Catania,23,1984,4,0,49,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2008-2009
24,Luca Antonini,it ITA,"DF,MF",Milan,25,1982,11,4,372,4.1,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,2008-2009
26,Francesco Antonioli,it ITA,GK,Bologna,38,1969,35,35,"3,150",35.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2008-2009
27,Vitorino Antunes,pt POR,DF,Lecce,21,1987,10,8,662,7.4,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,2008-2009
28,Alberto Aquilani,it ITA,MF,Roma,24,1984,14,7,759,8.4,2,1,2,0,0,2,0,0.24,0.12,0.36,0.24,0.36,Matches,2008-2009
29,Andrea Ardito,it ITA,MF,Lecce,31,1977,14,7,747,8.3,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,2008-2009
30,Luca Ariatti,it ITA,"DF,MF",Lecce,29,1978,31,29,"2,557",28.4,0,1,0,0,0,5,2,0.00,0.04,0.04,0.00,0.04,Matches,2008-2009
31,Lorenzo Ariaudo,it ITA,DF,Juventus,19,1989,3,2,212,2.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2008-2009
32,John Arne Riise,no NOR,"DF,MF",Roma,27,1980,30,29,"2,641",29.3,2,2,2,0,0,4,0,0.07,0.07,0.14,0.07,0.14,Matches,2008-2009
33,Salvatore Aronica,it ITA,DF,Reggina,30,1978,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2008-2009
34,Salvatore Aronica,it ITA,DF,Napoli,30,1978,23,15,"1,513",16.8,0,1,0,0,0,4,0,0.00,0.06,0.06,0.00,0.06,Matches,2008-2009
35,Kwadwo Asamoah,gh GHA,"DF,MF",Udinese,19,1988,20,19,"1,620",18.0,2,0,2,0,0,1,0,0.11,0.00,0.11,0.11,0.11,Matches,2008-2009
36,Davide Astori,it ITA,DF,Cagliari,21,1987,10,5,564,6.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2008-2009
37,Davide Baiocco,it ITA,MF,Catania,33,1975,20,12,"1,230",13.7,1,1,1,0,0,6,0,0.07,0.07,0.15,0.07,0.15,Matches,2008-2009
38,Mario Balotelli,it ITA,FW,Inter,17,1990,22,15,"1,354",15.0,8,1,7,1,1,7,0,0.53,0.07,0.60,0.47,0.53,Matches,2008-2009
39,Federico Balzaretti,it ITA,DF,Palermo,26,1981,33,33,"2,924",32.5,0,2,0,0,0,8,2,0.00,0.06,0.06,0.00,0.06,Matches,2008-2009
