,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches,Season
527,Stefano Sensi,it ITA,"MF,FW",Inter,23,1995,12,9,723,8.0,3,2,3,0,0,2,0,0.37,0.25,0.62,0.37,0.62,1.7,1.7,0.9,2.6,0.21,0.12,0.32,0.21,0.32,Matches,2019-2020
528,Luigi Sepe,it ITA,GK,Parma,28,1991,34,34,"3,060",34.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.4,0.4,0.00,0.01,0.01,0.00,0.01,Matches,2019-2020
529,Yevhen Shakhov,ua UKR,"MF,FW",Lecce,28,1990,24,9,"1,085",12.1,1,2,1,0,0,3,0,0.08,0.17,0.25,0.08,0.25,0.9,0.9,2.0,2.9,0.07,0.17,0.24,0.07,0.24,Matches,2019-2020
530,Luca Siligardi,it ITA,"FW,MF",Parma,31,1988,12,3,337,3.7,0,1,0,0,0,0,0,0.00,0.27,0.27,0.00,0.27,0.7,0.7,0.1,0.8,0.19,0.03,0.22,0.19,0.22,Matches,2019-2020
531,André Silva,pt POR,FW,Milan,23,1995,1,1,60,0.7,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.0,0.3,0.48,0.00,0.48,0.48,0.48,Matches,2019-2020
532,Marco Silvestri,it ITA,GK,Hellas Verona,28,1991,35,35,"3,150",35.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,2019-2020
533,Giovanni Simeone,ar ARG,FW,Cagliari,24,1995,37,34,"2,924",32.5,12,3,12,0,0,4,0,0.37,0.09,0.46,0.37,0.46,12.2,12.2,2.3,14.5,0.38,0.07,0.45,0.38,0.45,Matches,2019-2020
534,Wilfried Singo,ci CIV,DF,Torino,18,2000,4,1,132,1.5,1,0,1,0,0,0,0,0.68,0.00,0.68,0.68,0.68,0.2,0.2,0.1,0.3,0.12,0.06,0.18,0.12,0.18,Matches,2019-2020
535,Salvatore Sirigu,it ITA,GK,Torino,32,1987,36,36,"3,240",36.0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.00,0.00,0.00,0.00,Matches,2019-2020
536,Łukasz Skorupski,pl POL,GK,Bologna,28,1991,37,37,"3,330",37.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,2019-2020
537,Andreas Skov Olsen,dk DEN,"FW,MF",Bologna,19,1999,26,7,760,8.4,1,0,1,0,0,2,0,0.12,0.00,0.12,0.12,0.12,1.6,1.6,0.5,2.1,0.19,0.05,0.25,0.19,0.25,Matches,2019-2020
538,Simon Skrabb,fi FIN,"MF,FW",Brescia,24,1995,10,3,257,2.9,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.4,0.5,0.04,0.15,0.19,0.04,0.19,Matches,2019-2020
539,Milan Škriniar,sk SVK,DF,Inter,24,1995,32,30,"2,627",29.2,0,0,0,0,0,9,1,0.00,0.00,0.00,0.00,0.00,0.9,0.9,0.3,1.3,0.03,0.01,0.04,0.03,0.04,Matches,2019-2020
540,Chris Smalling,eng ENG,DF,Roma,29,1989,30,29,"2,566",28.5,3,2,3,0,0,3,0,0.11,0.07,0.18,0.11,0.18,1.9,1.9,1.2,3.1,0.07,0.04,0.11,0.07,0.11,Matches,2019-2020
541,Roberto Soriano,it ITA,MF,Bologna,28,1991,29,29,"2,469",27.4,5,5,5,0,0,4,2,0.18,0.18,0.36,0.18,0.36,3.7,3.7,5.3,9.0,0.14,0.19,0.33,0.14,0.33,Matches,2019-2020
542,Riccardo Sottil,it ITA,"FW,DF",Fiorentina,20,1999,18,4,514,5.7,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.7,0.7,0.6,1.3,0.13,0.10,0.23,0.13,0.23,Matches,2019-2020
543,Adama Soumaoro,fr FRA,DF,Genoa,27,1992,8,7,637,7.1,1,0,1,0,0,2,0,0.14,0.00,0.14,0.14,0.14,0.6,0.6,0.0,0.6,0.09,0.00,0.09,0.09,0.09,Matches,2019-2020
544,Nikolas Špalek,sk SVK,"MF,FW",Brescia,22,1997,25,20,"1,579",17.5,2,1,2,0,0,5,0,0.11,0.06,0.17,0.11,0.17,3.8,3.8,1.8,5.6,0.22,0.10,0.32,0.22,0.32,Matches,2019-2020
546,Leonardo Spinazzola,it ITA,DF,Roma,26,1993,24,18,"1,548",17.2,1,2,1,0,0,2,0,0.06,0.12,0.17,0.06,0.17,1.3,1.3,2.9,4.2,0.08,0.17,0.25,0.08,0.25,Matches,2019-2020
547,Marco Sportiello,it ITA,GK,Atalanta,27,1992,6,5,525,5.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,2019-2020
548,Mattia Sprocati,it ITA,FW,Parma,26,1993,20,4,590,6.6,1,0,1,0,0,0,0,0.15,0.00,0.15,0.15,0.15,1.1,1.1,0.2,1.3,0.17,0.03,0.20,0.17,0.20,Matches,2019-2020
549,Mariusz Stępiński,pl POL,FW,Hellas Verona,24,1995,21,7,706,7.8,3,1,3,0,0,3,1,0.38,0.13,0.51,0.38,0.51,2.9,2.9,0.1,3.0,0.37,0.01,0.38,0.37,0.38,Matches,2019-2020
550,Thomas Strakosha,al ALB,GK,Lazio,24,1995,38,38,"3,420",38.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.2,0.00,0.00,0.00,0.00,0.00,Matches,2019-2020
551,Gabriel Strefezza,br BRA,"DF,MF",SPAL,22,1997,32,24,"2,110",23.4,1,2,1,0,0,9,1,0.04,0.09,0.13,0.04,0.13,2.3,2.3,1.3,3.6,0.10,0.05,0.15,0.10,0.15,Matches,2019-2020
552,Jens Stryger Larsen,dk DEN,DF,Udinese,28,1991,33,32,"2,789",31.0,1,3,1,0,0,5,0,0.03,0.10,0.13,0.03,0.13,1.6,1.6,1.9,3.5,0.05,0.06,0.11,0.05,0.11,Matches,2019-2020
