,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,Season
0,Christian Abbiati,it ITA,GK,Milan,23,1977,21,20,"1,817",20.2,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,Matches,2000-2001
1,Adaílton,br BRA,FW,Hellas Verona,23,1977,18,10,"1,058",11.8,4,3,3,1,2,1,1,0.34,0.26,0.60,0.26,0.51,Matches,2000-2001
2,Daniele Adani,it ITA,DF,Fiorentina,26,1974,25,22,"1,993",22.1,1,0,1,0,0,2,0,0.05,0.00,0.05,0.05,0.05,Matches,2000-2001
3,Demetrio Albertini,it ITA,"FW,MF",Milan,28,1971,12,11,973,10.8,0,4,0,0,0,4,0,0.00,0.37,0.37,0.00,0.37,Matches,2000-2001
4,Aldair,br BRA,DF,Roma,34,1965,15,14,"1,218",13.5,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,2000-2001
5,Matías Almeyda,ar ARG,"DF,MF",Parma,26,1973,16,15,"1,233",13.7,0,1,0,0,0,5,0,0.00,0.07,0.07,0.00,0.07,Matches,2000-2001
6,Amaral,br BRA,MF,Fiorentina,27,1973,8,4,445,4.9,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,2000-2001
7,Leandro Amaral,br BRA,FW,Fiorentina,22,1977,19,9,846,9.4,5,3,4,1,1,0,0,0.53,0.32,0.85,0.43,0.74,Matches,2000-2001
8,Amauri,it ITA,FW,Napoli,20,1980,6,1,188,2.1,1,0,1,0,0,0,0,0.48,0.00,0.48,0.48,0.48,Matches,2000-2001
9,Massimo Ambrosini,it ITA,MF,Milan,23,1977,16,16,"1,372",15.2,3,1,3,0,0,7,0,0.20,0.07,0.26,0.20,0.26,Matches,2000-2001
10,Christian Amoroso,it ITA,MF,Fiorentina,23,1976,26,23,"1,931",21.5,1,2,1,0,0,6,0,0.05,0.09,0.14,0.05,0.14,Matches,2000-2001
11,Márcio Amoroso,br BRA,FW,Parma,26,1974,23,14,"1,390",15.4,7,5,4,3,3,3,0,0.45,0.32,0.78,0.26,0.58,Matches,2000-2001
12,Nicola Amoruso,it ITA,FW,Napoli,25,1974,30,30,"2,558",28.4,10,2,8,2,2,5,0,0.35,0.07,0.42,0.28,0.35,Matches,2000-2001
13,Luigi Anaclerio,it ITA,FW,Bari,19,1981,6,3,269,3.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,2000-2001
14,Michele Anaclerio,it ITA,DF,Bari,18,1982,1,0,8,0.1,0,,0,0,,0,0,0.00,,,0.00,,Matches,2000-2001
