,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches,Season
0,Ignazio Abate,it ITA,DF,Milan,31,1986,19,15,"1,302",14.5,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.3,0.4,0.00,0.02,0.02,0.00,0.02,Matches,2018-2019
1,Francesco Acerbi,it ITA,DF,Lazio,30,1988,37,37,"3,309",36.8,3,1,3,0,0,4,1,0.08,0.03,0.11,0.08,0.11,3.0,3.0,0.6,3.6,0.08,0.02,0.10,0.08,0.10,Matches,2018-2019
2,Afriyie Acquah,gh GHA,MF,Empoli,26,1992,28,19,"1,510",16.8,2,0,2,0,0,4,0,0.12,0.00,0.12,0.12,0.12,1.6,1.6,0.6,2.2,0.09,0.04,0.13,0.09,0.13,Matches,2018-2019
3,Claud Adjapong,it ITA,"MF,DF",Sassuolo,20,1998,5,3,270,3.0,1,0,1,0,0,1,0,0.33,0.00,0.33,0.33,0.33,0.5,0.5,0.1,0.6,0.17,0.03,0.20,0.17,0.20,Matches,2018-2019
4,Ali Adnan Kadhim,iq IRQ,"MF,DF",Atalanta,24,1993,3,2,166,1.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.2,0.3,0.08,0.08,0.16,0.08,0.16,Matches,2018-2019
5,Emmanuel Agyemang-Badu,gh GHA,MF,Udinese,27,1990,4,2,161,1.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.0,0.3,0.16,0.01,0.17,0.16,0.17,Matches,2018-2019
6,Ola Aina,ng NGA,"DF,MF",Torino,21,1996,30,22,"2,160",24.0,1,3,1,0,0,5,1,0.04,0.12,0.17,0.04,0.17,1.9,1.9,2.1,4.1,0.08,0.09,0.17,0.08,0.17,Matches,2018-2019
7,Luis Alberto,es ESP,"MF,FW",Lazio,25,1992,27,25,"1,990",22.1,4,5,3,1,1,5,1,0.18,0.23,0.41,0.14,0.36,4.6,3.9,6.1,10.0,0.21,0.28,0.49,0.17,0.45,Matches,2018-2019
8,Raúl Albiol,es ESP,DF,Napoli,32,1985,20,19,"1,713",19.0,1,0,1,0,0,4,0,0.05,0.00,0.05,0.05,0.05,0.2,0.2,1.0,1.2,0.01,0.05,0.06,0.01,0.06,Matches,2018-2019
9,Allan,br BRA,MF,Napoli,27,1991,33,28,"2,616",29.1,1,3,1,0,0,10,0,0.03,0.10,0.14,0.03,0.14,1.1,1.1,3.3,4.4,0.04,0.11,0.15,0.04,0.15,Matches,2018-2019
10,Bruno Alves,pt POR,DF,Parma,36,1981,33,33,"2,922",32.5,4,1,4,0,0,9,1,0.12,0.03,0.15,0.12,0.15,2.2,2.2,1.3,3.5,0.07,0.04,0.11,0.07,0.11,Matches,2018-2019
11,Joachim Andersen,dk DEN,DF,Sampdoria,22,1996,32,32,"2,880",32.0,0,1,0,0,0,7,0,0.00,0.03,0.03,0.00,0.03,0.9,0.9,0.5,1.5,0.03,0.02,0.05,0.03,0.05,Matches,2018-2019
12,Marco Andreolli,it ITA,DF,Cagliari,32,1986,3,1,106,1.2,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.02,0.00,0.02,0.02,0.02,Matches,2018-2019
13,Marco Andreolli,it ITA,DF,Chievo,32,1986,8,7,646,7.2,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.03,0.00,0.03,0.03,0.03,Matches,2018-2019
14,Cristian Ansaldi,ar ARG,"DF,MF",Torino,31,1986,24,23,"1,807",20.1,3,2,3,0,0,3,0,0.15,0.10,0.25,0.15,0.25,1.4,1.4,2.5,3.9,0.07,0.12,0.19,0.07,0.19,Matches,2018-2019
15,Mirco Antenucci,it ITA,FW,SPAL,33,1984,35,22,"2,133",23.7,5,0,4,1,2,0,0,0.21,0.00,0.21,0.17,0.17,6.7,5.1,1.5,6.6,0.28,0.06,0.34,0.22,0.28,Matches,2018-2019
16,Luca Antonelli,it ITA,"DF,MF",Empoli,31,1987,13,10,755,8.4,0,1,0,0,0,1,0,0.00,0.12,0.12,0.00,0.12,0.8,0.8,0.2,1.0,0.09,0.03,0.12,0.09,0.12,Matches,2018-2019
17,Mauro Antonio Burruchaga,ar ARG,MF,Chievo,20,1998,1,0,58,0.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.02,0.00,0.02,0.02,0.02,Matches,2018-2019
18,Joaquín Ardaiz,uy URU,FW,Frosinone,19,1999,1,0,20,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,2018-2019
19,Lorenzo Ariaudo,it ITA,DF,Frosinone,29,1989,19,19,"1,682",18.7,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.6,0.6,0.2,0.9,0.03,0.01,0.05,0.03,0.05,Matches,2018-2019
20,Nicolò Armini,it ITA,DF,Lazio,17,2001,1,0,38,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,2018-2019
21,Kwadwo Asamoah,gh GHA,DF,Inter,29,1988,32,30,"2,671",29.7,0,1,0,0,0,6,0,0.00,0.03,0.03,0.00,0.03,0.2,0.2,1.5,1.8,0.01,0.05,0.06,0.01,0.06,Matches,2018-2019
22,Emil Audero,it ITA,GK,Sampdoria,21,1997,36,36,"3,240",36.0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.00,0.00,0.00,0.00,Matches,2018-2019
23,Khouma Babacar,sn SEN,FW,Sassuolo,25,1993,29,16,"1,488",16.5,7,2,5,2,2,0,0,0.42,0.12,0.54,0.30,0.42,7.8,6.3,1.1,7.4,0.47,0.07,0.54,0.38,0.45,Matches,2018-2019
24,Milan Badelj,hr CRO,MF,Lazio,29,1989,23,14,"1,141",12.7,1,0,1,0,0,6,0,0.08,0.00,0.08,0.08,0.08,0.5,0.5,0.6,1.1,0.04,0.04,0.08,0.04,0.08,Matches,2018-2019
26,Tiemoué Bakayoko,fr FRA,MF,Milan,23,1994,31,26,"2,301",25.6,1,1,1,0,0,6,1,0.04,0.04,0.08,0.04,0.08,1.4,1.4,1.7,3.1,0.05,0.07,0.12,0.05,0.12,Matches,2018-2019
27,Keita Baldé,sn SEN,"FW,MF",Inter,23,1995,24,8,889,9.9,5,2,5,0,0,2,1,0.51,0.20,0.71,0.51,0.71,3.4,3.4,1.7,5.2,0.35,0.18,0.52,0.35,0.52,Matches,2018-2019
28,Andrija Balić,hr CRO,"MF,FW",Udinese,20,1997,4,0,27,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.08,0.28,0.36,0.08,0.36,Matches,2018-2019
29,Mattia Bani,it ITA,DF,Chievo,24,1993,30,29,"2,610",29.0,0,0,0,0,0,8,1,0.00,0.00,0.00,0.00,0.00,1.1,1.1,0.3,1.4,0.04,0.01,0.05,0.04,0.05,Matches,2018-2019
30,Antonín Barák,cz CZE,"MF,FW",Udinese,23,1994,8,4,329,3.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.1,0.3,0.07,0.01,0.09,0.07,0.09,Matches,2018-2019
31,Federico Barba,it ITA,DF,Chievo,24,1993,30,29,"2,483",27.6,0,0,0,0,0,6,2,0.00,0.00,0.00,0.00,0.00,0.7,0.7,1.2,1.9,0.03,0.04,0.07,0.03,0.07,Matches,2018-2019
32,Francesco Bardi,it ITA,GK,Frosinone,26,1992,3,3,270,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,2018-2019
33,Nicolò Barella,it ITA,"MF,FW",Cagliari,21,1997,35,35,"3,107",34.5,1,3,1,0,1,10,2,0.03,0.09,0.12,0.03,0.12,2.9,2.1,3.1,5.2,0.08,0.09,0.17,0.06,0.15,Matches,2018-2019
34,Antonino Barillà,it ITA,MF,Parma,30,1988,31,30,"2,618",29.1,3,2,3,0,0,10,0,0.10,0.07,0.17,0.10,0.17,2.3,2.3,1.8,4.1,0.08,0.06,0.14,0.08,0.14,Matches,2018-2019
35,Édgar Barreto,py PAR,MF,Sampdoria,34,1984,12,9,785,8.7,0,2,0,0,0,2,0,0.00,0.23,0.23,0.00,0.23,0.6,0.6,1.3,2.0,0.07,0.15,0.22,0.07,0.22,Matches,2018-2019
36,Musa Barrow,gm GAM,"FW,MF",Atalanta,19,1998,22,6,601,6.7,1,2,1,0,0,0,0,0.15,0.30,0.45,0.15,0.45,3.0,3.0,0.8,3.8,0.46,0.12,0.58,0.46,0.58,Matches,2018-2019
37,Andrea Barzagli,it ITA,DF,Juventus,37,1981,7,4,260,2.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,2018-2019
38,Daniele Baselli,it ITA,MF,Torino,26,1992,34,27,"2,379",26.4,4,1,4,0,0,5,0,0.15,0.04,0.19,0.15,0.19,2.7,2.7,3.3,6.0,0.10,0.13,0.23,0.10,0.23,Matches,2018-2019
39,Alessandro Bastoni,it ITA,DF,Parma,19,1999,24,18,"1,690",18.8,1,0,1,0,0,2,0,0.05,0.00,0.05,0.05,0.05,0.6,0.6,0.2,0.8,0.03,0.01,0.05,0.03,0.05,Matches,2018-2019
40,Bastos,ao ANG,DF,Lazio,27,1991,18,11,"1,139",12.7,1,0,1,0,0,3,0,0.08,0.00,0.08,0.08,0.08,0.9,0.9,0.0,0.9,0.07,0.00,0.07,0.07,0.07,Matches,2018-2019
41,Andrea Beghetto,it ITA,"DF,MF",Frosinone,23,1994,27,25,"2,226",24.7,0,3,0,0,0,3,0,0.00,0.12,0.12,0.00,0.12,0.8,0.8,3.7,4.5,0.03,0.15,0.18,0.03,0.18,Matches,2018-2019
42,Valon Behrami,ch SUI,MF,Udinese,33,1985,19,17,"1,361",15.1,1,0,1,0,0,6,0,0.07,0.00,0.07,0.07,0.07,0.7,0.7,0.4,1.1,0.05,0.03,0.07,0.05,0.07,Matches,2018-2019
43,Andrea Belotti,it ITA,FW,Torino,24,1993,37,37,"3,299",36.7,15,3,10,5,6,5,0,0.41,0.08,0.49,0.27,0.35,17.6,13.0,4.0,17.1,0.48,0.11,0.59,0.36,0.47,Matches,2018-2019
44,Marco Benassi,it ITA,MF,Fiorentina,23,1994,32,29,"2,282",25.4,7,1,7,0,0,6,1,0.28,0.04,0.32,0.28,0.32,5.3,5.3,1.7,7.1,0.21,0.07,0.28,0.21,0.28,Matches,2018-2019
45,Medhi Benatia,ma MAR,DF,Juventus,31,1987,5,5,450,5.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.02,0.00,0.02,0.02,0.02,Matches,2018-2019
46,Ismaël Bennacer,dz ALG,MF,Empoli,20,1997,37,32,"2,961",32.9,0,5,0,0,0,7,0,0.00,0.15,0.15,0.00,0.15,0.6,0.6,2.4,3.0,0.02,0.07,0.09,0.02,0.09,Matches,2018-2019
