,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,Season
0,Christian Abbiati,it ITA,GK,Juventus,28,1977,19,18,"1,612",17.9,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,2005-2006
1,Nelson Abeijón,uy URU,MF,Cagliari,32,1973,28,25,"2,036",22.6,2,0,2,0,0,11,1,0.09,0.00,0.09,0.09,0.09,Matches,2005-2006
2,Giuseppe Abruzzese,it ITA,DF,Lecce,24,1981,5,5,424,4.7,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,2005-2006
3,Pietro Accardi,it ITA,DF,Palermo,22,1982,6,4,407,4.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2005-2006
4,Paolo Acerbis,it ITA,GK,Livorno,24,1981,2,2,180,2.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2005-2006
5,Robert Acquafresca,it ITA,FW,Treviso,17,1987,8,3,305,3.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2005-2006
6,Daniele Adani,it ITA,DF,Ascoli,31,1974,3,1,136,1.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2005-2006
7,Adriano,br BRA,FW,Inter,23,1982,30,27,"2,323",25.8,13,2,11,2,2,2,0,0.50,0.08,0.58,0.43,0.50,Matches,2005-2006
8,Federico Agliardi,it ITA,GK,Palermo,22,1983,10,10,900,10.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,2005-2006
9,Alessandro Agostini,it ITA,DF,Cagliari,26,1979,35,27,"2,620",29.1,0,2,0,0,0,5,0,0.00,0.07,0.07,0.00,0.07,Matches,2005-2006
10,Abel Aguilar,co COL,MF,Udinese,20,1985,2,0,77,0.9,0,,0,0,,0,0,0.00,,,0.00,,Matches,2005-2006
11,Sergio Almirón,ar ARG,MF,Empoli,24,1980,37,35,"2,968",33.0,6,2,6,0,1,2,0,0.18,0.06,0.24,0.18,0.24,Matches,2005-2006
12,Ilario Aloe,it ITA,MF,Inter,19,1986,1,0,4,0.0,0,,0,0,,0,0,0.00,,,0.00,,Matches,2005-2006
13,Édgar Álvarez,hn HON,"DF,MF",Roma,25,1980,20,3,414,4.6,0,2,0,0,0,0,0,0.00,0.43,0.43,0.00,0.43,Matches,2005-2006
14,Amauri,it ITA,FW,Chievo,25,1980,37,32,"2,860",31.8,11,4,9,2,3,3,0,0.35,0.13,0.47,0.28,0.41,Matches,2005-2006
15,Massimo Ambrosini,it ITA,MF,Milan,28,1977,13,5,530,5.9,1,0,1,0,0,1,0,0.17,0.00,0.17,0.17,0.17,Matches,2005-2006
16,Marco Amelia,it ITA,GK,Livorno,23,1982,36,36,"3,240",36.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,2005-2006
