,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,Season
0,José Acciari,ar ARG,MF,Real Murcia,24,1978,35,34,"2,910",32.3,2,0,2,0,0,12,1,0.06,0.00,0.06,0.06,0.06,Matches,2003-2004
1,Omri Afek,il ISR,"DF,MF",Racing Sant,24,1979,25,8,946,10.5,2,1,2,0,0,3,0,0.19,0.10,0.29,0.19,0.29,Matches,2003-2004
2,Carlos Aguilera,es ESP,DF,Atlético Madrid,34,1969,24,22,"1,729",19.2,0,4,0,0,0,4,1,0.00,0.21,0.21,0.00,0.21,Matches,2003-2004
3,Mikel Aguirregomezkorta Larrea,es ESP,FW,Albacete,28,1974,28,8,"1,159",12.9,5,3,5,0,0,4,0,0.39,0.23,0.62,0.39,0.62,Matches,2003-2004
4,Pablo Aimar,ar ARG,MF,Valencia,23,1979,25,18,"1,628",18.1,4,9,4,0,0,5,0,0.22,0.50,0.72,0.22,0.72,Matches,2003-2004
5,David Albelda,es ESP,"DF,MF",Valencia,25,1977,33,32,"2,734",30.4,1,4,1,0,0,12,0,0.03,0.13,0.16,0.03,0.16,Matches,2003-2004
6,Alberto,es ESP,GK,Real Sociedad,34,1969,18,18,"1,620",18.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,2003-2004
7,Carlos Alberto Juárez,ec ECU,FW,Real Murcia,31,1972,5,1,163,1.8,0,,0,0,,0,0,0.00,,,0.00,,Matches,2003-2004
8,Alexis,es ESP,DF,Málaga,17,1985,3,0,39,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2003-2004
9,Pablo Alfaro,es ESP,DF,Sevilla,34,1969,37,37,"3,264",36.3,0,0,0,0,0,6,1,0.00,0.00,0.00,0.00,0.00,Matches,2003-2004
10,Alfredo,es ESP,MF,Osasuna,30,1972,15,7,758,8.4,0,0,0,0,0,8,2,0.00,0.00,0.00,0.00,0.00,Matches,2003-2004
11,Bittor Alkiza,es ESP,MF,Real Sociedad,32,1970,28,21,"1,851",20.6,0,2,0,0,0,10,1,0.00,0.10,0.10,0.00,0.10,Matches,2003-2004
12,Manuel Almunia,es ESP,GK,Albacete,26,1977,24,24,"2,160",24.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,2003-2004
13,John Aloisi,au AUS,FW,Osasuna,27,1976,33,30,"2,364",26.3,6,4,6,0,1,5,0,0.23,0.15,0.38,0.23,0.38,Matches,2003-2004
14,Diego Alonso,uy URU,FW,Málaga,28,1975,23,6,733,8.1,6,1,6,0,0,0,0,0.74,0.12,0.86,0.74,0.86,Matches,2003-2004
15,Mikel Alonso,es ESP,MF,Real Sociedad,23,1980,2,0,49,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2003-2004
16,Xabi Alonso,es ESP,MF,Real Sociedad,21,1981,35,33,"2,761",30.7,3,1,3,0,0,10,0,0.10,0.03,0.13,0.10,0.13,Matches,2003-2004
17,Cristian Álvarez,ar ARG,"DF,MF",Racing Sant,25,1978,15,15,"1,277",14.2,5,0,2,3,3,2,0,0.35,0.00,0.35,0.14,0.14,Matches,2003-2004
18,Julio Álvarez,ve VEN,MF,Real Murcia,22,1981,12,2,386,4.3,0,1,0,0,0,1,0,0.00,0.23,0.23,0.00,0.23,Matches,2003-2004
19,Quique Álvarez,es ESP,DF,Villarreal,28,1975,29,29,"2,502",27.8,2,0,2,0,0,16,2,0.07,0.00,0.07,0.07,0.07,Matches,2003-2004
20,Álvaro,br BRA,DF,Zaragoza,25,1977,36,36,"3,171",35.2,4,0,4,0,0,8,1,0.11,0.00,0.11,0.11,0.11,Matches,2003-2004
21,Dani Alves,br BRA,"DF,MF",Sevilla,20,1983,29,28,"2,416",26.8,1,3,1,0,0,16,0,0.04,0.11,0.15,0.04,0.15,Matches,2003-2004
22,Gabriel Amato,ar ARG,FW,Albacete,32,1970,8,5,421,4.7,0,1,0,0,0,0,0,0.00,0.21,0.21,0.00,0.21,Matches,2003-2004
23,José Amavisca,es ESP,"FW,MF",La Coruña,32,1971,4,1,148,1.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2003-2004
24,Pablo Amo,es ESP,DF,La Coruña,25,1978,5,5,450,5.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2003-2004
26,Sonny Anderson,br BRA,FW,Villarreal,32,1970,35,21,"2,189",24.3,12,2,12,0,0,1,0,0.49,0.08,0.58,0.49,0.58,Matches,2003-2004
27,Patrik Andersson,se SWE,DF,Barcelona,31,1971,4,2,208,2.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2003-2004
28,Jorge Andrade,pt POR,DF,La Coruña,25,1978,37,37,"3,330",37.0,0,0,0,0,0,8,0,0.00,0.00,0.00,0.00,0.00,Matches,2003-2004
