,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,Season
40,Santiago Aragón,es ESP,MF,Zaragoza,25,1968,34,33,"2,869",31.9,7,,2,5,,17,1,0.22,,,0.06,,Matches,1993-1994
41,Agustín Aranzábal,es ESP,DF,Real Sociedad,20,1973,3,2,171,1.9,0,,0,0,,1,0,0.00,,,0.00,,Matches,1993-1994
42,Pedro Alberto Cano Arenas,es ESP,DF,Oviedo,24,1969,13,3,489,5.4,1,,1,0,,3,2,0.18,,,0.18,,Matches,1993-1994
43,Gonzalo Arguiñano,es ESP,DF,Lleida,30,1962,32,31,"2,790",31.0,1,,1,0,,4,2,0.03,,,0.03,,Matches,1993-1994
44,Víctor Aristizábal,co COL,FW,Valencia,21,1971,7,7,514,5.7,0,,0,0,,1,0,0.00,,,0.00,,Matches,1993-1994
45,Pedro Arozarena,es ESP,DF,Osasuna,27,1966,28,22,"2,034",22.6,1,,1,0,,9,2,0.04,,,0.04,,Matches,1993-1994
46,Carlos Arroyo Ayala,es ESP,FW,Valencia,27,1966,28,22,"1,870",20.8,3,,3,0,,6,2,0.14,,,0.14,,Matches,1993-1994
47,José Aurelio Gay,es ESP,MF,Zaragoza,27,1965,28,20,"1,826",20.3,7,,7,0,,5,0,0.35,,,0.35,,Matches,1993-1994
48,Andoni Ayarza,es ESP,DF,Rayo Vallecano,27,1965,18,17,"1,489",16.5,0,,0,0,,7,0,0.00,,,0.00,,Matches,1993-1994
49,Ricardo Bango,es ESP,MF,Sevilla,24,1968,26,20,"1,787",19.9,4,,4,0,,6,0,0.20,,,0.20,,Matches,1993-1994
50,Rubén Baraja,es ESP,MF,Valladolid,18,1975,5,2,213,2.4,1,,1,0,,2,0,0.42,,,0.42,,Matches,1993-1994
52,Sergi Barjuán,es ESP,DF,Barcelona,21,1971,23,22,"2,000",22.2,0,,0,0,,4,0,0.00,,,0.00,,Matches,1993-1994
53,Claudio Barragán,es ESP,FW,Deportivo La Coruña,29,1964,31,27,"2,305",25.6,9,,9,0,,4,0,0.35,,,0.35,,Matches,1993-1994
54,Xavier Bartolo,es ESP,FW,Lleida,24,1968,10,7,646,7.2,0,,0,0,,2,0,0.00,,,0.00,,Matches,1993-1994
55,Bebeto,br BRA,FW,Deportivo La Coruña,29,1964,34,34,"2,962",32.9,16,,16,0,,3,0,0.49,,,0.49,,Matches,1993-1994
