,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,Season
0,Toni Dovale,es ESP,"DF,MF",Celta Vigo,22,1990,14,0,270,3.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,2012-2013
1,Damià Abella,es ESP,"DF,MF",Osasuna,30,1982,29,29,"2,471",27.5,0,1,0,0,0,15,0,0.00,0.04,0.04,0.00,0.04,Matches,2012-2013
2,Éric Abidal,fr FRA,DF,Barcelona,32,1979,5,2,187,2.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2012-2013
3,David Abraham,ar ARG,DF,Getafe,26,1986,9,9,768,8.5,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,2012-2013
4,Mohammed Abu,gh GHA,"FW,MF",Rayo Vallecano,20,1991,1,1,56,0.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2012-2013
5,Robert Acquafresca,it ITA,FW,Levante,24,1987,13,12,936,10.4,3,0,3,0,0,1,0,0.29,0.00,0.29,0.29,0.29,Matches,2012-2013
6,Antonio Adán,es ESP,GK,Real Madrid,25,1987,3,3,186,2.1,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,Matches,2012-2013
7,Adrián,es ESP,GK,Betis,25,1987,32,31,"2,869",31.9,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Matches,2012-2013
8,Adriano,br BRA,"DF,MF",Barcelona,27,1984,23,18,"1,428",15.9,5,1,5,0,0,3,0,0.32,0.06,0.38,0.32,0.38,Matches,2012-2013
9,Aritz Aduriz,es ESP,FW,Athletic Club,31,1981,36,33,"2,547",28.3,14,6,13,1,2,12,1,0.49,0.21,0.71,0.46,0.67,Matches,2012-2013
10,Imanol Agirretxe,es ESP,FW,Real Sociedad,25,1987,34,22,"2,060",22.9,13,6,13,0,0,2,0,0.57,0.26,0.83,0.57,0.83,Matches,2012-2013
11,Salvador Agra,pt POR,"FW,MF",Betis,20,1991,10,7,506,5.6,1,0,1,0,0,3,0,0.18,0.00,0.18,0.18,0.18,Matches,2012-2013
12,Tarsicio Aguado,es ESP,MF,Zaragoza,17,1994,1,0,64,0.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2012-2013
13,Abel Aguilar,co COL,MF,La Coruña,27,1985,28,27,"2,411",26.8,3,3,3,0,0,13,1,0.11,0.11,0.22,0.11,0.22,Matches,2012-2013
14,Javi Álamo,es ESP,"FW,MF",Zaragoza,23,1988,7,0,79,0.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2012-2013
15,Jordi Alba,es ESP,"DF,MF",Barcelona,23,1989,29,27,"2,497",27.7,2,5,2,0,0,3,0,0.07,0.18,0.25,0.07,0.25,Matches,2012-2013
16,David Albelda,es ESP,"DF,MF",Valencia,34,1977,18,16,"1,188",13.2,0,0,0,0,0,11,0,0.00,0.00,0.00,0.00,0.00,Matches,2012-2013
17,Raúl Albiol,es ESP,DF,Real Madrid,26,1985,18,14,"1,380",15.3,1,0,1,0,0,6,0,0.07,0.00,0.07,0.07,0.07,Matches,2012-2013
18,Paco Alcácer,es ESP,FW,Getafe,18,1993,20,6,694,7.7,3,0,3,0,0,0,0,0.39,0.00,0.39,0.39,0.39,Matches,2012-2013
19,Thiago Alcántara,es ESP,MF,Barcelona,21,1991,27,15,"1,415",15.7,2,4,2,0,0,4,0,0.13,0.25,0.38,0.13,0.38,Matches,2012-2013
20,Pablo Alcolea,es ESP,GK,Zaragoza,23,1989,2,1,103,1.1,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,2012-2013
21,Alexis,es ESP,DF,Getafe,26,1985,26,25,"2,246",25.0,3,0,3,0,0,11,2,0.12,0.00,0.12,0.12,0.12,Matches,2012-2013
22,Alejandro Alfaro,es ESP,"FW,MF",Mallorca,25,1986,27,13,"1,302",14.5,6,1,6,0,0,1,0,0.41,0.07,0.48,0.41,0.48,Matches,2012-2013
23,Christian Alfonso,es ESP,MF,Espanyol,23,1989,13,2,313,3.5,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,2012-2013
24,Xabi Alonso,es ESP,MF,Real Madrid,30,1981,28,22,"2,149",23.9,0,5,0,0,1,11,0,0.00,0.21,0.21,0.00,0.21,Matches,2012-2013
26,Cristian Álvarez,ar ARG,GK,Espanyol,26,1985,18,18,"1,597",17.7,0,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,Matches,2012-2013
