,Player,Signed,WeeklyGrossEuro,AnnualGrossEuro,TotalGrossEuro,ExpDate,Length,Club,season,ExpDateYear,League
73,Dawid Kownacki,"Jun 30, 2019",16000.0,832000.0,3328000.0,"Jun 30, 2023",4.0,Dusseldorf,2019-2020,2023.0,1-bundesliga
74,Weston McKennie,"Jun 30, 2019",15000.0,780000.0,3900000.0,"Jun 30, 2024",5.0,Schalke 04,2019-2020,2024.0,1-bundesliga
75,Georg Teigl,"Jun 28, 2019",9577.0,498000.0,1494000.0,"Jun 30, 2022",3.0,Augsburg,2019-2020,2022.0,1-bundesliga
76,Jan Morávek,"Jun 28, 2019",10000.0,520000.0,1560000.0,"Jun 30, 2022",3.0,Augsburg,2019-2020,2022.0,1-bundesliga
77,Raphael Framberger,"Jun 27, 2019",4500.0,234000.0,1170000.0,"Jun 30, 2024",5.0,Augsburg,2019-2020,2024.0,1-bundesliga
78,Eric Oelschlägel,"Jun 27, 2019",1596.0,83000.0,83000.0,"Jun 30, 2020",1.0,Borussia Dortmund,2019-2020,2020.0,1-bundesliga
79,Alexander Stolz,"Jun 24, 2019",1000.0,52000.0,52000.0,"Jun 30, 2020",1.0,Hoffenheim,2019-2020,2020.0,1-bundesliga
80,Tom Krauß,"Jun 24, 2019",1538.0,80000.0,160000.0,"Jun 30, 2021",2.0,Leipzig,2019-2020,2021.0,1-bundesliga
81,Michael Zetterer,"Jun 22, 2019",0.0,0.0,0.0,"Jun 30, 2021",2.0,Werder Bremen,2019-2020,2021.0,1-bundesliga
82,Emmanuel Iyoha,"Jun 19, 2019",0.0,0.0,0.0,"Jun 30, 2020",1.0,Dusseldorf,2019-2020,2020.0,1-bundesliga
83,Felix Kroos,"Jun 19, 2019",12981.0,675000.0,675000.0,"Jun 30, 2020",1.0,Union Berlin,2019-2020,2020.0,1-bundesliga
84,Jean-Philippe Mateta,"Jun 14, 2019",19173.0,997000.0,3988000.0,"Jun 30, 2023",4.0,Mainz,2019-2020,2023.0,1-bundesliga
85,Niklas Schmidt,"Jun 14, 2019",0.0,0.0,0.0,"Jun 30, 2021",2.0,Werder Bremen,2019-2020,2021.0,1-bundesliga
86,Keven Schlotterbeck,"Jun 5, 2019",1212.0,63000.0,63000.0,"Jun 30, 2020",1.0,Freiburg,2019-2020,2020.0,1-bundesliga
87,Florian Grillitsch,"Jun 5, 2019",19231.0,1000000.0,3000000.0,"Jun 30, 2022",3.0,Hoffenheim,2019-2020,2022.0,1-bundesliga
0,Christian Mathenia,"May 21, 2019",13462.0,700000.0,3500000.0,"Jun 30, 2024",5.0,Nurnberg,2018-2019,2024.0,1-bundesliga
1,Maximilian Mittelstädt,"May 19, 2019",8500.0,442000.0,1768000.0,"Jun 30, 2023",4.0,Hertha Berlin,2018-2019,2023.0,1-bundesliga
2,Nils Körber,"May 19, 2019",1500.0,78000.0,78000.0,"Jun 30, 2020",1.0,Hertha Berlin,2018-2019,2020.0,1-bundesliga
3,Vedad Ibisevic,"May 19, 2019",57500.0,2990000.0,2990000.0,"Jun 30, 2020",1.0,Hertha Berlin,2018-2019,2020.0,1-bundesliga
4,Michael Langer,"May 19, 2019",808.0,42000.0,84000.0,"Jun 30, 2021",2.0,Schalke 04,2018-2019,2021.0,1-bundesliga
5,Jérôme Roussillon,"May 19, 2019",28846.0,1500000.0,6000000.0,"Jun 30, 2023",4.0,Wolfsburg,2018-2019,2023.0,1-bundesliga
6,Claudio Pizarro,"May 18, 2019",5769.0,300000.0,300000.0,"Jun 30, 2020",1.0,Werder Bremen,2018-2019,2020.0,1-bundesliga
7,Josuha Guilavogui,"May 18, 2019",47904.0,2491000.0,9964000.0,"Jun 30, 2023",4.0,Wolfsburg,2018-2019,2023.0,1-bundesliga
8,Michael Rensing,"May 14, 2019",9577.0,498000.0,498000.0,"Jun 30, 2020",1.0,Dusseldorf,2018-2019,2020.0,1-bundesliga
9,Finn Dahmen,"May 10, 2019",1500.0,78000.0,312000.0,"Jun 30, 2023",4.0,Mainz,2018-2019,2023.0,1-bundesliga
10,Elvis Rexhbecaj,"May 6, 2019",2865.0,149000.0,596000.0,"Jun 30, 2023",4.0,Wolfsburg,2018-2019,2023.0,1-bundesliga
11,Patrick Herrmann,"May 2, 2019",38462.0,2000000.0,6000000.0,"Jun 30, 2022",3.0,Mönchengladbach,2018-2019,2022.0,1-bundesliga
12,Adam Bodzek,"Apr 30, 2019",6712.0,349000.0,349000.0,"Jun 30, 2020",1.0,Dusseldorf,2018-2019,2020.0,1-bundesliga
13,Jan Zimmermann,"Apr 29, 2019",8500.0,442000.0,884000.0,"Jun 30, 2021",2.0,Eintracht Frankfurt,2018-2019,2021.0,1-bundesliga
14,Thomas Kraft,"Apr 17, 2019",19154.0,996000.0,996000.0,"Jun 30, 2020",1.0,Hertha Berlin,2018-2019,2020.0,1-bundesliga
15,Jonas Hofmann,"Apr 16, 2019",28750.0,1495000.0,5980000.0,"Jun 30, 2023",4.0,Mönchengladbach,2018-2019,2023.0,1-bundesliga
16,Nassim Boujellab,"Apr 6, 2019",0.0,0.0,0.0,"Jun 30, 2022",3.0,Schalke 04,2018-2019,2022.0,1-bundesliga
17,Ramazan Özcan,"Mar 27, 2019",15000.0,780000.0,780000.0,"Jun 30, 2020",1.0,Bayer Leverkusen,2018-2019,2020.0,1-bundesliga
18,Karim Onisiwo,"Mar 26, 2019",8500.0,442000.0,442000.0,"Jun 30, 2020",1.0,Mainz,2018-2019,2020.0,1-bundesliga
19,Guido Burgstaller,"Mar 26, 2019",19231.0,1000000.0,3000000.0,"Jun 30, 2022",3.0,Schalke 04,2018-2019,2022.0,1-bundesliga
20,Oliver Fink,"Mar 19, 2019",6712.0,349000.0,349000.0,"Jun 30, 2020",1.0,Bayern Munich,2018-2019,2020.0,1-bundesliga
21,Yussuf Poulsen,"Mar 14, 2019",38462.0,2000000.0,6000000.0,"Jun 30, 2022",3.0,Leipzig,2018-2019,2022.0,1-bundesliga
22,Raffael,"Mar 7, 2019",76654.0,3986000.0,3986000.0,"Jun 30, 2020",1.0,Mönchengladbach,2018-2019,2020.0,1-bundesliga
23,Serge Gnabry,"Mar 5, 2019",153846.0,8000000.0,32000000.0,"Jun 30, 2023",4.0,Bayern Munich,2018-2019,2023.0,1-bundesliga
24,Josh Sargent,"Feb 26, 2019",4788.0,249000.0,747000.0,"Jun 30, 2022",3.0,Werder Bremen,2018-2019,2022.0,1-bundesliga
25,Oscar Wendt,"Feb 23, 2019",28846.0,1500000.0,1500000.0,"Jun 30, 2020",1.0,Mönchengladbach,2018-2019,2020.0,1-bundesliga
26,Michael Zetterer,"Feb 6, 2019",2000.0,104000.0,104000.0,"Jun 30, 2019",1.0,Werder Bremen,2018-2019,2019.0,1-bundesliga
27,Theodor Gebre Selassie,"Feb 2, 2019",28846.0,1500000.0,1500000.0,"Jun 30, 2020",1.0,Werder Bremen,2018-2019,2020.0,1-bundesliga
28,Patrick Finger,"Feb 1, 2019",365.0,19000.0,19000.0,"Jun 30, 2020",1.0,Eintracht Frankfurt,2018-2019,2020.0,1-bundesliga
29,Ahmed Kutucu,"Feb 1, 2019",346.0,18000.0,54000.0,"Jun 30, 2022",3.0,Schalke 04,2018-2019,2022.0,1-bundesliga
30,Dzenis Burnic,"Jan 31, 2019",4500.0,234000.0,234000.0,"Jun 30, 2019",1.0,Borussia Dortmund,2018-2019,2019.0,1-bundesliga
31,Daniel Baier,"Jan 17, 2019",38327.0,1993000.0,1993000.0,"Jun 30, 2020",1.0,Augsburg,2018-2019,2020.0,1-bundesliga
32,Jeffrey Gouweleeuw,"Jan 17, 2019",19231.0,1000000.0,5000000.0,"Jun 30, 2024",5.0,Augsburg,2018-2019,2024.0,1-bundesliga
33,Kevin Danso,"Jan 17, 2019",4500.0,234000.0,1170000.0,"Jun 30, 2024",5.0,Augsburg,2018-2019,2024.0,1-bundesliga
34,Ibrahima Konaté,"Jan 17, 2019",19173.0,997000.0,3988000.0,"Jun 30, 2023",4.0,Leipzig,2018-2019,2023.0,1-bundesliga
35,Nils Stendera,"Jan 16, 2019",365.0,19000.0,57000.0,"Jun 30, 2022",3.0,Eintracht Frankfurt,2018-2019,2022.0,1-bundesliga
36,Felipe Pires,"Dec 22, 2018",9615.0,500000.0,500000.0,"Dec 31, 2019",1.0,Hoffenheim,2018-2019,2019.0,1-bundesliga
37,Danny da Costa,"Dec 21, 2018",15000.0,780000.0,2340000.0,"Jun 30, 2022",3.0,Eintracht Frankfurt,2018-2019,2022.0,1-bundesliga
38,Nico Schulz,"Dec 21, 2018",25000.0,1300000.0,2600000.0,"Jun 30, 2021",2.0,Hoffenheim,2018-2019,2021.0,1-bundesliga
39,Mijat Gacinovic,"Dec 20, 2018",15000.0,780000.0,2340000.0,"Jun 30, 2022",3.0,Eintracht Frankfurt,2018-2019,2022.0,1-bundesliga
40,Gelson Fernandes,"Dec 18, 2018",23077.0,1200000.0,1200000.0,"Jun 30, 2020",1.0,Eintracht Frankfurt,2018-2019,2020.0,1-bundesliga
41,Marco Russ,"Dec 17, 2018",15000.0,780000.0,780000.0,"Jun 30, 2020",1.0,Eintracht Frankfurt,2018-2019,2020.0,1-bundesliga
42,Makoto Hasebe,"Dec 16, 2018",20000.0,1040000.0,1040000.0,"Jun 30, 2020",1.0,Eintracht Frankfurt,2018-2019,2020.0,1-bundesliga
43,Stefan Posch,"Dec 4, 2018",2000.0,104000.0,312000.0,"Jun 30, 2022",3.0,Hoffenheim,2018-2019,2022.0,1-bundesliga
44,Simon Rhein,"Nov 29, 2018",990.0,51500.0,103000.0,"Jun 30, 2021",2.0,Nurnberg,2018-2019,2021.0,1-bundesliga
45,Joelinton,"Nov 21, 2018",8654.0,450000.0,1350000.0,"Jun 30, 2022",3.0,Hoffenheim,2018-2019,2022.0,1-bundesliga
46,Ondrej Petrak,"Nov 20, 2018",8500.0,442000.0,884000.0,"Jun 30, 2021",2.0,Nurnberg,2018-2019,2021.0,1-bundesliga
47,Leandro Barreiro Martins,"Nov 4, 2018",962.0,50000.0,150000.0,"Jun 30, 2022",3.0,Mainz,2018-2019,2022.0,1-bundesliga
48,Jonathan Burkardt,"Nov 2, 2018",2000.0,104000.0,312000.0,"Jun 30, 2022",3.0,Mainz,2018-2019,2022.0,1-bundesliga
49,Tin Jedvaj,"Oct 17, 2018",28750.0,1495000.0,5980000.0,"Jun 30, 2023",4.0,Bayer Leverkusen,2018-2019,2023.0,1-bundesliga
50,Naldo,"Oct 17, 2018",57500.0,2990000.0,2990000.0,"Jun 30, 2020",1.0,Schalke 04,2018-2019,2020.0,1-bundesliga
51,Ahmet Gürleyen,"Oct 11, 2018",1913.0,99500.0,298500.0,"Jun 30, 2022",3.0,Mainz,2018-2019,2022.0,1-bundesliga
52,Marius Müller,"Oct 4, 2018",15000.0,780000.0,1560000.0,"Jun 30, 2021",2.0,Leipzig,2018-2019,2021.0,1-bundesliga
53,Jadon Sancho,"Oct 2, 2018",38327.0,1993000.0,5979000.0,"Jun 30, 2022",3.0,Borussia Dortmund,2018-2019,2022.0,1-bundesliga
54,Louis Beyer,"Sep 14, 2018",4500.0,234000.0,702000.0,"Jun 30, 2022",3.0,Mönchengladbach,2018-2019,2022.0,1-bundesliga
55,Hendrik Weydandt,"Sep 3, 2018",3500.0,182000.0,182000.0,"Jun 30, 2020",1.0,Hannover,2018-2019,2020.0,1-bundesliga
56,Mike-Steven Bähre,"Aug 31, 2018",1202.0,62500.0,62500.0,"Jun 30, 2019",1.0,Hannover,2018-2019,2019.0,1-bundesliga
57,Niclas Füllkrug,"Aug 31, 2018",48077.0,2500000.0,7500000.0,"Jun 30, 2022",3.0,Hannover,2018-2019,2022.0,1-bundesliga
58,Jean-Philippe Gbamin,"Aug 23, 2018",38462.0,2000000.0,8000000.0,"Jun 30, 2023",4.0,Mainz,2018-2019,2023.0,1-bundesliga
59,Daniel Brosinski,"Aug 22, 2018",15385.0,800000.0,800000.0,"Jun 30, 2020",1.0,Mainz,2018-2019,2020.0,1-bundesliga
60,Kevin Vogt,"Aug 21, 2018",38462.0,2000000.0,6000000.0,"Jun 30, 2022",3.0,Hoffenheim,2018-2019,2022.0,1-bundesliga
61,Leon Bailey,"Aug 19, 2018",76923.0,4000000.0,16000000.0,"Jun 30, 2023",4.0,Bayer Leverkusen,2018-2019,2023.0,1-bundesliga
62,Erik Thommy,"Aug 19, 2018",19231.0,1000000.0,3000000.0,"Jun 30, 2022",3.0,Stuttgart,2018-2019,2022.0,1-bundesliga
63,Andrej Kramaric,"Aug 17, 2018",57692.0,3000000.0,9000000.0,"Jun 30, 2022",3.0,Hoffenheim,2018-2019,2022.0,1-bundesliga
64,Jiri Pavlenka,"Aug 11, 2018",48077.0,2500000.0,5000000.0,"Jun 30, 2021",2.0,Werder Bremen,2018-2019,2021.0,1-bundesliga
65,Ante Rebic,"Aug 10, 2018",57692.0,3000000.0,9000000.0,"Jun 30, 2022",3.0,Eintracht Frankfurt,2018-2019,2022.0,1-bundesliga
66,Pavel Kaderabek,"Aug 10, 2018",38462.0,2000000.0,8000000.0,"Jun 30, 2023",4.0,Hoffenheim,2018-2019,2023.0,1-bundesliga
67,Philipp Ochs,"Aug 9, 2018",1250.0,65000.0,65000.0,"Jun 30, 2019",1.0,Hoffenheim,2018-2019,2019.0,1-bundesliga
68,Santiago Ascacíbar,"Aug 9, 2018",38462.0,2000000.0,8000000.0,"Jun 30, 2023",4.0,Stuttgart,2018-2019,2023.0,1-bundesliga
69,Joel Pohjanpalo,"Aug 8, 2018",19231.0,1000000.0,3000000.0,"Jun 30, 2022",3.0,Bayer Leverkusen,2018-2019,2022.0,1-bundesliga
70,Ludwig Augustinsson,"Aug 5, 2018",38462.0,2000000.0,6000000.0,"Jun 30, 2022",3.0,Werder Bremen,2018-2019,2022.0,1-bundesliga
71,Takashi Usami,"Aug 4, 2018",15000.0,780000.0,780000.0,"Jun 30, 2019",1.0,Dusseldorf,2018-2019,2019.0,1-bundesliga
72,Dennis Smarsch,"Jul 31, 2018",577.0,30000.0,30000.0,"Jun 30, 2019",1.0,Hertha Berlin,2018-2019,2019.0,1-bundesliga
73,Max Besuschkow,"Jul 23, 2018",4058.0,211000.0,211000.0,"Jun 30, 2020",1.0,Eintracht Frankfurt,2018-2019,2020.0,1-bundesliga
74,Elias Abouchabaka,"Jul 13, 2018",7673.0,399000.0,399000.0,"Jun 30, 2020",1.0,Leipzig,2018-2019,2020.0,1-bundesliga
75,Niklas Moisander,"Jul 13, 2018",38327.0,1993000.0,3986000.0,"Jun 30, 2021",2.0,Werder Bremen,2018-2019,2021.0,1-bundesliga
76,Bruno Nazário,"Jul 12, 2018",4500.0,234000.0,468000.0,"Jun 30, 2021",2.0,Hoffenheim,2018-2019,2021.0,1-bundesliga
77,Holger Badstuber,"Jul 10, 2018",57692.0,3000000.0,6000000.0,"Jun 30, 2021",2.0,Stuttgart,2018-2019,2021.0,1-bundesliga
78,Pierre Kunde Malong,"Jul 6, 2018",11500.0,598000.0,1794000.0,"Jun 30, 2022",3.0,Mainz,2018-2019,2022.0,1-bundesliga
79,Jaroslav Drobny,"Jul 5, 2018",15000.0,780000.0,780000.0,"Jun 30, 2019",1.0,Werder Bremen,2018-2019,2019.0,1-bundesliga
80,Michael Zetterer,"Jul 5, 2018",2000.0,104000.0,104000.0,"Jun 30, 2019",1.0,Werder Bremen,2018-2019,2019.0,1-bundesliga
81,Josip Brekalo,"Jul 1, 2018",34615.0,1800000.0,7200000.0,"Jun 30, 2023",4.0,Wolfsburg,2018-2019,2023.0,1-bundesliga
