,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches,Season
0,Ismael Aaneba,fr FRA,DF,Strasbourg,19,1999,3,3,204,2.3,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.5,0.5,0.00,0.20,0.20,0.00,0.20,Matches,2018-2019
1,Yunis Abdelhamid,ma MAR,DF,Reims,30,1987,38,38,"3,420",38.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,1.7,1.7,0.1,1.8,0.04,0.00,0.05,0.04,0.05,Matches,2018-2019
2,Mehdi Abeid,dz ALG,MF,Dijon,25,1992,26,23,"2,023",22.5,3,0,2,1,1,6,0,0.13,0.00,0.13,0.09,0.09,3.1,2.4,1.5,3.8,0.14,0.06,0.20,0.11,0.17,Matches,2018-2019
3,Charles Abi,fr FRA,"MF,FW",Saint-Étienne,18,2000,3,0,32,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.45,0.00,0.45,0.45,0.45,Matches,2018-2019
4,Khaled Adénon,bj BEN,DF,Amiens,33,1985,23,22,"1,994",22.2,0,0,0,0,0,7,1,0.00,0.00,0.00,0.00,0.00,0.9,0.9,0.1,0.9,0.04,0.00,0.04,0.04,0.04,Matches,2018-2019
5,Yacine Adli,fr FRA,"MF,FW",Bordeaux,18,2000,7,2,216,2.4,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.9,0.9,0.01,0.38,0.39,0.01,0.39,Matches,2018-2019
6,Nayef Aguerd,ma MAR,DF,Dijon,22,1996,13,12,"1,050",11.7,3,0,3,0,0,4,1,0.26,0.00,0.26,0.26,0.26,1.5,1.5,0.1,1.5,0.13,0.00,0.13,0.13,0.13,Matches,2018-2019
7,Ruben Aguilar,fr FRA,"DF,MF",Montpellier,25,1993,29,29,"2,528",28.1,1,4,1,0,0,8,0,0.04,0.14,0.18,0.04,0.18,0.7,0.7,3.2,3.9,0.03,0.11,0.14,0.03,0.14,Matches,2018-2019
8,Jean-Eudes Aholou,ci CIV,MF,Monaco,24,1994,17,12,"1,075",11.9,0,1,0,0,0,2,0,0.00,0.08,0.08,0.00,0.08,0.6,0.6,0.2,0.8,0.05,0.01,0.07,0.05,0.07,Matches,2018-2019
9,Youssef Aït Bennasser,ma MAR,MF,Saint-Étienne,22,1996,13,11,936,10.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.4,0.7,0.02,0.04,0.06,0.02,0.06,Matches,2018-2019
10,Youssef Aït Bennasser,ma MAR,MF,Monaco,22,1996,13,12,"1,073",11.9,0,2,0,0,0,2,0,0.00,0.17,0.17,0.00,0.17,0.4,0.4,1.0,1.4,0.03,0.09,0.11,0.03,0.11,Matches,2018-2019
11,Rayan Aït Nouri,fr FRA,DF,Angers,17,2001,3,0,57,0.6,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,2018-2019
12,Ludovic Ajorque,re REU,FW,Strasbourg,24,1994,25,18,"1,531",17.0,9,1,9,0,0,5,0,0.53,0.06,0.59,0.53,0.59,5.7,5.7,1.0,6.8,0.34,0.06,0.40,0.34,0.40,Matches,2018-2019
13,Sofiane Alakouch,ma MAR,DF,Nîmes,20,1998,25,23,"1,895",21.1,1,0,1,0,0,4,0,0.05,0.00,0.05,0.05,0.05,0.6,0.6,1.8,2.4,0.03,0.08,0.11,0.03,0.11,Matches,2018-2019
14,Alexis Alegue,fr FRA,FW,Nantes,21,1996,1,0,5,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,2018-2019
15,Rúnar Alex Rúnarsson,is ISL,GK,Dijon,23,1995,25,25,"2,250",25.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,2018-2019
16,Rachid Alioui,ma MAR,FW,Nîmes,26,1992,27,11,"1,252",13.9,5,0,5,0,0,1,0,0.36,0.00,0.36,0.36,0.36,5.3,5.3,1.2,6.5,0.38,0.09,0.47,0.38,0.47,Matches,2018-2019
17,Bobby Allain,fr FRA,GK,Dijon,26,1991,13,13,"1,170",13.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,2018-2019
18,Mickaël Alphonse,gp GLP,DF,Dijon,29,1989,11,6,571,6.3,1,0,1,0,0,0,0,0.16,0.00,0.16,0.16,0.16,0.3,0.3,0.4,0.7,0.04,0.07,0.11,0.04,0.11,Matches,2018-2019
19,Dani Alves,br BRA,"MF,DF",Paris S-G,35,1983,23,19,"1,622",18.0,1,7,1,0,0,4,0,0.06,0.39,0.44,0.06,0.44,2.2,2.2,7.0,9.2,0.12,0.39,0.51,0.12,0.51,Matches,2018-2019
20,Romain Amalfitano,fr FRA,"MF,FW",Dijon,28,1989,32,30,"2,522",28.0,0,0,0,0,0,3,1,0.00,0.00,0.00,0.00,0.00,0.6,0.6,0.9,1.5,0.02,0.03,0.05,0.02,0.05,Matches,2018-2019
21,Jordan Amavi,fr FRA,DF,Marseille,24,1994,28,24,"2,177",24.2,0,2,0,0,0,7,2,0.00,0.08,0.08,0.00,0.08,0.6,0.6,2.0,2.6,0.02,0.08,0.11,0.02,0.11,Matches,2018-2019
22,Kelvin Amian,fr FRA,DF,Toulouse,20,1998,32,32,"2,880",32.0,0,1,0,0,0,6,0,0.00,0.03,0.03,0.00,0.03,0.5,0.5,0.7,1.2,0.02,0.02,0.04,0.02,0.04,Matches,2018-2019
23,Yanis Ammour,fr FRA,MF,Montpellier,19,1999,1,0,2,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,2018-2019
24,Benjamin André,fr FRA,MF,Rennes,27,1990,30,28,"2,495",27.7,3,1,3,0,0,8,1,0.11,0.04,0.14,0.11,0.14,3.3,3.3,1.2,4.6,0.12,0.05,0.17,0.12,0.17,Matches,2018-2019
26,Yoann Andreu,fr FRA,DF,Angers,29,1989,1,0,4,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,2018-2019
27,Houssem Aouar,fr FRA,MF,Lyon,20,1998,37,35,"3,061",34.0,7,7,7,0,0,2,0,0.21,0.21,0.41,0.21,0.41,7.5,7.5,3.3,10.8,0.22,0.10,0.32,0.22,0.32,Matches,2018-2019
28,Luiz Araújo,br BRA,"FW,MF",Lille,22,1996,25,6,781,8.7,3,2,3,0,0,2,1,0.35,0.23,0.58,0.35,0.58,2.4,2.4,1.2,3.6,0.28,0.13,0.41,0.28,0.41,Matches,2018-2019
29,Alphonse Areola,fr FRA,GK,Paris S-G,25,1993,21,21,"1,890",21.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,2018-2019
30,Yoël Armougom,fr FRA,"DF,MF",Caen,20,1998,29,20,"1,853",20.6,0,1,0,0,0,5,1,0.00,0.05,0.05,0.00,0.05,0.2,0.2,1.4,1.5,0.01,0.07,0.07,0.01,0.07,Matches,2018-2019
31,Youcef Atal,dz ALG,"DF,MF",Nice,22,1996,29,25,"2,263",25.1,6,0,6,0,1,8,0,0.24,0.00,0.24,0.24,0.24,3.6,2.9,3.3,6.2,0.14,0.13,0.28,0.11,0.25,Matches,2018-2019
32,Ludovic Baal,gf GUF,DF,Rennes,32,1986,2,1,126,1.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,2018-2019
33,Benoît Badiashile,fr FRA,DF,Monaco,17,2001,20,20,"1,762",19.6,1,0,1,0,0,4,0,0.05,0.00,0.05,0.05,0.05,0.6,0.6,0.1,0.7,0.03,0.00,0.03,0.03,0.03,Matches,2018-2019
34,Stéphane Bahoken,cm CMR,FW,Angers,26,1992,32,31,"2,469",27.4,11,1,9,2,3,3,0,0.40,0.04,0.44,0.33,0.36,8.9,6.6,2.9,9.5,0.32,0.10,0.43,0.24,0.35,Matches,2018-2019
35,Fodé Ballo-Touré,sn SEN,DF,Lille,21,1997,18,18,"1,593",17.7,0,1,0,0,0,3,0,0.00,0.06,0.06,0.00,0.06,0.3,0.3,1.2,1.4,0.01,0.07,0.08,0.01,0.08,Matches,2018-2019
36,Fodé Ballo-Touré,sn SEN,DF,Monaco,21,1997,18,18,"1,594",17.7,0,3,0,0,0,4,0,0.00,0.17,0.17,0.00,0.17,0.3,0.3,2.6,2.9,0.02,0.15,0.16,0.02,0.16,Matches,2018-2019
37,Florent Balmont,fr FRA,MF,Dijon,38,1980,20,15,"1,076",12.0,0,1,0,0,0,3,0,0.00,0.08,0.08,0.00,0.08,0.1,0.1,0.9,1.0,0.01,0.08,0.09,0.01,0.09,Matches,2018-2019
