,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches,Season
326,Julien Laporte,fr FRA,DF,Lorient,26,1993,30,30,"2,659",29.5,0,0,0,0,0,8,1,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.2,0.7,0.01,0.01,0.02,0.01,0.02,Matches,2020-2021
327,Gautier Larsonneur,fr FRA,GK,Brest,23,1997,35,35,"3,150",35.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,2020-2021
328,Paul Lasne,fr FRA,MF,Brest,31,1989,22,19,"1,681",18.7,0,0,0,0,0,4,1,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.5,1.0,0.03,0.03,0.05,0.03,0.05,Matches,2020-2021
329,Armand Lauriente,fr FRA,"FW,MF",Lorient,21,1998,29,16,"1,622",18.0,3,5,3,0,0,4,0,0.17,0.28,0.44,0.17,0.44,3.2,3.2,5.2,8.4,0.18,0.29,0.46,0.18,0.46,Matches,2020-2021
330,Wesley Lautoa,nc NCL,"MF,DF",Dijon,32,1987,25,19,"1,608",17.9,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.7,0.7,0.1,0.8,0.04,0.01,0.04,0.04,0.04,Matches,2020-2021
331,Jérémy Le Douaron,fr FRA,"FW,MF",Brest,22,1998,28,7,816,9.1,1,2,1,0,0,0,0,0.11,0.22,0.33,0.11,0.33,1.7,1.7,0.5,2.2,0.19,0.06,0.25,0.19,0.25,Matches,2020-2021
332,Enzo Le Fée,fr FRA,"MF,FW",Lorient,20,2000,36,21,"1,816",20.2,0,5,0,0,0,6,0,0.00,0.25,0.25,0.00,0.25,1.2,1.2,4.6,5.8,0.06,0.23,0.29,0.06,0.29,Matches,2020-2021
333,Vincent Le Goff,fr FRA,DF,Lorient,30,1989,26,26,"2,306",25.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,2.3,2.5,0.01,0.09,0.10,0.01,0.10,Matches,2020-2021
334,Damien Le Tallec,fr FRA,"MF,DF",Montpellier,30,1990,23,13,"1,227",13.6,0,0,0,0,0,3,1,0.00,0.00,0.00,0.00,0.00,1.3,1.3,0.3,1.6,0.09,0.02,0.12,0.09,0.12,Matches,2020-2021
335,James Lea Siliki,cm CMR,MF,Rennes,24,1996,7,3,255,2.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.0,0.3,0.09,0.01,0.11,0.09,0.11,Matches,2020-2021
336,Jean-Louis Leca,fr FRA,GK,Lens,34,1985,37,37,"3,313",36.8,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.00,0.00,0.00,0.00,Matches,2020-2021
338,Benjamin Lecomte,fr FRA,GK,Monaco,29,1991,28,28,"2,520",28.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,2020-2021
339,Pierre Lees-Melou,fr FRA,MF,Nice,27,1993,29,23,"2,063",22.9,4,2,3,1,1,3,1,0.17,0.09,0.26,0.13,0.22,4.3,3.6,1.3,4.9,0.19,0.06,0.24,0.16,0.21,Matches,2020-2021
340,Fabien Lemoine,fr FRA,MF,Lorient,33,1987,30,24,"1,934",21.5,1,0,1,0,0,8,0,0.05,0.00,0.05,0.05,0.05,1.0,1.0,1.1,2.1,0.04,0.05,0.10,0.04,0.10,Matches,2020-2021
341,Aaron Leya Iseka,be BEL,FW,Metz,22,1997,21,12,"1,008",11.2,4,0,2,2,3,4,0,0.36,0.00,0.36,0.18,0.18,4.7,2.4,0.7,3.1,0.42,0.06,0.48,0.21,0.28,Matches,2020-2021
