,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,Season
0,Aymen Abdennour,tn TUN,DF,Toulouse,21,1989,32,32,"2,880",32.0,2,0,2,0,0,7,0,0.06,0.00,0.06,0.06,0.06,Matches,2011-2012
1,Pape Abdou Camara,sn SEN,MF,Valenciennes,19,1991,11,8,699,7.8,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,2011-2012
2,Vincent Aboubakar,cm CMR,FW,Valenciennes,19,1992,27,25,"2,227",24.7,6,3,6,0,0,6,0,0.24,0.12,0.36,0.24,0.36,Matches,2011-2012
3,Fabrice Abriel,fr FRA,MF,Nice,32,1979,27,23,"1,856",20.6,0,2,0,0,0,2,0,0.00,0.10,0.10,0.00,0.10,Matches,2011-2012
4,Hakeem Achour,dz ALG,MF,Dijon,22,1989,1,0,4,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2011-2012
5,Youssef Adnane,fr FRA,FW,Evian,26,1985,9,3,278,3.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2011-2012
6,Yannick Aguemon,bj BEN,"FW,MF",Toulouse,19,1992,2,0,18,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2011-2012
7,Ali Ahamada,km COM,GK,Toulouse,19,1991,38,38,"3,420",38.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,2011-2012
8,Karim Aït-Fana,ma MAR,"FW,MF",Montpellier,22,1989,11,6,530,5.9,2,1,2,0,0,1,0,0.34,0.17,0.51,0.34,0.51,Matches,2011-2012
9,Jean-Daniel Akpa-Akpro,ci CIV,"DF,MF",Toulouse,18,1992,13,5,604,6.7,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,2011-2012
10,Danijel Aleksić,rs SRB,"FW,MF",Saint-Étienne,20,1991,1,0,8,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2011-2012
11,Alex,br BRA,DF,Paris S-G,29,1982,15,15,"1,287",14.3,2,1,2,0,0,2,0,0.14,0.07,0.21,0.14,0.21,Matches,2011-2012
12,Jérémie Aliadière,fr FRA,"FW,MF",Lorient,28,1983,18,15,"1,370",15.2,2,0,2,0,0,3,0,0.13,0.00,0.13,0.13,0.13,Matches,2011-2012
13,Paul Alo'o,cm CMR,FW,Nancy,27,1983,6,0,77,0.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2011-2012
14,Alejandro Alonso,ar ARG,MF,Saint-Étienne,29,1982,5,2,149,1.7,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,2011-2012
15,Alexandre Alphonse,gp GLP,"FW,MF",Brest,29,1982,11,9,734,8.2,1,1,1,0,0,0,0,0.12,0.12,0.25,0.12,0.25,Matches,2011-2012
16,Sanaa Altama,td CHA,MF,Dijon,21,1990,17,11,961,10.7,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,2011-2012
17,Morgan Amalfitano,fr FRA,MF,Marseille,26,1985,32,28,"2,454",27.3,1,4,1,0,0,9,0,0.04,0.15,0.18,0.04,0.18,Matches,2011-2012
18,Stephan Andersen,dk DEN,GK,Evian,29,1981,30,29,"2,640",29.3,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,2011-2012
19,Benjamin André,fr FRA,"DF,MF",Ajaccio,20,1990,33,30,"2,646",29.4,4,2,4,0,0,11,0,0.14,0.07,0.20,0.14,0.20,Matches,2011-2012
20,Benjamin Angoua,ci CIV,DF,Valenciennes,24,1986,20,20,"1,726",19.2,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches,2011-2012
21,Aldo Angoula,fr FRA,DF,Evian,30,1981,30,29,"2,576",28.6,2,0,2,0,0,8,1,0.07,0.00,0.07,0.07,0.07,Matches,2011-2012
22,Kévin Anin,fr FRA,MF,Nice,25,1986,13,11,865,9.6,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,Matches,2011-2012
23,Kévin Anin,fr FRA,MF,Sochaux,25,1986,14,14,"1,260",14.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,2011-2012
24,Onyekachi Apam,ng NGA,DF,Rennes,24,1986,12,12,915,10.2,0,0,0,0,0,5,1,0.00,0.00,0.00,0.00,0.00,Matches,2011-2012
26,Sylvain Armand,fr FRA,DF,Paris S-G,30,1980,23,8,875,9.7,1,1,1,0,0,3,0,0.10,0.10,0.21,0.10,0.21,Matches,2011-2012
27,Pierre-Emerick Aubameyang,ga GAB,"FW,MF",Saint-Étienne,22,1989,36,36,"3,141",34.9,16,7,16,0,0,2,0,0.46,0.20,0.66,0.46,0.66,Matches,2011-2012
28,Fabien Audard,fr FRA,GK,Lorient,33,1978,29,29,"2,465",27.4,0,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,Matches,2011-2012
