,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,Season
0,Jacques Abardonado,fr FRA,DF,Marseille,22,1978,18,13,"1,193",13.3,1,0,1,0,0,2,0,0.08,0.00,0.08,0.08,0.08,Matches,2000-2001
1,Yacine Abdessadki,ma MAR,MF,Strasbourg,19,1981,4,2,169,1.9,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,2000-2001
2,Éric Abidal,fr FRA,DF,Monaco,20,1979,7,4,430,4.8,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,2000-2001
3,Fabrice Abriel,fr FRA,MF,Paris S-G,21,1979,1,0,13,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2000-2001
4,Frédéric Adam,fr FRA,MF,Troyes,26,1973,25,23,"2,097",23.3,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Matches,2000-2001
5,Madjid Adjaoud,dz ALG,MF,Sedan,28,1971,24,18,"1,554",17.3,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches,2000-2001
6,Kodjo Afanou,fr FRA,DF,Bordeaux,22,1977,24,16,"1,630",18.1,1,0,1,0,0,4,0,0.06,0.00,0.06,0.06,0.06,Matches,2000-2001
7,Kuami Agboh,tg TOG,MF,Auxerre,22,1977,15,12,974,10.8,0,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,Matches,2000-2001
8,Hassan Ahamada,fr FRA,"FW,MF",Nantes,19,1981,12,4,380,4.2,0,1,0,0,0,0,0,0.00,0.24,0.24,0.00,0.24,Matches,2000-2001
9,Luiz Alberto,br BRA,DF,Saint-Étienne,22,1977,10,9,771,8.6,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,2000-2001
10,Raúl Alfredo Cascini,ar ARG,MF,Toulouse,29,1971,29,23,"2,052",22.8,1,1,1,0,0,7,0,0.04,0.04,0.09,0.04,0.09,Matches,2000-2001
11,Jimmy Algerino,fr FRA,DF,Paris S-G,28,1971,21,19,"1,730",19.2,0,1,0,0,0,2,0,0.00,0.05,0.05,0.00,0.05,Matches,2000-2001
12,Hervé Alicarte,fr FRA,DF,Toulouse,25,1974,10,9,795,8.8,0,1,0,0,0,4,0,0.00,0.11,0.11,0.00,0.11,Matches,2000-2001
13,Éric Allibert,fr FRA,GK,Lille,24,1976,2,1,109,1.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2000-2001
14,Aloísio,br BRA,FW,Saint-Étienne,25,1975,10,9,690,7.7,2,1,2,0,0,1,0,0.26,0.13,0.39,0.26,0.39,Matches,2000-2001
15,Jérôme Alonzo,fr FRA,GK,Saint-Étienne,27,1972,5,5,450,5.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2000-2001
16,Gharib Amzine,ma MAR,MF,Strasbourg,27,1973,16,14,"1,295",14.4,2,0,2,0,0,2,1,0.14,0.00,0.14,0.14,0.14,Matches,2000-2001
17,Sonny Anderson,br BRA,FW,Lyon,29,1970,29,29,"2,451",27.2,22,3,18,4,5,1,0,0.81,0.11,0.92,0.66,0.77,Matches,2000-2001
