,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,Season
37,Cédric Bardon,fr FRA,"FW,MF",Guingamp,24,1976,29,19,"1,905",21.2,8,5,7,1,2,4,0,0.38,0.24,0.61,0.33,0.57,Matches,2001-2002
38,Yannick Baret,fr FRA,MF,Guingamp,28,1972,31,31,"2,675",29.7,2,1,2,0,0,10,0,0.07,0.03,0.10,0.07,0.10,Matches,2001-2002
39,Abdoulaye Barry,,,Bordeaux,21,1980,1,0,9,0.1,0,,0,0,,0,0,0.00,,,0.00,,Matches,2001-2002
40,Salaheddine Bassir,ma MAR,FW,Lille,28,1972,22,14,"1,231",13.7,0,3,0,0,0,2,0,0.00,0.22,0.22,0.00,0.22,Matches,2001-2002
41,Christophe Bastien,fr FRA,MF,Metz,25,1976,20,15,"1,371",15.2,5,2,4,1,1,3,0,0.33,0.13,0.46,0.26,0.39,Matches,2001-2002
42,Bruno Basto,pt POR,DF,Bordeaux,23,1978,30,22,"2,069",23.0,0,1,0,0,0,5,0,0.00,0.04,0.04,0.00,0.04,Matches,2001-2002
43,Gérald Baticle,fr FRA,FW,Metz,31,1969,34,31,"2,753",30.6,4,3,4,0,0,5,0,0.13,0.10,0.23,0.13,0.23,Matches,2001-2002
44,Laurent Batlles,fr FRA,MF,Bordeaux,25,1975,18,14,"1,163",12.9,0,,0,0,0,2,0,0.00,,,0.00,,Matches,2001-2002
45,Laurent Batlles,fr FRA,MF,Rennes,25,1975,13,13,"1,147",12.7,2,,1,1,1,4,0,0.16,,,0.08,,Matches,2001-2002
46,Mikkel Beck,dk DEN,FW,Lille,28,1973,11,9,667,7.4,1,1,0,1,1,1,0,0.13,0.13,0.27,0.00,0.13,Matches,2001-2002
47,Pascal Bedrossian,fr FRA,"FW,MF",Lorient,26,1974,16,8,832,9.2,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,2001-2002
