club_name,player_name,age,position,club_involved_name,fee,transfer_movement,transfer_period,fee_cleaned,league_name,year,season
Olympique Marseille,Daniel Montenegro,23,Attacking Midfield,Huracán,"End of loanJun 30, 2002",in,Summer,0,Ligue 1,2002,2002/2003
Olympique Marseille,Benjamin Gavanon,22,Central Midfield,Nottm Forest,"End of loanMay 31, 2003",in,Summer,0,Ligue 1,2002,2002/2003
Olympique Marseille,Philippe Brunel,29,Left Midfield,LOSC Lille,"End of loanJun 30, 2002",in,Summer,0,Ligue 1,2002,2002/2003
Olympique Marseille,Loris Reina,22,Left-Back,Servette FC,"End of loanJun 30, 2002",in,Summer,0,Ligue 1,2002,2002/2003
Olympique Marseille,Alen Skoro,21,Centre-Forward,Servette FC,"End of loanAug 1, 2002",in,Summer,0,Ligue 1,2002,2002/2003
Olympique Marseille,Cédric Carrasso,20,Goalkeeper,Crystal Palace,"End of loanJun 30, 2002",in,Summer,0,Ligue 1,2002,2002/2003
Olympique Marseille,Sébastien Pérez,28,Right-Back,Galatasaray,"End of loanJun 30, 2002",in,Summer,0,Ligue 1,2002,2002/2003
Olympique Marseille,Jovan Stankovic,30,Left Midfield,Atlético Madrid,€4.80m,out,Summer,4.8,Ligue 1,2002,2002/2003
Olympique Marseille,Pascal Nouma,30,Centre-Forward,Besiktas,€3.73m,out,Summer,3.73,Ligue 1,2002,2002/2003
Olympique Marseille,Joseph Yobo,21,Centre-Back,Everton,Loan fee:€1.50m,out,Summer,1.5,Ligue 1,2002,2002/2003
Olympique Marseille,Philippe Brunel,29,Left Midfield,LOSC Lille,€1.00m,out,Summer,1,Ligue 1,2002,2002/2003
Olympique Marseille,Florian Maurice,28,Centre-Forward,SC Bastia,free transfer,out,Summer,NA,Ligue 1,2002,2002/2003
Olympique Marseille,Vincent Gastine,20,Defensive Midfield,FC Martigues,loan transfer,out,Summer,NA,Ligue 1,2002,2002/2003
Olympique Marseille,Jérôme Leroy,27,Attacking Midfield,Paris SG,?,out,Summer,NA,Ligue 1,2002,2002/2003
Olympique Marseille,Pablo Calandria,20,Centre-Forward,CD Leganés,?,out,Summer,NA,Ligue 1,2002,2002/2003
Olympique Marseille,Daniel Montenegro,23,Attacking Midfield,Independiente,?,out,Summer,NA,Ligue 1,2002,2002/2003
Olympique Marseille,Damien Grégorini,23,Goalkeeper,OGC Nice,loan transfer,out,Summer,NA,Ligue 1,2002,2002/2003
Olympique Marseille,Cyrille Pouget,29,Centre-Forward,Without Club,-,out,Summer,0,Ligue 1,2002,2002/2003
Olympique Marseille,Salomon Olembé,21,Left Midfield,FC Nantes,"End of loanJun 30, 2002",out,Summer,0,Ligue 1,2002,2002/2003
Olympique Marseille,Dimas,33,Left-Back,Sporting CP,"End of loanJun 30, 2002",out,Summer,0,Ligue 1,2002,2002/2003
Olympique Marseille,André Luiz,27,Attacking Midfield,CD Tenerife,"End of loanJun 30, 2002",out,Summer,0,Ligue 1,2002,2002/2003
Olympique Marseille,Alberto Rivera,24,Central Midfield,Real Madrid,"End of loanJun 30, 2002",out,Summer,0,Ligue 1,2002,2002/2003
