,,,,,,,,Tackles,Tackles,Tackles,Tackles,Tackles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Pressures,Pressures,Pressures,Pressures,Pressures,Pressures,Blocks,Blocks,Blocks,Blocks,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Matches
136,Gabriel Dos Santos\67ac5bb8,br BRA,DF,Arsenal,22,1997,22.2,28,17,22,5,1,9,17,52.9,8,151,55,36.4,95,49,7,41,23,0,18,23,51,106,2,Matches
137,Abdoulaye Doucouré\02b29014,ml MLI,MF,Everton,27,1993,27.1,56,42,30,19,7,17,45,37.8,28,544,158,29.0,228,219,97,43,9,0,34,35,91,29,1,Matches
138,Martin Dúbravka\3a949a25,sk SVK,GK,Newcastle Utd,31,1989,13.0,0,0,0,0,0,0,0,,0,2,2,100.0,2,0,0,0,0,0,0,0,0,0,0,Matches
139,Paul Dummett\3fe6bd8c,wls WAL,DF,Newcastle Utd,28,1991,13.9,21,11,13,7,1,10,20,50.0,10,119,28,23.5,81,32,6,30,10,0,20,17,38,95,1,Matches
140,Lewis Dunk\282f75f3,eng ENG,DF,Brighton,28,1991,32.6,34,19,22,10,2,12,23,52.2,11,188,70,37.2,99,76,13,40,24,1,16,29,63,126,2,Matches
141,Jimmy Dunne\1fdfd6da,ie IRL,DF,Burnley,22,1997,3.0,4,2,3,1,0,2,2,100.0,0,24,11,45.8,16,7,1,7,4,0,3,3,7,19,0,Matches
142,Ederson\3bb7b8b4,br BRA,GK,Manchester City,26,1993,36.0,0,0,0,0,0,0,1,0.0,1,5,1,20.0,5,0,0,0,0,0,0,0,0,2,1,Matches
143,Kyle Edwards\1566e437,eng ENG,MFFW,West Brom,22,1998,1.3,3,0,1,1,1,0,1,0.0,1,15,2,13.3,4,9,2,2,0,0,2,1,4,0,0,Matches
144,John Egan\debe38a0,ie IRL,DF,Sheffield Utd,27,1992,29.2,47,30,34,12,1,17,34,50.0,17,247,81,32.8,155,87,5,56,33,1,23,41,88,160,1,Matches
145,Anthony Elanga\2fba6108,se SWE,FW,Manchester Utd,18,2002,1.7,4,1,3,1,0,3,6,50.0,3,49,11,22.4,18,22,9,2,1,0,1,1,5,1,0,Matches
146,Ahmed Elmohamady\615ef733,eg EGY,DF,Aston Villa,32,1987,9.3,18,13,10,4,4,6,10,60.0,4,74,28,37.8,39,26,9,15,4,0,11,27,45,32,0,Matches
147,Mohamed Elneny\47a34c4f,eg EGY,MF,Arsenal,28,1992,17.2,16,11,9,7,0,5,19,26.3,14,197,57,28.9,71,91,35,18,4,0,14,20,36,24,1,Matches
148,Jonny Evans\f8fcd2a5,nir NIR,DF,Leicester City,32,1988,27.5,21,12,17,3,1,10,21,47.6,11,168,66,39.3,112,53,3,27,6,0,21,41,62,146,0,Matches
149,Eberechi Eze\ae4fc6a4,eng ENG,MF,Crystal Palace,22,1998,28.4,38,22,18,14,6,14,36,38.9,22,319,91,28.5,89,162,68,32,3,0,29,29,67,6,0,Matches
150,Łukasz Fabiański\9328b835,pl POL,GK,West Ham,35,1985,35.0,0,0,0,0,0,0,0,,0,11,2,18.2,11,0,0,3,0,0,3,0,0,1,1,Matches
151,Fabinho\7f3b388c,br BRA,DFMF,Liverpool,26,1993,28.5,72,51,25,40,7,25,56,44.6,31,351,115,32.8,120,200,31,41,12,0,29,49,121,106,0,Matches
152,Bruno Fernandes\507c7bdf,pt POR,MF,Manchester Utd,25,1994,34.4,60,39,21,25,14,18,91,19.8,73,718,179,24.9,117,344,257,40,1,0,39,22,82,27,0,Matches
153,Federico Fernández\f25b010f,ar ARG,DF,Newcastle Utd,31,1989,23.1,35,17,26,7,2,14,25,56.0,11,183,51,27.9,129,47,7,51,32,0,19,17,52,166,1,Matches
154,Fernandinho\101da2b5,br BRA,MF,Manchester City,35,1985,13.2,31,22,6,17,8,12,38,31.6,26,223,75,33.6,47,142,34,15,1,0,14,26,57,32,0,Matches
155,Sam Field\bd8a7d05,eng ENG,MF,West Brom,22,1998,0.7,9,7,4,5,0,2,3,66.7,1,22,10,45.5,8,13,1,6,1,0,5,0,9,4,0,Matches
156,Roberto Firmino\4c370d81,br BRA,FW,Liverpool,28,1991,31.5,35,22,4,14,17,12,38,31.6,26,596,175,29.4,73,279,244,58,5,0,53,10,45,11,0,Matches
157,John Fleck\b63e789d,sct SCO,MF,Sheffield Utd,28,1991,28.6,46,27,26,16,4,16,69,23.2,53,506,127,25.1,178,246,82,37,5,0,32,39,85,18,1,Matches
158,Phil Foden\ed1e53f3,eng ENG,FWMF,Manchester City,20,2000,18.0,26,16,10,11,5,10,21,47.6,11,307,88,28.7,51,117,139,15,1,0,14,12,38,12,0,Matches
159,Wesley Fofana\132a82f1,fr FRA,DF,Leicester City,19,2000,25.1,63,41,38,24,1,18,35,51.4,17,248,83,33.5,139,101,8,47,21,0,26,51,114,125,0,Matches
160,Pablo Fornals\82927de4,es ESP,FWMF,West Ham,24,1996,28.6,44,29,16,21,7,7,82,8.5,75,577,120,20.8,177,273,127,53,1,0,52,33,77,9,1,Matches
161,Fraser Forster\c3e39f12,eng ENG,GK,Southampton,32,1988,8.0,0,0,0,0,0,0,1,0.0,1,3,1,33.3,3,0,0,0,0,0,0,0,0,4,0,Matches
162,Timothy Fosu-Mensah\a9142dc3,nl NED,DF,Manchester Utd,22,1998,0.9,3,1,2,1,0,1,1,100.0,0,7,2,28.6,3,4,0,1,0,0,1,1,4,1,0,Matches
163,Tyrese Francois\6722d4f0,au AUS,DF,Fulham,20,2000,0.2,0,0,0,0,0,0,0,,0,2,1,50.0,2,0,0,1,0,0,1,0,0,0,0,Matches
164,Ryan Fraser\d56543a0,sct SCO,FWMF,Newcastle Utd,26,1994,10.3,4,1,3,1,0,0,2,0.0,2,114,19,16.7,18,51,45,8,0,0,8,3,7,3,0,Matches
165,Fred\b853e0ad,br BRA,MF,Manchester Utd,27,1993,26.6,88,55,37,41,10,30,87,34.5,57,639,200,31.3,228,300,111,62,9,0,53,47,135,33,0,Matches
166,Ryan Fredericks\c067631c,eng ENG,DFFW,West Ham,27,1992,6.3,13,6,7,6,0,6,13,46.2,7,65,13,20.0,38,14,13,16,2,0,14,8,21,22,0,Matches
167,Christian Fuchs\a67a09fb,at AUT,DF,Leicester City,34,1986,7.8,15,9,13,1,1,5,14,35.7,9,87,23,26.4,53,27,7,16,4,1,12,12,27,31,0,Matches
168,Darnell Furlong\3ec9195b,eng ENG,DF,West Brom,24,1995,32.6,49,17,29,15,5,19,41,46.3,22,289,83,28.7,131,104,54,80,16,1,64,28,77,120,1,Matches
169,Conor Gallagher\c2731c10,eng ENG,MF,West Brom,20,2000,28.1,82,53,31,40,11,22,97,22.7,75,708,180,25.4,232,344,132,63,8,0,55,39,121,30,1,Matches
170,Eric García\2bed3eab,es ESP,DF,Manchester City,19,2001,4.3,10,4,7,2,1,3,10,30.0,7,49,13,26.5,30,18,1,5,1,0,4,5,15,12,0,Matches
171,Dwight Gayle\e58a03c6,eng ENG,FWMF,Newcastle Utd,29,1990,5.7,6,4,2,4,0,1,5,20.0,4,90,22,24.4,13,36,41,3,2,0,1,1,7,0,0,Matches
172,Jean-Philippe Gbamin\6bd603db,ci CIV,MF,Everton,24,1995,0.1,1,1,0,1,0,0,1,0.0,1,4,2,50.0,0,1,3,1,0,0,1,0,1,1,0,Matches
173,David de Gea\7ba6d84e,es ESP,GK,Manchester Utd,29,1990,25.5,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,1,0,Matches
174,Anwar El Ghazi\ffa90327,nl NED,FW,Aston Villa,25,1995,17.9,16,10,8,5,3,4,18,22.2,14,218,52,23.9,60,82,76,11,0,0,11,10,26,12,0,Matches
175,Kieran Gibbs\46ee5234,eng ENG,DF,West Brom,30,1989,9.0,14,6,9,3,2,3,7,42.9,4,80,20,25.0,42,30,8,17,6,0,11,14,28,33,0,Matches
176,Morgan Gibbs-White\32f60ed8,eng ENG,MFFW,Wolves,20,2000,4.6,7,6,2,3,2,3,11,27.3,8,109,37,33.9,21,48,40,6,0,0,6,4,11,1,0,Matches
177,Billy Gilmour\df10e27c,sct SCO,MF,Chelsea,19,2001,2.9,3,1,1,2,0,1,6,16.7,5,68,18,26.5,24,34,10,5,2,0,3,5,8,1,0,Matches
178,Olivier Giroud\16ceb862,fr FRA,FW,Chelsea,33,1986,8.3,8,4,0,5,3,0,3,0.0,3,132,35,26.5,15,51,66,3,1,0,2,4,12,10,0,Matches
179,Ben Godfrey\9f7c837d,eng ENG,DF,Everton,22,1998,29.8,56,29,40,14,2,25,39,64.1,14,370,115,31.1,237,110,23,85,39,1,46,44,100,135,0,Matches
180,André Gomes\1961b2aa,pt POR,MF,Everton,27,1993,17.4,48,34,22,23,3,19,58,32.8,39,369,119,32.2,124,186,59,30,1,0,29,15,63,9,0,Matches
181,Joe Gomez\7a11550b,eng ENG,DF,Liverpool,23,1997,6.6,5,2,2,3,0,0,4,0.0,4,39,15,38.5,24,13,2,7,3,0,4,5,10,32,2,Matches
182,Anthony Gordon\2bd83368,eng ENG,FWMF,Everton,19,2001,1.0,3,2,3,0,0,0,2,0.0,2,18,3,16.7,5,9,4,2,0,0,2,1,4,1,0,Matches
183,Karlan Grant\87f7500e,eng ENG,FWMF,West Brom,22,1997,12.5,6,3,3,3,0,3,6,50.0,3,167,41,24.6,24,64,79,7,0,0,7,11,17,13,0,Matches
184,Demarai Gray\4468ec10,eng ENG,FW,Leicester City,24,1996,0.2,2,1,2,0,0,0,0,,0,3,1,33.3,2,0,1,0,0,0,0,0,2,0,0,Matches
185,Jack Grealish\b0b4fd3e,eng ENG,FWMF,Aston Villa,24,1995,24.3,27,19,6,15,6,4,18,22.2,14,316,100,31.6,85,115,116,26,3,0,23,13,40,6,1,Matches
186,Mason Greenwood\58eee997,eng ENG,FW,Manchester Utd,18,2001,20.2,19,12,8,6,5,4,23,17.4,19,263,74,28.1,53,115,95,7,0,0,7,9,28,3,0,Matches
187,Pascal Groß\8aec0537,de GER,MFDF,Brighton,29,1991,27.6,44,24,24,15,5,19,47,40.4,28,430,112,26.0,141,189,100,33,5,0,28,25,69,24,0,Matches
188,Kamil Grosicki\81d8091f,pl POL,FWMF,West Brom,32,1988,1.6,1,0,1,0,0,1,6,16.7,5,22,3,13.6,11,8,3,1,0,0,1,0,1,2,0,Matches
189,Vicente Guaita\ab13a5aa,es ESP,GK,Crystal Palace,33,1987,37.0,0,0,0,0,0,0,1,0.0,1,4,1,25.0,4,0,0,0,0,0,0,0,0,1,0,Matches
190,İlkay Gündoğan\819b3158,de GER,MF,Manchester City,29,1990,22.5,25,18,9,10,6,8,37,21.6,29,215,65,30.2,46,102,67,15,4,0,11,19,44,14,0,Matches
191,Antwoine Hackford\a7588cdc,eng ENG,FWDF,Sheffield Utd,16,2004,0.1,0,0,0,0,0,0,0,,0,3,2,66.7,0,0,3,1,0,0,1,0,0,0,0,Matches
192,Sébastien Haller\ba115a40,ci CIV,FW,West Ham,26,1994,10.4,11,4,1,5,5,4,18,22.2,14,199,42,21.1,12,115,72,4,1,0,3,5,16,7,0,Matches
193,Rekeem Harper\3c066877,eng ENG,MF,West Brom,20,2000,0.4,2,1,1,1,0,1,1,100.0,0,10,0,0.0,2,7,1,0,0,0,0,0,2,0,0,Matches
194,Jack Harrison\aa849a12,eng ENG,MF,Leeds United,23,1996,31.6,67,35,29,25,13,19,51,37.3,32,632,175,27.7,167,226,239,39,3,0,36,25,92,26,0,Matches
195,Kortney Hause\bf8fad51,eng ENG,DF,Aston Villa,25,1995,7.0,5,4,3,2,0,0,1,0.0,1,39,14,35.9,24,14,1,6,4,0,2,12,17,65,0,Matches
196,Kai Havertz\fed7cb61,de GER,MFFW,Chelsea,21,1999,16.9,19,11,5,11,3,4,23,17.4,19,261,59,22.6,39,127,95,27,2,0,25,11,30,15,1,Matches
197,Isaac Hayden\c951a6df,eng ENG,MFDF,Newcastle Utd,25,1995,21.6,50,34,14,28,8,7,27,25.9,20,407,101,24.8,158,194,55,42,8,0,34,46,96,57,1,Matches
198,Michael Hector\5f1a2f31,jm JAM,DF,Fulham,28,1992,2.9,7,5,4,3,0,3,7,42.9,4,28,11,39.3,21,7,0,6,3,1,3,0,7,11,0,Matches
199,Ahmed Hegazi\5540c9dc,eg EGY,DF,West Brom,29,1991,1.0,0,0,0,0,0,0,0,,0,10,4,40.0,8,2,0,2,0,0,2,0,0,11,0,Matches
200,Dean Henderson\e5a76dfe,eng ENG,GK,Manchester Utd,23,1997,12.5,0,0,0,0,0,0,1,0.0,1,4,1,25.0,4,0,0,0,0,0,0,0,0,0,0,Matches
201,Jordan Henderson\935e6b8f,eng ENG,MFDF,Liverpool,30,1990,18.9,19,9,8,7,4,8,29,27.6,21,185,60,32.4,60,86,39,28,4,1,24,30,49,43,1,Matches
202,Jeff Hendrick\989d5705,ie IRL,MF,Newcastle Utd,28,1992,15.8,6,4,3,3,0,2,14,14.3,12,173,48,27.7,41,104,28,24,9,0,15,12,18,28,0,Matches
203,Pablo Hernández\c0398aca,es ESP,MFFW,Leeds United,35,1985,4.7,5,2,2,1,2,4,18,22.2,14,72,19,26.4,11,40,21,2,0,0,2,5,10,1,0,Matches
204,Son Heung-min\92e7e919,kr KOR,FW,Tottenham,28,1992,34.6,29,17,9,15,5,13,71,18.3,58,617,141,22.9,120,319,178,34,3,0,31,23,52,4,0,Matches
205,Ki-Jana Hoever\9a71e978,nl NED,DF,Wolves,18,2002,6.4,18,10,15,2,1,8,19,42.1,11,133,29,21.8,80,43,10,7,1,0,6,10,28,19,0,Matches
206,Rob Holding\d79a8c87,eng ENG,DF,Arsenal,24,1995,28.4,39,21,26,8,5,9,27,33.3,18,296,89,30.1,172,108,16,54,31,0,23,23,62,157,0,Matches
207,Mason Holgate\d0042ab9,eng ENG,DF,Everton,23,1996,25.4,65,38,38,20,7,22,55,40.0,33,316,97,30.7,162,115,39,55,13,0,42,41,106,110,3,Matches
208,Conor Hourihane\fcab00a0,ie IRL,MF,Aston Villa,29,1991,2.5,0,0,0,0,0,0,2,0.0,2,17,6,35.3,4,6,7,3,0,0,3,0,0,2,0,Matches
209,Callum Hudson-Odoi\15f3ec41,eng ENG,FWDF,Chelsea,19,2000,11.8,24,12,11,7,6,7,18,38.9,11,160,54,33.8,37,71,52,18,1,0,17,10,34,8,0,Matches
210,Niall Huggins\6d646ff7,wls WAL,DF,Leeds United,19,2000,0.4,0,0,0,0,0,0,2,0.0,2,9,1,11.1,4,3,2,0,0,0,0,0,0,0,0,Matches
211,Pierre Højbjerg\8b04d6c1,dk DEN,MF,Tottenham,24,1995,38.0,119,82,57,48,14,61,139,43.9,78,807,232,28.7,323,396,88,59,10,0,49,49,168,82,0,Matches
212,Odion Ighalo\03622183,ng NGA,FW,Manchester Utd,31,1989,0.1,0,0,0,0,0,0,1,0.0,1,2,0,0.0,1,0,1,0,0,0,0,0,0,0,0,Matches
213,Kelechi Iheanacho\c92e1a31,ng NGA,FW,Leicester City,23,1996,16.2,12,9,3,6,3,3,15,20.0,12,243,54,22.2,18,127,98,19,3,0,16,4,16,1,0,Matches
214,Danny Ings\07802f7f,eng ENG,FW,Southampton,28,1992,24.1,25,13,6,16,3,11,33,33.3,22,392,94,24.0,56,164,172,47,3,0,44,7,32,17,2,Matches
215,Branislav Ivanović\85f8571a,rs SRB,DF,West Brom,36,1984,8.5,14,5,9,5,0,5,12,41.7,7,83,18,21.7,54,28,1,15,7,0,8,3,17,31,0,Matches
216,Alex Iwobi\6ca5ec4b,ng NGA,FWDF,Everton,24,1996,17.1,33,21,16,15,2,14,27,51.9,13,224,73,32.6,93,72,59,22,1,0,21,18,51,12,0,Matches
217,José Izquierdo\ca2bc3df,co COL,DF,Brighton,28,1992,0.1,0,0,0,0,0,0,0,,0,1,0,0.0,0,0,1,0,0,0,0,0,0,0,0,Matches
218,Phil Jagielka\3233eefd,eng ENG,DF,Sheffield Utd,37,1982,5.8,9,4,5,3,1,5,11,45.5,6,56,17,30.4,40,16,0,15,6,0,9,12,21,47,2,Matches
219,Alireza Jahanbakhsh\08452314,ir IRN,FWMF,Brighton,26,1993,5.9,8,5,1,6,1,2,12,16.7,10,93,25,26.9,15,31,47,9,1,0,8,7,15,1,0,Matches
220,Daniel James\c931d9f9,wls WAL,FW,Manchester Utd,22,1997,10.1,12,9,4,5,3,2,23,8.7,21,221,46,20.8,46,88,87,14,1,0,13,10,22,4,0,Matches
221,Reece James\1265a93a,eng ENG,DF,Chelsea,20,1999,26.4,64,36,35,21,8,19,49,38.8,30,360,92,25.6,159,152,49,58,9,0,49,41,105,54,0,Matches
222,Alexandre Jankewitz\7c39363f,ch SUI,MF,Southampton,18,2001,0.0,2,0,1,1,0,1,1,100.0,0,8,2,25.0,4,4,0,0,0,0,0,0,2,0,0,Matches
223,Daniel Jebbison\03edb878,eng ENG,FW,Sheffield Utd,17,2003,3.2,4,0,1,2,1,1,3,33.3,2,61,9,14.8,3,27,31,8,1,0,7,3,7,0,0,Matches
224,Gabriel Jesus\b66315ae,br BRA,FW,Manchester City,23,1997,22.9,23,13,6,8,9,7,26,26.9,19,331,104,31.4,39,119,173,19,2,0,17,19,42,4,0,Matches
225,Raúl Jiménez\b561db50,mx MEX,FW,Wolves,29,1991,9.1,7,4,1,4,2,0,7,0.0,7,90,22,24.4,12,36,42,8,1,0,7,6,13,10,1,Matches
226,Joelinton\c17bfb65,br BRA,FWMF,Newcastle Utd,23,1996,22.0,44,26,10,27,7,13,38,34.2,25,394,96,24.4,88,199,107,37,4,0,33,20,64,21,0,Matches
227,Ben Johnson\9319781b,eng ENG,DF,West Ham,20,2000,5.8,9,3,7,0,2,5,9,55.6,4,81,13,16.0,45,22,14,10,2,1,8,11,20,14,0,Matches
228,Sam Johnstone\9e5708be,eng ENG,GK,West Brom,27,1993,37.0,0,0,0,0,0,0,0,,0,3,2,66.7,3,0,0,1,0,0,1,0,0,0,1,Matches
229,Curtis Jones\4fb9c88f,eng ENG,MF,Liverpool,19,2001,13.1,21,16,8,8,5,10,23,43.5,13,234,70,29.9,51,110,73,18,0,0,18,17,38,10,1,Matches
230,Jorginho\45db685d,it ITA,MF,Chelsea,28,1991,22.3,59,38,25,28,6,22,73,30.1,51,467,165,35.3,169,241,57,42,5,0,37,51,110,21,1,Matches
231,Willian José\d87e2cae,br BRA,FW,Wolves,28,1991,12.3,2,2,0,1,1,0,4,0.0,4,119,32,26.9,5,63,51,7,1,0,6,7,9,10,0,Matches
232,Diogo Jota\178ae8f8,pt POR,FW,Liverpool,23,1996,12.4,14,10,4,7,3,5,35,14.3,30,296,75,25.3,59,105,132,12,1,0,11,8,22,4,0,Matches
233,James Justin\fb614c44,eng ENG,DF,Leicester City,22,1998,23.0,63,28,41,18,4,17,43,39.5,26,347,110,31.7,183,107,57,54,11,0,43,25,88,64,0,Matches
234,Ozan Kabak\2d61d13a,tr TUR,DF,Liverpool,20,2000,8.9,19,10,12,4,3,2,7,28.6,5,103,41,39.8,58,40,5,5,3,0,2,12,31,49,1,Matches
235,Aboubakar Kamara\4047c976,mr MTN,FWDF,Fulham,25,1995,3.5,2,2,2,0,0,1,5,20.0,4,71,13,18.3,13,27,31,10,1,0,9,2,4,2,0,Matches
236,Harry Kane\21a66f6a,eng ENG,FW,Tottenham,27,1993,34.2,18,12,3,12,3,5,20,25.0,15,391,99,25.3,21,190,180,30,13,1,17,15,33,41,0,Matches
237,N'Golo Kanté\b9fbae28,fr FRA,MF,Chelsea,29,1991,23.8,87,57,42,40,5,29,60,48.3,31,478,164,34.3,201,213,64,62,5,0,57,62,149,32,0,Matches
238,Moise Kean\3d50bcdb,it ITA,FW,Everton,20,2000,0.2,0,0,0,0,0,0,0,,0,1,0,0.0,0,0,1,0,0,0,0,0,0,0,0,Matches
239,Michael Keane\c5b7c315,eng ENG,DF,Everton,27,1993,33.2,31,15,23,6,2,12,34,35.3,22,204,70,34.3,131,64,9,74,38,0,36,43,74,198,2,Matches
240,Neeskens Kebano\18b999f4,cd COD,FWMF,Fulham,28,1992,1.3,1,1,1,0,0,1,3,33.3,2,30,9,30.0,4,13,13,5,0,0,5,0,1,1,0,Matches
241,Naby Keïta\f25c8e3a,gn GUI,MF,Liverpool,25,1995,5.8,7,5,4,2,1,2,18,11.1,16,144,37,25.7,18,75,51,11,0,0,11,12,19,6,0,Matches
242,Caoimhín Kelleher\62d7ef38,ie IRL,GK,Liverpool,21,1998,2.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
243,Martin Kelly\d7492450,eng ENG,DF,Crystal Palace,30,1990,0.0,1,0,1,0,0,1,1,100.0,0,3,2,66.7,2,1,0,0,0,0,0,0,1,1,0,Matches
244,Jonjoe Kenny\099e666f,eng ENG,DFFW,Everton,23,1997,0.9,1,0,1,0,0,0,1,0.0,1,11,1,9.1,4,4,3,2,0,0,2,1,2,1,0,Matches
245,Reda Khadra\88acf83f,de GER,FW,Brighton,19,2001,0.1,0,0,0,0,0,0,0,,0,1,1,100.0,0,0,1,0,0,0,0,0,0,0,0,Matches
246,Max Kilman\d0f72bf1,eng ENG,DF,Wolves,23,1997,14.6,27,20,21,3,3,10,20,50.0,10,148,44,29.7,105,36,7,20,9,0,11,18,45,58,0,Matches
247,Joshua King\43458538,no NOR,MFFW,Everton,28,1992,1.6,4,1,2,0,2,1,1,100.0,0,44,11,25.0,14,17,13,3,0,0,3,1,5,1,0,Matches
248,Mateusz Klich\282679b4,pl POL,MF,Leeds United,30,1990,26.6,52,43,19,25,8,10,59,16.9,49,570,165,28.9,129,319,122,21,4,0,17,17,69,23,0,Matches
249,Robin Koch\ea6bc03a,de GER,DFMF,Leeds United,24,1996,12.6,29,18,16,13,0,12,24,50.0,12,183,48,26.2,91,80,12,31,14,0,17,13,42,40,2,Matches
250,Sead Kolašinac\3935e52e,ba BIH,DF,Arsenal,27,1993,1.0,0,0,0,0,0,0,0,,0,3,1,33.3,0,2,1,0,0,0,0,0,0,0,0,Matches
251,Terence Kongolo\1f9a3a04,nl NED,DF,Fulham,26,1994,1.0,4,4,1,3,0,0,0,,0,14,8,57.1,6,7,1,2,0,0,2,0,4,6,0,Matches
252,Ezri Konsa\0313a347,eng ENG,DF,Aston Villa,22,1997,35.5,34,22,23,10,1,11,19,57.9,8,225,71,31.6,129,83,13,65,45,0,20,27,61,193,0,Matches
253,Cheikhou Kouyaté\8d3c902d,sn SEN,DF,Crystal Palace,30,1989,34.7,70,36,53,14,3,26,45,57.8,19,350,109,31.1,230,102,18,62,28,0,34,38,108,162,2,Matches
254,Mateo Kovačić\79c0821a,hr CRO,MF,Chelsea,26,1994,20.2,55,36,24,26,5,10,33,30.3,23,334,116,34.7,99,168,67,15,1,0,14,22,77,13,1,Matches
255,Emil Krafth\77cf6852,se SWE,DF,Newcastle Utd,25,1994,14.3,23,16,14,8,1,10,25,40.0,15,169,52,30.8,91,58,20,33,10,0,23,21,44,56,1,Matches
256,Filip Krovinović\c2dfedeb,hr CRO,MF,West Brom,24,1995,6.1,16,10,6,7,3,5,18,27.8,13,103,22,21.4,36,53,14,5,0,0,5,2,18,6,0,Matches
257,Alexandre Lacazette\9dbb75ca,fr FRA,FW,Arsenal,29,1991,21.4,25,19,6,12,7,4,16,25.0,12,329,107,32.5,40,135,154,17,2,0,15,14,39,13,0,Matches
258,Adam Lallana\99813635,eng ENG,MFFW,Brighton,32,1988,17.7,32,26,15,12,5,10,48,20.8,38,339,113,33.3,112,153,74,26,3,0,23,16,48,14,0,Matches
259,Érik Lamela\abe66106,ar ARG,FWMF,Tottenham,28,1992,8.0,18,11,1,13,4,4,12,33.3,8,183,49,26.8,31,102,50,8,1,0,7,4,22,1,0,Matches
260,Tariq Lamptey\f4e433d4,eng ENG,DF,Brighton,19,2000,9.8,17,10,9,6,2,7,14,50.0,7,124,41,33.1,49,53,22,15,1,0,14,13,30,17,0,Matches
261,Manuel Lanzini\26f6dca8,ar ARG,MFFW,West Ham,27,1993,6.3,6,6,2,3,1,2,13,15.4,11,109,37,33.9,33,48,28,15,0,0,15,6,12,5,0,Matches
262,Aymeric Laporte\119b9a8e,es ESP,DF,Manchester City,26,1994,14.9,13,6,10,3,0,3,9,33.3,6,81,24,29.6,48,27,6,18,8,0,10,8,21,53,1,Matches
263,Jamaal Lascelles\450ab6fc,eng ENG,DF,Newcastle Utd,26,1993,18.1,19,12,11,6,2,4,6,66.7,2,148,53,35.8,89,52,7,39,18,2,21,15,34,108,1,Matches
264,Maxime Le Marchand\321a71a7,fr FRA,DF,Fulham,30,1989,1.4,2,1,2,0,0,1,1,100.0,0,9,2,22.2,6,2,1,0,0,0,0,0,2,7,0,Matches
265,Mario Lemina\2b471f99,ga GAB,MF,Fulham,26,1993,18.9,61,36,30,23,8,19,40,47.5,21,319,105,32.9,124,153,42,28,6,0,22,43,104,37,0,Matches
266,Bernd Leno\2628fd2b,de GER,GK,Arsenal,28,1992,34.8,0,0,0,0,0,0,0,,0,3,2,66.7,3,0,0,1,0,0,1,0,0,0,0,Matches
267,Khanya Leshabela\383e68b1,za RSA,MF,Leicester City,20,1999,0.1,1,0,0,1,0,1,1,100.0,0,4,0,0.0,0,2,2,0,0,0,0,0,1,0,0,Matches
268,Jamal Lewis\efb9215a,nir NIR,DF,Newcastle Utd,22,1998,20.4,50,26,34,14,2,21,41,51.2,20,336,81,24.1,180,122,34,35,7,0,28,20,70,35,1,Matches
269,Victor Lindelöf\f5deef4c,se SWE,DF,Manchester Utd,26,1994,28.7,26,16,17,9,0,12,21,57.1,9,192,67,34.9,117,67,8,40,17,0,23,32,58,132,2,Matches
270,Jesse Lingard\810e3c74,eng ENG,MFFW,West Ham,27,1992,15.8,15,10,5,7,3,5,16,31.3,11,335,71,21.2,48,186,101,7,1,0,6,7,22,1,0,Matches
271,Jake Livermore\b98570d1,eng ENG,MF,West Brom,30,1989,13.8,29,19,10,17,2,11,32,34.4,21,244,67,27.5,75,132,37,33,7,0,26,19,48,33,0,Matches
272,Diego Llorente\bba30585,es ESP,DF,Leeds United,26,1993,13.4,39,27,24,15,0,16,26,61.5,10,250,89,35.6,152,94,4,25,13,0,12,41,80,72,1,Matches
273,Hugo Lloris\8f62b6ee,fr FRA,GK,Tottenham,33,1986,38.0,0,0,0,0,0,0,1,0.0,1,2,0,0.0,2,0,0,0,0,0,0,0,0,2,1,Matches
274,Giovani Lo Celso\d7553721,ar ARG,MF,Tottenham,24,1996,10.5,33,23,16,11,6,10,31,32.3,21,290,91,31.4,94,148,48,11,1,0,10,8,41,9,0,Matches
275,Ruben Loftus-Cheek\e97fd090,eng ENG,FW,Chelsea,24,1996,0.7,0,0,0,0,0,0,0,,0,14,4,28.6,3,7,4,1,0,0,1,1,1,0,0,Matches
276,Ruben Loftus-Cheek\e97fd090,eng ENG,MFFW,Fulham,24,1996,21.2,32,22,11,15,6,9,22,40.9,13,337,100,29.7,62,175,100,24,2,0,22,23,55,15,0,Matches
277,Kevin Long\5a4280b1,ie IRL,DF,Burnley,29,1990,7.1,14,8,10,4,0,5,8,62.5,3,53,20,37.7,34,18,1,9,5,0,4,4,18,31,0,Matches
278,Shane Long\9f472354,ie IRL,FW,Southampton,33,1987,2.3,2,0,0,0,2,1,3,33.3,2,34,7,20.6,2,19,13,1,0,0,1,2,4,1,0,Matches
279,Matthew Longstaff\c0027d2d,eng ENG,MF,Newcastle Utd,20,2000,4.2,4,3,4,0,0,2,6,33.3,4,98,25,25.5,30,58,10,9,0,0,9,6,10,3,0,Matches
