,,,,,,,,Tackles,Tackles,Tackles,Tackles,Tackles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Pressures,Pressures,Pressures,Pressures,Pressures,Pressures,Blocks,Blocks,Blocks,Blocks,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Matches
31,Kepa Arrizabalaga\28d596a0,es ESP,GK,Chelsea,25,1994,6.5,0,0,0,0,0,0,1,0.0,1,2,0,0.0,2,0,0,0,0,0,0,0,0,0,4,Matches
32,Pierre-Emerick Aubameyang\d5dd5f1f,ga GAB,FW,Arsenal,31,1989,25.9,17,5,8,7,2,4,20,20.0,16,344,83,24.1,57,144,143,26,2,0,24,6,23,14,0,Matches
33,Serge Aurier\5c2b4f07,ci CIV,DF,Tottenham,27,1992,17.8,73,38,45,23,5,21,51,41.2,30,384,112,29.2,210,126,48,43,6,0,37,24,97,52,2,Matches
34,Charlie Austin\8d228291,eng ENG,FW,West Brom,31,1989,1.5,4,3,2,1,1,1,2,50.0,1,23,7,30.4,5,8,10,0,0,0,0,2,6,3,0,Matches
35,Jordan Ayew\da052c14,gh GHA,FWMF,Crystal Palace,28,1991,23.3,52,33,8,28,16,14,45,31.1,31,678,159,23.5,143,347,188,29,2,0,27,29,81,12,0,Matches
36,Luke Ayling\420d7c7d,eng ENG,DF,Leeds United,28,1991,37.8,114,67,70,34,10,42,89,47.2,47,533,187,35.1,283,197,53,81,34,1,47,58,172,111,2,Matches
37,César Azpilicueta\53cad200,es ESP,DF,Chelsea,30,1989,24.3,52,31,23,23,6,21,35,60.0,14,346,106,30.6,153,141,52,37,7,0,30,37,89,97,1,Matches
38,Eric Bailly\a1232f4e,ci CIV,DF,Manchester Utd,26,1994,10.2,9,6,5,3,1,1,1,100.0,0,55,22,40.0,27,26,2,17,15,0,2,22,31,51,0,Matches
39,Fabián Balbuena\3626f7d9,py PAR,DF,West Ham,28,1991,13.3,24,14,20,4,0,12,24,50.0,12,134,45,33.6,88,44,2,25,6,1,19,14,38,89,1,Matches
40,George Baldock\394854c4,eng ENG,DF,Sheffield Utd,27,1993,31.0,55,27,31,17,7,24,49,49.0,25,464,113,24.4,198,174,92,46,8,1,38,35,90,82,0,Matches
41,Gareth Bale\a58bb1e1,wls WAL,FW,Tottenham,31,1989,10.2,14,9,4,6,4,4,13,30.8,9,125,34,27.2,27,54,44,16,2,0,14,9,23,17,0,Matches
42,Patrick Bamford\93feac6e,eng ENG,FW,Leeds United,26,1993,33.9,26,18,6,12,8,6,30,20.0,24,606,172,28.4,33,261,312,16,9,1,7,13,39,35,0,Matches
43,Phil Bardsley\1ae30132,sct SCO,DF,Burnley,35,1985,3.0,6,4,5,1,0,2,4,50.0,2,39,9,23.1,17,19,3,4,1,0,3,3,9,14,0,Matches
44,Ross Barkley\3a24769f,eng ENG,MF,Aston Villa,26,1993,17.0,6,2,2,4,0,3,12,25.0,9,245,58,23.7,35,143,67,19,2,0,17,5,11,8,0,Matches
