,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,Season
0,Yunis Abdelhamid,ma MAR,DF,Dijon,28,1987,18,15,"1,314",14.6,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,2016-2017
1,Mehdi Abeid,dz ALG,MF,Dijon,23,1992,28,27,"2,374",26.4,3,2,3,0,0,8,0,0.11,0.08,0.19,0.11,0.19,Matches,2016-2017
2,Geoffrey Acheampong,gh GHA,MF,Bastia,19,1997,2,0,12,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2016-2017
3,Jordan Adéoti,bj BEN,DF,Caen,27,1989,27,23,"2,120",23.6,0,1,0,0,0,3,0,0.00,0.04,0.04,0.00,0.04,Matches,2016-2017
4,Youssef Aït Bennasser,ma MAR,MF,Nancy,20,1996,26,23,"1,930",21.4,3,1,3,0,0,3,0,0.14,0.05,0.19,0.14,0.19,Matches,2016-2017
5,Jean-Daniel Akpa-Akpro,ci CIV,"DF,MF",Toulouse,23,1992,2,0,73,0.8,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,2016-2017
6,Alexis Alegue,fr FRA,FW,Nantes,19,1996,2,0,18,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2016-2017
7,Romain Alessandrini,fr FRA,"FW,MF",Marseille,27,1989,6,3,241,2.7,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,2016-2017
8,Jérémie Aliadière,fr FRA,FW,Lorient,33,1983,13,6,487,5.4,1,2,1,0,0,0,0,0.18,0.37,0.55,0.18,0.55,Matches,2016-2017
9,Júnior Alonso,py PAR,DF,Lille,23,1993,12,10,959,10.7,0,1,0,0,0,1,0,0.00,0.09,0.09,0.00,0.09,Matches,2016-2017
10,Ibrahim Amadou,fr FRA,MF,Lille,23,1993,35,34,"2,952",32.8,1,0,1,0,0,4,0,0.03,0.00,0.03,0.03,0.03,Matches,2016-2017
11,Morgan Amalfitano,fr FRA,MF,Rennes,31,1985,6,6,401,4.5,1,0,1,0,0,0,0,0.22,0.00,0.22,0.22,0.22,Matches,2016-2017
12,Morgan Amalfitano,fr FRA,"MF,FW",Lille,31,1985,17,8,733,8.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2016-2017
13,Romain Amalfitano,fr FRA,MF,Dijon,26,1989,26,15,"1,418",15.8,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,2016-2017
14,Kelvin Amian,fr FRA,DF,Toulouse,18,1998,22,20,"1,776",19.7,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,2016-2017
15,Benjamin André,fr FRA,MF,Rennes,25,1990,36,36,"3,215",35.7,0,3,0,0,0,6,0,0.00,0.08,0.08,0.00,0.08,Matches,2016-2017
16,Yoann Andreu,fr FRA,DF,Angers,27,1989,16,16,"1,367",15.2,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,2016-2017
17,Benjamin Angoua,ci CIV,DF,Guingamp,29,1986,7,6,538,6.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2016-2017
18,Houssem Aouar,fr FRA,FW,Lyon,18,1998,3,1,127,1.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2016-2017
19,Mauro Arambarri,uy URU,MF,Bordeaux,20,1995,4,0,40,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2016-2017
20,Alphonse Areola,fr FRA,GK,Paris S-G,23,1993,15,14,"1,297",14.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2016-2017
21,Fernando Aristeguieta,ve VEN,FW,Nantes,24,1992,5,0,52,0.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2016-2017
22,Sylvain Armand,fr FRA,DF,Rennes,35,1980,1,0,66,0.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2016-2017
23,Benoît Assou-Ekotto,cm CMR,DF,Metz,32,1984,18,16,"1,479",16.4,0,1,0,0,0,1,3,0.00,0.06,0.06,0.00,0.06,Matches,2016-2017
24,Jean-Kévin Augustin,fr FRA,FW,Paris S-G,19,1997,10,1,196,2.2,1,2,1,0,0,0,0,0.46,0.92,1.38,0.46,1.38,Matches,2016-2017
26,Serge Aurier,ci CIV,DF,Paris S-G,23,1992,22,21,"1,829",20.3,0,3,0,0,0,4,2,0.00,0.15,0.15,0.00,0.15,Matches,2016-2017
27,Ludovic Baal,gf GUF,"DF,MF",Rennes,30,1986,33,33,"2,880",32.0,0,4,0,0,0,3,1,0.00,0.12,0.12,0.00,0.12,Matches,2016-2017
28,Loic Badiashile,fr FRA,GK,Monaco,18,1998,1,0,45,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2016-2017
