,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,Season
36,Habib Bamogo,bf BFA,FW,Nice,25,1982,35,18,"1,945",21.6,2,0,1,1,1,4,0,0.09,0.00,0.09,0.05,0.05,Matches,2007-2008
37,Cédric Barbosa,fr FRA,MF,Metz,31,1976,20,19,"1,647",18.3,4,2,4,0,0,7,1,0.22,0.11,0.33,0.22,0.33,Matches,2007-2008
38,Milan Baroš,cz CZE,FW,Lyon,25,1981,12,6,664,7.4,3,1,3,0,0,2,0,0.41,0.14,0.54,0.41,0.54,Matches,2007-2008
39,Patrick Barul,fr FRA,DF,Nice,29,1977,8,4,396,4.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2007-2008
40,Marko Baša,me MNE,DF,Le Mans,24,1982,28,28,"2,442",27.1,5,0,5,0,0,4,0,0.18,0.00,0.18,0.18,0.18,Matches,2007-2008
41,Sébastien Bassong,cm CMR,DF,Metz,21,1986,19,19,"1,551",17.2,0,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,Matches,2007-2008
42,Michel Bastos,br BRA,"DF,MF",Lille,23,1983,35,27,"2,380",26.4,8,1,6,2,2,2,0,0.30,0.04,0.34,0.23,0.26,Matches,2007-2008
43,Laurent Batlles,fr FRA,MF,Toulouse,31,1975,22,14,"1,211",13.5,1,1,1,0,0,5,1,0.07,0.07,0.15,0.07,0.15,Matches,2007-2008
44,Moustapha Bayal Sall,sn SEN,DF,Saint-Étienne,21,1985,31,29,"2,633",29.3,0,0,0,0,0,6,1,0.00,0.00,0.00,0.00,0.00,Matches,2007-2008
45,Nadir Belhadj,dz ALG,"DF,MF",Lyon,25,1982,9,3,423,4.7,0,1,0,0,0,0,0,0.00,0.21,0.21,0.00,0.21,Matches,2007-2008
46,Nadir Belhadj,dz ALG,"DF,MF",Lens,25,1982,19,18,"1,651",18.3,0,1,0,0,0,4,0,0.00,0.05,0.05,0.00,0.05,Matches,2007-2008
47,Habib Bellaïd,dz ALG,DF,Strasbourg,21,1986,32,32,"2,880",32.0,0,0,0,0,0,7,0,0.00,0.00,0.00,0.00,0.00,Matches,2007-2008
48,David Bellion,fr FRA,FW,Bordeaux,24,1982,37,31,"2,452",27.2,12,2,11,1,3,2,0,0.44,0.07,0.51,0.40,0.48,Matches,2007-2008
49,Djamel Belmadi,dz ALG,MF,Valenciennes,31,1976,26,21,"1,773",19.7,1,4,1,0,0,0,0,0.05,0.20,0.25,0.05,0.25,Matches,2007-2008
50,Flavien Belson,fr FRA,MF,Metz,20,1987,6,3,327,3.6,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches,2007-2008
52,Hatem Ben Arfa,fr FRA,"FW,MF",Lyon,20,1987,30,17,"1,621",18.0,6,5,6,0,0,0,0,0.33,0.28,0.61,0.33,0.61,Matches,2007-2008
53,Saber Ben Frej,tn TUN,DF,Le Mans,28,1979,5,4,313,3.5,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,2007-2008
54,Yohan Benalouane,tn TUN,DF,Saint-Étienne,20,1987,6,5,485,5.4,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,Matches,2007-2008
55,Karim Benzema,fr FRA,FW,Lyon,19,1987,36,32,"2,565",28.5,20,7,20,0,0,1,0,0.70,0.25,0.95,0.70,0.95,Matches,2007-2008
56,Pascal Berenguer,fr FRA,MF,Nancy,26,1981,35,33,"2,850",31.7,4,2,4,0,0,6,0,0.13,0.06,0.19,0.13,0.19,Matches,2007-2008
57,Bryan Bergougnoux,fr FRA,"FW,MF",Toulouse,24,1983,18,6,745,8.3,1,0,1,0,0,4,0,0.12,0.00,0.12,0.12,0.12,Matches,2007-2008
58,Franck Béria,fr FRA,DF,Lille,24,1983,38,38,"3,365",37.4,1,0,1,0,0,6,0,0.03,0.00,0.03,0.03,0.03,Matches,2007-2008
59,Lucas Bernardi,ar ARG,MF,Monaco,29,1977,19,18,"1,496",16.6,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches,2007-2008
60,Jérémy Berthod,fr FRA,DF,Monaco,23,1984,12,9,819,9.1,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches,2007-2008
61,Vincent Bessat,fr FRA,"DF,MF",Metz,21,1985,18,9,838,9.3,2,0,2,0,0,1,0,0.21,0.00,0.21,0.21,0.21,Matches,2007-2008
62,Habib Beye,sn SEN,DF,Marseille,29,1977,4,4,360,4.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,2007-2008
63,Yacine Bezzaz,dz ALG,MF,Valenciennes,26,1981,20,10,886,9.8,1,1,1,0,0,1,1,0.10,0.10,0.20,0.10,0.20,Matches,2007-2008
64,Frédéric Biancalani,fr FRA,DF,Nancy,33,1974,25,23,"2,049",22.8,1,0,1,0,0,4,1,0.04,0.00,0.04,0.04,0.04,Matches,2007-2008
65,Valter Birsa,si SVN,"FW,MF",Sochaux,20,1986,22,13,"1,192",13.2,3,0,1,2,2,0,0,0.23,0.00,0.23,0.08,0.08,Matches,2007-2008
66,Milan Biševac,rs SRB,DF,Lens,23,1983,26,26,"2,304",25.6,1,1,1,0,0,2,0,0.04,0.04,0.08,0.04,0.08,Matches,2007-2008
67,Mathieu Bodmer,fr FRA,"DF,MF",Lyon,24,1982,37,29,"2,670",29.7,6,3,6,0,0,4,0,0.20,0.10,0.30,0.20,0.30,Matches,2007-2008
68,Yannick Boli,ci CIV,FW,Paris S-G,19,1988,1,0,17,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2007-2008
69,Bolívar,br BRA,DF,Monaco,26,1980,22,21,"1,878",20.9,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,2007-2008
70,Gaëtan Bong,cm CMR,DF,Metz,19,1988,11,5,669,7.4,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,2007-2008
71,Laurent Bonnart,fr FRA,DF,Marseille,27,1979,35,34,"3,120",34.7,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches,2007-2008
72,Guillaume Borne,fr FRA,DF,Rennes,19,1988,5,3,338,3.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2007-2008
73,Florian Boucansaud,fr FRA,DF,Caen,26,1981,3,1,229,2.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2007-2008
74,Samuel Bouhours,fr FRA,DF,Le Mans,20,1987,15,15,"1,257",14.0,0,0,0,0,0,3,1,0.00,0.00,0.00,0.00,0.00,Matches,2007-2008
