,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,Season
0,Zakariya Abarouai,fr FRA,FW,Evian,19,1994,1,0,26,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2013-2014
1,Kassim Abdallah,km COM,DF,Evian,26,1987,11,10,892,9.9,0,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,Matches,2013-2014
2,Kassim Abdallah,km COM,DF,Marseille,26,1987,10,9,814,9.0,0,1,0,0,0,1,0,0.00,0.11,0.11,0.00,0.11,Matches,2013-2014
3,Aymen Abdennour,tn TUN,DF,Monaco,23,1989,6,6,540,6.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,2013-2014
4,Aymen Abdennour,tn TUN,DF,Toulouse,23,1989,15,15,"1,323",14.7,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Matches,2013-2014
5,Rafidine Abdullah,km COM,MF,Lorient,19,1994,10,1,221,2.5,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,2013-2014
6,Laurent Abergel,fr FRA,"DF,MF",Marseille,20,1993,1,0,3,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2013-2014
7,Éric Abidal,fr FRA,DF,Monaco,33,1979,26,26,"2,310",25.7,0,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,Matches,2013-2014
8,Vincent Aboubakar,cm CMR,FW,Lorient,21,1992,35,33,"2,925",32.5,16,7,14,2,2,2,0,0.49,0.22,0.71,0.43,0.65,Matches,2013-2014
9,Fabrice Abriel,fr FRA,MF,Nice,34,1979,25,18,"1,548",17.2,0,1,0,0,0,1,0,0.00,0.06,0.06,0.00,0.06,Matches,2013-2014
10,Romain Achilli,fr FRA,"DF,MF",Bastia,20,1993,2,2,135,1.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2013-2014
11,Kossi Agassa,tg TOG,GK,Reims,35,1978,34,34,"3,060",34.0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,2013-2014
12,Abel Aguilar,co COL,MF,Toulouse,28,1985,28,27,"2,452",27.2,1,0,1,0,0,7,0,0.04,0.00,0.04,0.04,0.04,Matches,2013-2014
13,Ali Ahamada,km COM,GK,Toulouse,21,1991,21,21,"1,890",21.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,2013-2014
14,Nordine Aït Yahia,fr FRA,MF,Ajaccio,21,1992,2,0,81,0.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2013-2014
15,Karim Aït-Fana,ma MAR,"FW,MF",Montpellier,24,1989,4,1,113,1.3,1,0,1,0,0,1,0,0.80,0.00,0.80,0.80,0.80,Matches,2013-2014
16,Jean-Daniel Akpa-Akpro,ci CIV,"DF,MF",Toulouse,20,1992,22,18,"1,475",16.4,1,2,1,0,0,5,0,0.06,0.12,0.18,0.06,0.18,Matches,2013-2014
17,Mads Albæk,dk DEN,MF,Reims,23,1990,27,17,"1,620",18.0,2,2,2,0,0,4,0,0.11,0.11,0.22,0.11,0.22,Matches,2013-2014
18,Romain Alessandrini,fr FRA,"FW,MF",Rennes,24,1989,27,21,"1,844",20.5,6,5,5,1,1,2,0,0.29,0.24,0.54,0.24,0.49,Matches,2013-2014
19,Alex,br BRA,DF,Paris S-G,31,1982,31,30,"2,605",28.9,2,0,2,0,0,6,0,0.07,0.00,0.07,0.07,0.07,Matches,2013-2014
20,Chaker Alhadhur,km COM,"DF,MF",Nantes,21,1991,15,14,"1,241",13.8,0,1,0,0,0,2,0,0.00,0.07,0.07,0.00,0.07,Matches,2013-2014
21,Jérémie Aliadière,fr FRA,"FW,MF",Lorient,30,1983,27,24,"2,056",22.8,8,3,6,2,2,0,0,0.35,0.13,0.48,0.26,0.39,Matches,2013-2014
22,Rachid Alioui,ma MAR,FW,Guingamp,21,1992,16,9,753,8.4,2,1,2,0,0,0,0,0.24,0.12,0.36,0.24,0.36,Matches,2013-2014
23,Zana Allée,fr FRA,"FW,MF",Rennes,19,1994,5,1,101,1.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2013-2014
24,Morgan Amalfitano,fr FRA,MF,Marseille,28,1985,2,0,30,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2013-2014
26,Jordan Amavi,fr FRA,DF,Nice,19,1994,19,9,"1,021",11.3,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,2013-2014
27,Benjamin André,fr FRA,"DF,MF",Ajaccio,22,1990,36,35,"3,064",34.0,4,5,4,0,0,2,1,0.12,0.15,0.26,0.12,0.26,Matches,2013-2014
28,Benjamin Angoua,ci CIV,DF,Valenciennes,26,1986,16,15,"1,395",15.5,1,0,1,0,0,0,0,0.06,0.00,0.06,0.06,0.06,Matches,2013-2014
29,Aldo Angoula,fr FRA,DF,Evian,32,1981,20,19,"1,717",19.1,1,0,1,0,0,6,0,0.05,0.00,0.05,0.05,0.05,Matches,2013-2014
30,Fernando Aristeguieta,ve VEN,FW,Nantes,21,1992,22,4,658,7.3,2,0,2,0,0,3,0,0.27,0.00,0.27,0.27,0.27,Matches,2013-2014
31,Sylvain Armand,fr FRA,DF,Rennes,32,1980,32,32,"2,797",31.1,0,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,Matches,2013-2014
32,Salim Arrache,dz ALG,MF,Ajaccio,31,1982,7,5,274,3.0,2,0,2,0,0,1,0,0.66,0.00,0.66,0.66,0.66,Matches,2013-2014
33,Eliran Atar,il ISR,FW,Reims,26,1987,22,11,911,10.1,2,1,2,0,0,0,0,0.20,0.10,0.30,0.20,0.30,Matches,2013-2014
34,Fatih Atik,tr TUR,MF,Guingamp,29,1984,28,18,"1,658",18.4,2,4,2,0,0,3,0,0.11,0.22,0.33,0.11,0.33,Matches,2013-2014
35,Fabien Audard,fr FRA,GK,Lorient,35,1978,23,23,"1,943",21.6,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,2013-2014
36,Johan Audel,mq MTQ,"FW,MF",Nantes,29,1983,11,6,492,5.5,1,0,1,0,0,2,0,0.18,0.00,0.18,0.18,0.18,Matches,2013-2014
37,Serge Aurier,ci CIV,"DF,MF",Toulouse,20,1992,34,34,"3,044",33.8,6,6,6,0,0,11,0,0.18,0.18,0.35,0.18,0.35,Matches,2013-2014
