,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches,Season
478,Baptiste Santamaria,fr FRA,MF,Angers,22,1995,31,30,"2,591",28.8,0,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,1.1,1.4,0.01,0.04,0.05,0.01,0.05,Matches,2017-2018
479,Ivan Santini,hr CRO,FW,Caen,28,1989,32,31,"2,777",30.9,11,1,6,5,6,3,0,0.36,0.03,0.39,0.19,0.23,13.7,9.1,1.5,10.6,0.44,0.05,0.49,0.30,0.34,Matches,2017-2018
480,Yusuf Sari,tr TUR,FW,Marseille,18,1998,1,0,1,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,2017-2018
481,Bouna Sarr,sn SEN,"DF,FW",Marseille,25,1992,29,18,"1,789",19.9,0,3,0,0,0,5,0,0.00,0.15,0.15,0.00,0.15,1.0,1.0,2.4,3.4,0.05,0.12,0.17,0.05,0.17,Matches,2017-2018
482,Ismaila Sarr,sn SEN,"FW,MF",Rennes,19,1998,24,22,"1,858",20.6,5,3,5,0,0,2,0,0.24,0.15,0.39,0.24,0.39,4.1,4.1,3.0,7.1,0.20,0.15,0.35,0.20,0.35,Matches,2017-2018
483,Malang Sarr,fr FRA,DF,Nice,18,1999,21,13,"1,322",14.7,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.3,0.8,0.03,0.02,0.05,0.03,0.05,Matches,2017-2018
484,Ernest Seka,gn GUI,DF,Strasbourg,30,1987,27,25,"2,178",24.2,1,0,1,0,0,4,1,0.04,0.00,0.04,0.04,0.04,0.7,0.7,0.9,1.6,0.03,0.04,0.07,0.03,0.07,Matches,2017-2018
485,Vahid Selimović,lu LUX,DF,Metz,20,1997,13,12,"1,056",11.7,0,0,0,0,0,4,1,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.1,0.00,0.00,0.01,0.00,0.01,Matches,2017-2018
486,Ole Selnæs,no NOR,MF,Saint-Étienne,23,1994,26,23,"2,058",22.9,0,2,0,0,0,9,0,0.00,0.09,0.09,0.00,0.09,0.6,0.6,2.3,2.9,0.02,0.10,0.13,0.02,0.13,Matches,2017-2018
487,Jean Seri,ci CIV,MF,Nice,26,1991,31,30,"2,615",29.1,2,6,2,0,0,5,0,0.07,0.21,0.28,0.07,0.28,3.1,3.1,4.2,7.3,0.11,0.14,0.25,0.11,0.25,Matches,2017-2018
488,Julien Serrano,fr FRA,DF,Monaco,19,1998,4,3,280,3.1,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.3,0.3,0.00,0.08,0.08,0.00,0.08,Matches,2017-2018
489,Grégory Sertic,fr FRA,"DF,MF",Marseille,27,1989,7,3,350,3.9,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.7,0.7,0.1,0.8,0.18,0.02,0.20,0.18,0.20,Matches,2017-2018
490,Stéphane Sessègnon,bj BEN,MF,Montpellier,33,1984,16,11,985,10.9,1,2,1,0,0,1,0,0.09,0.18,0.27,0.09,0.27,1.7,1.7,0.9,2.5,0.15,0.08,0.23,0.15,0.23,Matches,2017-2018
491,Djibril Sidibé,fr FRA,DF,Monaco,25,1992,27,25,"2,153",23.9,2,7,2,0,0,4,0,0.08,0.29,0.38,0.08,0.38,0.8,0.8,3.2,4.1,0.03,0.14,0.17,0.03,0.17,Matches,2017-2018
492,Kolbeinn Sigþórsson,is ISL,FW,Nantes,27,1990,2,0,25,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.44,0.00,0.44,0.44,0.44,Matches,2017-2018
494,Gabriel Silva,br BRA,DF,Saint-Étienne,26,1991,25,23,"2,077",23.1,1,2,1,0,0,2,1,0.04,0.09,0.13,0.04,0.13,0.6,0.6,0.9,1.5,0.03,0.04,0.07,0.03,0.07,Matches,2017-2018
495,Thiago Silva,br BRA,DF,Paris S-G,32,1984,25,24,"2,115",23.5,1,0,1,0,0,5,0,0.04,0.00,0.04,0.04,0.04,0.6,0.6,0.3,0.9,0.03,0.01,0.04,0.03,0.04,Matches,2017-2018
496,Giovanni Sio,ci CIV,FW,Montpellier,28,1989,33,27,"2,193",24.4,10,3,10,0,1,5,1,0.41,0.12,0.53,0.41,0.53,11.9,11.1,2.6,13.7,0.49,0.11,0.59,0.46,0.56,Matches,2017-2018
497,Ellyes Skhiri,tn TUN,MF,Montpellier,22,1995,35,35,"3,049",33.9,4,1,4,0,0,8,0,0.12,0.03,0.15,0.12,0.15,1.8,1.8,1.4,3.2,0.05,0.04,0.09,0.05,0.09,Matches,2017-2018
498,Naïm Sliti,tn TUN,"FW,MF",Dijon,25,1992,31,26,"2,290",25.4,7,6,5,2,2,2,0,0.28,0.24,0.51,0.20,0.43,5.5,4.0,5.0,9.0,0.22,0.20,0.41,0.16,0.35,Matches,2017-2018
499,Wesley Sneijder,nl NED,"MF,FW",Nice,33,1984,5,4,399,4.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.6,0.6,0.6,1.2,0.15,0.14,0.28,0.15,0.28,Matches,2017-2018
500,Somália,br BRA,"MF,FW",Toulouse,28,1988,27,23,"2,002",22.2,1,0,1,0,0,2,0,0.04,0.00,0.04,0.04,0.04,2.1,2.1,1.8,3.9,0.09,0.08,0.17,0.09,0.17,Matches,2017-2018
501,Jérémy Sorbon,fr FRA,DF,Guingamp,33,1983,29,29,"2,610",29.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,1.3,1.3,0.1,1.4,0.04,0.00,0.05,0.04,0.05,Matches,2017-2018
502,Rayan Souici,fr FRA,FW,Saint-Étienne,19,1998,1,0,12,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,2017-2018
