,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,Season
0,Charlie Adam,sct SCO,MF,Stoke City,27,1985,31,20,"1,756",19.5,8,4,7,1,1,6,0,0.41,0.21,0.62,0.36,0.56,Matches,2013-2014
1,Emmanuel Adebayor,tg TOG,FW,Tottenham,29,1984,21,20,"1,805",20.1,11,4,10,1,2,0,0,0.55,0.20,0.75,0.50,0.70,Matches,2013-2014
2,Adrián,es ESP,GK,West Ham,26,1987,20,20,"1,800",20.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,2013-2014
3,Gabby Agbonlahor,eng ENG,"FW,MF",Aston Villa,26,1986,30,29,"2,441",27.1,4,5,4,0,0,7,0,0.15,0.18,0.33,0.15,0.33,Matches,2013-2014
4,Daniel Agger,dk DEN,DF,Liverpool,28,1984,20,16,"1,421",15.8,2,1,2,0,0,0,0,0.13,0.06,0.19,0.13,0.19,Matches,2013-2014
5,Sergio Agüero,ar ARG,FW,Manchester City,25,1988,23,20,"1,528",17.0,17,6,17,0,1,4,0,1.00,0.35,1.35,1.00,1.35,Matches,2013-2014
6,Karim El Ahmadi,ma MAR,MF,Aston Villa,28,1985,31,26,"2,177",24.2,2,1,2,0,0,7,0,0.08,0.04,0.12,0.08,0.12,Matches,2013-2014
7,Nathan Aké,nl NED,"DF,MF",Chelsea,18,1995,1,0,12,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2013-2014
8,Chuba Akpom,eng ENG,FW,Arsenal,17,1995,1,0,1,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2013-2014
9,Luis Alberto,es ESP,"FW,MF",Liverpool,20,1992,9,0,144,1.6,0,1,0,0,0,0,0,0.00,0.62,0.62,0.00,0.62,Matches,2013-2014
10,Marc Albrighton,eng ENG,"DF,FW",Aston Villa,23,1989,19,9,973,10.8,0,4,0,0,0,4,0,0.00,0.37,0.37,0.00,0.37,Matches,2013-2014
11,Antolín Alcaraz,py PAR,DF,Everton,31,1982,6,5,495,5.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2013-2014
12,Joe Allen,wls WAL,MF,Liverpool,23,1990,24,15,"1,443",16.0,1,0,1,0,0,4,0,0.06,0.00,0.06,0.06,0.06,Matches,2013-2014
13,Marcos Alonso,es ESP,"DF,MF",Sunderland,22,1990,16,16,"1,440",16.0,0,1,0,0,0,5,1,0.00,0.06,0.06,0.00,0.06,Matches,2013-2014
14,Jozy Altidore,us USA,FW,Sunderland,23,1989,31,19,"1,783",19.8,1,1,1,0,0,3,0,0.05,0.05,0.10,0.05,0.10,Matches,2013-2014
15,Sone Aluko,ng NGA,"FW,MF",Hull City,24,1989,17,10,933,10.4,1,3,1,0,0,1,0,0.10,0.29,0.39,0.10,0.39,Matches,2013-2014
16,Morgan Amalfitano,fr FRA,MF,West Brom,28,1985,28,26,"2,140",23.8,4,3,4,0,0,3,0,0.17,0.13,0.29,0.17,0.29,Matches,2013-2014
17,Jordi Amat,es ESP,DF,Swansea City,21,1992,17,13,"1,248",13.9,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,2013-2014
18,Sammy Ameobi,eng ENG,"FW,MF",Newcastle Utd,21,1992,10,4,376,4.2,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,2013-2014
19,Shola Ameobi,ng NGA,FW,Newcastle Utd,31,1981,26,14,"1,287",14.3,2,0,2,0,0,1,1,0.14,0.00,0.14,0.14,0.14,Matches,2013-2014
20,Fernando Amorebieta,ve VEN,DF,Fulham,28,1985,23,20,"1,847",20.5,1,0,1,0,0,5,1,0.05,0.00,0.05,0.05,0.05,Matches,2013-2014
21,Anderson,br BRA,MF,Manchester Utd,25,1988,4,2,155,1.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2013-2014
22,Nicolas Anelka,fr FRA,FW,West Brom,34,1979,12,11,849,9.4,2,0,2,0,0,0,0,0.21,0.00,0.21,0.21,0.21,Matches,2013-2014
23,Victor Anichebe,ng NGA,FW,West Brom,25,1988,24,11,"1,220",13.6,3,3,3,0,0,3,0,0.22,0.22,0.44,0.22,0.44,Matches,2013-2014
24,Victor Anichebe,ng NGA,FW,Everton,25,1988,1,0,1,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2013-2014
26,Vurnon Anita,cw CUW,"DF,MF",Newcastle Utd,24,1989,34,28,"2,457",27.3,1,1,1,0,0,2,0,0.04,0.04,0.07,0.04,0.07,Matches,2013-2014
