,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches,Season
459,Bernardo Silva,pt POR,"FW,MF",Manchester City,22,1994,35,15,"1,533",17.0,6,4,6,0,0,0,0,0.35,0.23,0.59,0.35,0.59,4.2,3.6,2.2,5.8,0.25,0.13,0.37,0.21,0.34,Matches,2017-2018
460,David Silva,es ESP,MF,Manchester City,31,1986,29,28,"2,430",27.0,9,11,9,0,0,5,0,0.33,0.41,0.74,0.33,0.74,7.3,7.3,7.7,15.0,0.27,0.29,0.56,0.27,0.56,Matches,2017-2018
461,Danny Simpson,eng ENG,DF,Leicester City,30,1987,28,27,"2,306",25.6,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.2,0.7,0.02,0.01,0.03,0.02,0.03,Matches,2017-2018
462,Jack Simpson,eng ENG,DF,Bournemouth,20,1996,1,1,71,0.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,2017-2018
463,Josh Sims,eng ENG,"FW,MF",Southampton,20,1997,6,1,163,1.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.9,0.9,0.1,1.0,0.48,0.05,0.53,0.48,0.53,Matches,2017-2018
464,Jerome Sinclair,eng ENG,"FW,MF",Watford,20,1996,4,0,31,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.16,0.16,0.00,0.16,Matches,2017-2018
465,Moussa Sissoko,fr FRA,"MF,FW",Tottenham,27,1989,32,15,"1,386",15.4,1,1,1,0,0,3,0,0.06,0.06,0.13,0.06,0.13,3.4,3.4,2.6,5.9,0.22,0.17,0.38,0.22,0.38,Matches,2017-2018
466,Islam Slimani,dz ALG,FW,Newcastle Utd,29,1988,4,1,132,1.5,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.5,0.5,0.00,0.34,0.34,0.00,0.34,Matches,2017-2018
468,Islam Slimani,dz ALG,"FW,MF",Leicester City,29,1988,12,2,249,2.8,1,1,1,0,0,0,0,0.36,0.36,0.72,0.36,0.72,1.2,1.2,0.1,1.3,0.43,0.04,0.48,0.43,0.48,Matches,2017-2018
469,Chris Smalling,eng ENG,DF,Manchester Utd,27,1989,29,28,"2,536",28.2,4,0,4,0,0,4,0,0.14,0.00,0.14,0.14,0.14,2.6,2.6,0.4,3.0,0.09,0.01,0.11,0.09,0.11,Matches,2017-2018
470,Adam Smith,eng ENG,"DF,MF",Bournemouth,26,1991,27,22,"2,071",23.0,1,3,1,0,0,6,0,0.04,0.13,0.17,0.04,0.17,0.5,0.5,1.3,1.8,0.02,0.06,0.08,0.02,0.08,Matches,2017-2018
471,Tommy Smith,eng ENG,DF,Huddersfield,25,1992,24,21,"1,904",21.2,0,1,0,0,0,7,0,0.00,0.05,0.05,0.00,0.05,0.2,0.2,1.5,1.7,0.01,0.07,0.08,0.01,0.08,Matches,2017-2018
472,Cédric Soares,pt POR,DF,Southampton,25,1991,32,32,"2,794",31.0,0,3,0,0,0,3,0,0.00,0.10,0.10,0.00,0.10,0.8,0.8,3.4,4.3,0.03,0.11,0.14,0.03,0.14,Matches,2017-2018
473,Ramadan Sobhi,eg EGY,"FW,MF",Stoke City,20,1997,24,12,"1,238",13.8,2,0,2,0,0,2,0,0.15,0.00,0.15,0.15,0.15,1.7,1.7,1.2,2.9,0.13,0.08,0.21,0.13,0.21,Matches,2017-2018
474,Dominic Solanke,eng ENG,FW,Liverpool,19,1997,21,5,596,6.6,1,1,1,0,0,0,0,0.15,0.15,0.30,0.15,0.30,2.9,2.9,2.1,5.0,0.44,0.32,0.76,0.44,0.76,Matches,2017-2018
475,Pape Souaré,sn SEN,DF,Crystal Palace,27,1990,1,0,9,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,2017-2018
476,Julián Speroni,ar ARG,GK,Crystal Palace,38,1979,11,11,990,11.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,2017-2018
477,Kostas Stafylidis,gr GRE,"DF,MF",Stoke City,23,1993,5,4,335,3.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.02,0.01,0.03,0.02,0.03,Matches,2017-2018
478,Junior Stanislas,eng ENG,"MF,FW",Bournemouth,27,1989,19,17,"1,286",14.3,5,2,4,1,1,1,0,0.35,0.14,0.49,0.28,0.42,3.6,2.8,2.3,5.1,0.25,0.16,0.41,0.20,0.36,Matches,2017-2018
479,Dale Stephens,eng ENG,MF,Brighton,28,1989,36,36,"3,240",36.0,0,3,0,0,0,6,0,0.00,0.08,0.08,0.00,0.08,1.1,1.1,1.5,2.5,0.03,0.04,0.07,0.03,0.07,Matches,2017-2018
480,Jack Stephens,eng ENG,DF,Southampton,23,1994,22,22,"1,980",22.0,2,0,2,0,0,6,1,0.09,0.00,0.09,0.09,0.09,1.2,1.2,0.2,1.4,0.06,0.01,0.06,0.06,0.06,Matches,2017-2018
481,Raheem Sterling,eng ENG,FW,Manchester City,22,1994,33,29,"2,587",28.7,18,11,17,1,1,4,2,0.63,0.38,1.01,0.59,0.97,18.3,17.1,7.5,24.7,0.64,0.26,0.90,0.60,0.86,Matches,2017-2018
482,John Stones,eng ENG,DF,Manchester City,23,1994,18,16,"1,302",14.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,1.1,1.1,0.0,1.1,0.08,0.00,0.08,0.08,0.08,Matches,2017-2018
483,Daniel Sturridge,eng ENG,FW,Liverpool,27,1989,9,5,431,4.8,2,1,2,0,0,0,0,0.42,0.21,0.63,0.42,0.63,2.6,2.6,0.9,3.5,0.54,0.19,0.74,0.54,0.74,Matches,2017-2018
484,Daniel Sturridge,eng ENG,"FW,MF",West Brom,27,1989,6,2,118,1.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.1,0.5,0.32,0.05,0.37,0.32,0.37,Matches,2017-2018
485,Ki Sung-yueng,kr KOR,MF,Swansea City,28,1989,25,21,"1,868",20.8,2,2,2,0,0,2,0,0.10,0.10,0.19,0.10,0.19,0.7,0.7,1.5,2.2,0.04,0.07,0.11,0.04,0.11,Matches,2017-2018
486,Andrew Surman,eng ENG,MF,Bournemouth,30,1986,25,20,"1,856",20.6,2,5,2,0,0,2,0,0.10,0.24,0.34,0.10,0.34,1.2,1.2,1.8,2.9,0.06,0.09,0.14,0.06,0.14,Matches,2017-2018
487,Markus Suttner,at AUT,DF,Brighton,30,1987,14,13,"1,179",13.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.2,0.3,0.00,0.02,0.02,0.00,0.02,Matches,2017-2018
488,Lasse Sørensen,dk DEN,MF,Stoke City,17,1999,1,1,75,0.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.2,0.00,0.22,0.22,0.00,0.22,Matches,2017-2018
