,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,Season
36,Yıldıray Baştürk,tr TUR,MF,Blackburn,30,1978,1,1,45,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2009-2010
37,Jose Baxter,eng ENG,"FW,MF",Everton,17,1992,2,0,5,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2009-2010
38,James Beattie,eng ENG,FW,Stoke City,31,1978,22,11,803,8.9,2,1,1,1,1,1,0,0.22,0.11,0.34,0.11,0.22,Matches,2009-2010
39,Asmir Begović,ba BIH,GK,Portsmouth,22,1987,9,8,736,8.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2009-2010
40,Asmir Begović,ba BIH,GK,Stoke City,22,1987,4,3,326,3.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2009-2010
41,Valon Behrami,ch SUI,"DF,MF",West Ham,24,1985,27,24,"2,048",22.8,1,1,1,0,0,0,0,0.04,0.04,0.09,0.04,0.09,Matches,2009-2010
42,Nadir Belhadj,dz ALG,"DF,MF",Portsmouth,27,1982,19,16,"1,471",16.3,3,2,3,0,0,2,0,0.18,0.12,0.31,0.18,0.31,Matches,2009-2010
43,Craig Bellamy,wls WAL,FW,Manchester City,30,1979,32,26,"2,380",26.4,10,8,10,0,0,4,1,0.38,0.30,0.68,0.38,0.68,Matches,2009-2010
44,Juliano Belletti,br BRA,"DF,MF",Chelsea,33,1976,11,4,490,5.4,0,1,0,0,0,1,1,0.00,0.18,0.18,0.00,0.18,Matches,2009-2010
45,Tal Ben Haim,il ISR,DF,Portsmouth,27,1982,22,21,"1,915",21.3,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches,2009-2010
46,Yossi Benayoun,il ISR,MF,Liverpool,29,1980,30,19,"1,849",20.5,6,4,6,0,0,1,0,0.29,0.19,0.49,0.29,0.49,Matches,2009-2010
47,Nicklas Bendtner,dk DEN,FW,Arsenal,21,1988,23,13,"1,234",13.7,6,5,6,0,0,2,0,0.44,0.36,0.80,0.44,0.80,Matches,2009-2010
48,Christian Benítez,ec ECU,FW,Birmingham City,23,1986,30,21,"1,935",21.5,3,5,3,0,1,1,0,0.14,0.23,0.37,0.14,0.37,Matches,2009-2010
49,Darren Bent,eng ENG,FW,Sunderland,25,1984,38,38,"3,383",37.6,24,1,19,5,8,5,0,0.64,0.03,0.67,0.51,0.53,Matches,2009-2010
50,David Bentley,eng ENG,MF,Tottenham,24,1984,15,11,983,10.9,1,1,1,0,0,1,0,0.09,0.09,0.18,0.09,0.18,Matches,2009-2010
52,Dimitar Berbatov,bg BUL,FW,Manchester Utd,28,1981,33,24,"2,094",23.3,12,5,12,0,0,1,0,0.52,0.21,0.73,0.52,0.73,Matches,2009-2010
53,Christophe Berra,sct SCO,DF,Wolves,24,1985,32,32,"2,835",31.5,0,3,0,0,0,5,0,0.00,0.10,0.10,0.00,0.10,Matches,2009-2010
54,Habib Beye,sn SEN,DF,Aston Villa,31,1977,6,5,442,4.9,0,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,Matches,2009-2010
55,André Bikey,cm CMR,"DF,MF",Burnley,24,1985,28,26,"2,180",24.2,1,0,1,0,0,5,0,0.04,0.00,0.04,0.04,0.04,Matches,2009-2010
56,Diniyar Bilyaletdinov,ru RUS,MF,Everton,24,1985,23,16,"1,430",15.9,6,1,6,0,0,1,1,0.38,0.06,0.44,0.38,0.44,Matches,2009-2010
57,Mame Biram Diouf,sn SEN,"FW,MF",Manchester Utd,21,1987,5,0,94,1.0,1,0,1,0,0,1,0,0.96,0.00,0.96,0.96,0.96,Matches,2009-2010
58,Robbie Blake,eng ENG,"FW,MF",Burnley,33,1976,31,20,"1,648",18.3,2,3,2,0,0,1,0,0.11,0.16,0.27,0.11,0.27,Matches,2009-2010
59,Luís Boa Morte,pt POR,"FW,MF",West Ham,31,1977,1,1,63,0.7,1,0,1,0,0,1,0,1.43,0.00,1.43,1.43,1.43,Matches,2009-2010
60,George Boateng,nl NED,MF,Hull City,33,1975,29,26,"2,230",24.8,1,1,1,0,0,4,2,0.04,0.04,0.08,0.04,0.08,Matches,2009-2010
61,Kevin-Prince Boateng,gh GHA,"FW,MF",Portsmouth,22,1987,22,20,"1,841",20.5,3,2,2,1,2,7,0,0.15,0.10,0.24,0.10,0.20,Matches,2009-2010
62,Fabio Borini,it ITA,"FW,MF",Chelsea,18,1991,4,0,37,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2009-2010
63,José Bosingwa,pt POR,DF,Chelsea,26,1982,8,8,645,7.2,0,1,0,0,0,0,0,0.00,0.14,0.14,0.00,0.14,Matches,2009-2010
64,Papa Bouba Diop,sn SEN,"DF,MF",Portsmouth,31,1978,12,9,711,7.9,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,2009-2010
65,Lee Bowyer,eng ENG,MF,Birmingham City,32,1977,35,34,"3,009",33.4,5,2,5,0,0,8,0,0.15,0.06,0.21,0.15,0.21,Matches,2009-2010
66,Dedryck Boyata,be BEL,DF,Manchester City,18,1990,3,1,126,1.4,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,2009-2010
67,Emmerson Boyce,bb BRB,DF,Wigan Athletic,29,1979,24,23,"2,034",22.6,3,1,3,0,0,1,0,0.13,0.04,0.18,0.13,0.18,Matches,2009-2010
68,Titus Bramble,eng ENG,DF,Wigan Athletic,28,1981,35,35,"3,110",34.6,2,0,2,0,0,10,0,0.06,0.00,0.06,0.06,0.06,Matches,2009-2010
69,Wayne Bridge,eng ENG,DF,Manchester City,28,1980,23,23,"1,890",21.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,2009-2010
70,Jason Brown,wls WAL,GK,Blackburn,27,1982,4,3,336,3.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2009-2010
71,Michael Brown,eng ENG,MF,Portsmouth,32,1977,24,22,"1,925",21.4,2,3,2,0,0,5,1,0.09,0.14,0.23,0.09,0.23,Matches,2009-2010
72,Michael Brown,eng ENG,MF,Wigan Athletic,32,1977,2,2,151,1.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2009-2010
73,Wes Brown,eng ENG,DF,Manchester Utd,29,1979,19,18,"1,571",17.5,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,2009-2010
74,Jeffrey Bruma,nl NED,DF,Chelsea,17,1991,2,0,59,0.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2009-2010
75,Jimmy Bullard,eng ENG,MF,Hull City,30,1978,14,13,"1,051",11.7,4,1,0,4,5,0,0,0.34,0.09,0.43,0.00,0.09,Matches,2009-2010
76,Gary Cahill,eng ENG,DF,Bolton,23,1985,29,29,"2,610",29.0,5,1,5,0,0,3,0,0.17,0.03,0.21,0.17,0.21,Matches,2009-2010
78,Tim Cahill,au AUS,"FW,MF",Everton,29,1979,33,33,"2,863",31.8,8,4,8,0,0,8,0,0.25,0.13,0.38,0.25,0.38,Matches,2009-2010
79,Tom Cairney,sct SCO,MF,Hull City,18,1991,11,10,897,10.0,1,0,1,0,0,1,0,0.10,0.00,0.10,0.10,0.10,Matches,2009-2010
80,Gary Caldwell,sct SCO,"DF,MF",Wigan Athletic,27,1982,16,16,"1,347",15.0,2,0,2,0,0,3,2,0.13,0.00,0.13,0.13,0.13,Matches,2009-2010
81,Steven Caldwell,sct SCO,DF,Burnley,28,1980,13,12,"1,062",11.8,1,0,1,0,0,1,1,0.08,0.00,0.08,0.08,0.08,Matches,2009-2010
82,Fraizer Campbell,eng ENG,FW,Sunderland,21,1987,31,19,"1,918",21.3,4,4,4,0,0,3,0,0.19,0.19,0.38,0.19,0.38,Matches,2009-2010
83,Sol Campbell,eng ENG,"DF,FW",Arsenal,34,1974,11,10,956,10.6,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,2009-2010
84,Lorik Cana,al ALB,"DF,MF",Sunderland,26,1983,31,29,"2,598",28.9,0,1,0,0,0,10,1,0.00,0.03,0.03,0.00,0.03,Matches,2009-2010
85,John Carew,no NOR,FW,Aston Villa,29,1979,33,22,"2,102",23.4,10,3,9,1,2,2,0,0.43,0.13,0.56,0.39,0.51,Matches,2009-2010
86,Clarke Carlisle,eng ENG,DF,Burnley,29,1979,27,27,"2,373",26.4,0,0,0,0,0,7,0,0.00,0.00,0.00,0.00,0.00,Matches,2009-2010
87,Stephen Carr,ie IRL,DF,Birmingham City,32,1976,35,35,"3,109",34.5,0,2,0,0,0,10,0,0.00,0.06,0.06,0.00,0.06,Matches,2009-2010
88,Jamie Carragher,eng ENG,"DF,MF",Liverpool,31,1978,37,37,"3,251",36.1,0,0,0,0,0,7,1,0.00,0.00,0.00,0.00,0.00,Matches,2009-2010
89,Michael Carrick,eng ENG,MF,Manchester Utd,28,1981,30,22,"2,119",23.5,2,2,2,0,1,1,0,0.08,0.08,0.17,0.08,0.17,Matches,2009-2010
90,Lee Carsley,ie IRL,MF,Birmingham City,35,1974,7,3,347,3.9,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,2009-2010
91,Ricardo Carvalho,pt POR,DF,Chelsea,31,1978,22,22,"1,846",20.5,0,1,0,0,0,4,0,0.00,0.05,0.05,0.00,0.05,Matches,2009-2010
92,Segundo Castillo,ec ECU,"DF,MF",Wolves,27,1982,8,7,501,5.6,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,2009-2010
93,Lee Cattermole,eng ENG,MF,Sunderland,21,1988,22,19,"1,491",16.6,0,3,0,0,0,8,1,0.00,0.18,0.18,0.00,0.18,Matches,2009-2010
94,Petr Čech,cz CZE,GK,Chelsea,27,1982,34,34,"3,021",33.6,0,1,0,0,0,0,1,0.00,0.03,0.03,0.00,0.03,Matches,2009-2010
95,Pascal Chimbonda,fr FRA,DF,Blackburn,30,1979,24,22,"1,973",21.9,1,1,1,0,0,3,0,0.05,0.05,0.09,0.05,0.09,Matches,2009-2010
96,Lee Chung-yong,kr KOR,"FW,MF",Bolton,21,1988,34,27,"2,407",26.7,4,3,4,0,0,4,0,0.15,0.11,0.26,0.15,0.26,Matches,2009-2010
97,Ciaran Clark,ie IRL,"DF,MF",Aston Villa,19,1989,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2009-2010
98,Gaël Clichy,fr FRA,DF,Arsenal,24,1985,24,23,"2,087",23.2,0,1,0,0,0,4,0,0.00,0.04,0.04,0.00,0.04,Matches,2009-2010
99,Tamir Cohen,il ISR,MF,Bolton,25,1984,27,26,"2,090",23.2,3,3,3,0,0,7,1,0.13,0.13,0.26,0.13,0.26,Matches,2009-2010
100,Jack Colback,eng ENG,MF,Sunderland,19,1989,1,0,13,0.1,0,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,Matches,2009-2010
101,Ashley Cole,eng ENG,DF,Chelsea,28,1980,27,25,"2,153",23.9,4,3,4,0,0,4,0,0.17,0.13,0.29,0.17,0.29,Matches,2009-2010
102,Carlton Cole,eng ENG,FW,West Ham,25,1983,30,26,"2,287",25.4,10,3,9,1,1,3,0,0.39,0.12,0.51,0.35,0.47,Matches,2009-2010
104,Joe Cole,eng ENG,MF,Chelsea,27,1981,26,14,"1,286",14.3,2,5,2,0,0,2,0,0.14,0.35,0.49,0.14,0.49,Matches,2009-2010
105,Séamus Coleman,ie IRL,"DF,MF",Everton,20,1988,3,0,108,1.2,0,1,0,0,0,0,0,0.00,0.83,0.83,0.00,0.83,Matches,2009-2010
106,Danny Collins,wls WAL,DF,Stoke City,28,1980,25,22,"2,081",23.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2009-2010
107,Danny Collins,wls WAL,DF,Sunderland,28,1980,3,3,270,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2009-2010
108,James Collins,wls WAL,DF,West Ham,25,1983,3,3,270,3.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,2009-2010
109,James Collins,wls WAL,DF,Aston Villa,25,1983,27,26,"2,369",26.3,1,0,1,0,0,2,0,0.04,0.00,0.04,0.04,0.04,Matches,2009-2010
110,Jack Collison,wls WAL,MF,West Ham,20,1988,22,19,"1,654",18.4,2,3,2,0,0,3,0,0.11,0.16,0.27,0.11,0.27,Matches,2009-2010
111,Liam Cooper,sct SCO,DF,Hull City,17,1991,2,1,126,1.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2009-2010
112,Jack Cork,eng ENG,"DF,MF",Burnley,20,1989,11,8,773,8.6,1,3,1,0,0,1,0,0.12,0.35,0.47,0.12,0.47,Matches,2009-2010
113,Vedran Ćorluka,hr CRO,DF,Tottenham,23,1986,29,29,"2,553",28.4,1,2,1,0,0,3,0,0.04,0.07,0.11,0.04,0.11,Matches,2009-2010
114,Leon Cort,gy GUY,DF,Burnley,29,1979,15,15,"1,291",14.3,0,1,0,0,0,0,0,0.00,0.07,0.07,0.00,0.07,Matches,2009-2010
115,Manuel da Costa,ma MAR,DF,West Ham,23,1986,15,12,"1,096",12.2,2,0,2,0,0,0,0,0.16,0.00,0.16,0.16,0.16,Matches,2009-2010
116,Daniel Cousin,ga GAB,FW,Hull City,32,1977,3,1,79,0.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2009-2010
117,Jody Craddock,eng ENG,"DF,MF",Wolves,34,1975,33,33,"2,970",33.0,5,2,5,0,0,1,0,0.15,0.06,0.21,0.15,0.21,Matches,2009-2010
118,Richard Cresswell,eng ENG,FW,Stoke City,31,1977,2,1,65,0.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2009-2010
119,Peter Crouch,eng ENG,FW,Tottenham,28,1981,38,21,"2,229",24.8,8,6,8,0,0,1,0,0.32,0.24,0.57,0.32,0.57,Matches,2009-2010
120,Carlo Cudicini,it ITA,GK,Tottenham,35,1973,7,6,615,6.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2009-2010
121,Carlos Cuéllar,es ESP,DF,Aston Villa,27,1981,36,36,"3,240",36.0,2,1,2,0,0,7,1,0.06,0.03,0.08,0.06,0.08,Matches,2009-2010
122,Mark Cullen,eng ENG,FW,Hull City,17,1992,3,2,196,2.2,1,0,1,0,0,0,0,0.46,0.00,0.46,0.46,0.46,Matches,2009-2010
123,Greg Cunningham,ie IRL,"DF,MF",Manchester City,18,1991,2,0,3,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2009-2010
124,Scott Dann,eng ENG,DF,Birmingham City,22,1987,30,30,"2,700",30.0,0,2,0,0,0,4,0,0.00,0.07,0.07,0.00,0.07,Matches,2009-2010
125,Fabio Daprelà,ch SUI,"DF,MF",West Ham,18,1991,7,4,373,4.1,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,2009-2010
126,Stephen Darby,eng ENG,DF,Liverpool,20,1988,1,0,1,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2009-2010
127,Curtis Davies,eng ENG,DF,Aston Villa,24,1985,2,2,180,2.0,1,0,1,0,0,0,0,0.50,0.00,0.50,0.50,0.50,Matches,2009-2010
128,Kevin Davies,eng ENG,FW,Bolton,32,1977,37,37,"3,315",36.8,7,7,6,1,1,9,0,0.19,0.19,0.38,0.16,0.35,Matches,2009-2010
130,Mark Davies,eng ENG,MF,Bolton,21,1988,17,5,560,6.2,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,2009-2010
131,Simon Davies,wls WAL,MF,Fulham,29,1979,17,12,"1,001",11.1,0,2,0,0,0,1,0,0.00,0.18,0.18,0.00,0.18,Matches,2009-2010
132,Sean Davis,eng ENG,MF,Bolton,29,1979,3,3,234,2.6,0,0,0,0,0,3,1,0.00,0.00,0.00,0.00,0.00,Matches,2009-2010
133,Andy Dawson,eng ENG,DF,Hull City,30,1978,35,35,"3,065",34.1,1,0,1,0,0,7,0,0.03,0.00,0.03,0.03,0.03,Matches,2009-2010
134,Michael Dawson,eng ENG,DF,Tottenham,25,1983,29,25,"2,337",26.0,2,0,2,0,0,4,0,0.08,0.00,0.08,0.08,0.08,Matches,2009-2010
135,Ritchie De Laet,be BEL,DF,Manchester Utd,20,1988,2,2,147,1.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2009-2010
136,Deco,pt POR,MF,Chelsea,31,1977,19,14,"1,238",13.8,2,2,2,0,0,4,0,0.15,0.15,0.29,0.15,0.29,Matches,2009-2010
137,Jermain Defoe,eng ENG,FW,Tottenham,26,1982,34,31,"2,553",28.4,18,4,17,1,2,3,1,0.63,0.14,0.78,0.60,0.74,Matches,2009-2010
138,Philipp Degen,ch SUI,"DF,FW",Liverpool,26,1983,7,3,332,3.7,0,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,Matches,2009-2010
139,Rory Delap,ie IRL,MF,Stoke City,33,1976,36,34,"2,879",32.0,0,2,0,0,0,3,0,0.00,0.06,0.06,0.00,0.06,Matches,2009-2010
140,Nathan Delfouneso,eng ENG,"FW,MF",Aston Villa,18,1991,9,0,198,2.2,1,0,1,0,0,0,0,0.45,0.00,0.45,0.45,0.45,Matches,2009-2010
141,Fabian Delph,eng ENG,"DF,MF",Aston Villa,19,1989,8,4,291,3.2,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,2009-2010
142,Clint Dempsey,us USA,"FW,MF",Fulham,26,1983,29,27,"2,391",26.6,7,3,6,1,1,1,0,0.26,0.11,0.38,0.23,0.34,Matches,2009-2010
143,Denílson,br BRA,MF,Arsenal,21,1988,20,19,"1,567",17.4,4,1,4,0,0,2,0,0.23,0.06,0.29,0.23,0.29,Matches,2009-2010
144,Edwin van der Sar,nl NED,GK,Manchester Utd,38,1970,21,21,"1,890",21.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2009-2010
145,Franco Di Santo,ar ARG,FW,Blackburn,20,1989,22,15,"1,154",12.8,1,1,1,0,0,3,0,0.08,0.08,0.16,0.08,0.16,Matches,2009-2010
146,Abou Diaby,fr FRA,MF,Arsenal,23,1986,29,26,"2,319",25.8,6,3,6,0,0,2,0,0.23,0.12,0.35,0.23,0.35,Matches,2009-2010
147,Alessandro Diamanti,it ITA,"FW,MF",West Ham,26,1983,27,18,"1,815",20.2,7,3,3,4,5,5,0,0.35,0.15,0.50,0.15,0.30,Matches,2009-2010
148,Mohamed Diamé,sn SEN,MF,Wigan Athletic,22,1987,34,34,"2,852",31.7,1,1,1,0,0,5,0,0.03,0.03,0.06,0.03,0.06,Matches,2009-2010
149,Salif Diao,sn SEN,MF,Stoke City,32,1977,16,11,943,10.5,1,1,1,0,0,7,0,0.10,0.10,0.19,0.10,0.19,Matches,2009-2010
150,Kagisho Dikgacoi,za RSA,MF,Fulham,24,1984,12,7,593,6.6,0,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,Matches,2009-2010
151,Aruna Dindane,ci CIV,FW,Portsmouth,28,1980,19,18,"1,472",16.4,8,2,7,1,2,5,0,0.49,0.12,0.61,0.43,0.55,Matches,2009-2010
152,Sylvain Distin,fr FRA,DF,Everton,31,1977,29,29,"2,589",28.8,0,1,0,0,0,2,0,0.00,0.03,0.03,0.00,0.03,Matches,2009-2010
153,Sylvain Distin,fr FRA,DF,Portsmouth,31,1977,3,3,270,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2009-2010
154,Johan Djourou,ch SUI,DF,Arsenal,22,1987,1,0,29,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2009-2010
156,Landon Donovan,us USA,"FW,MF",Everton,27,1982,10,7,647,7.2,2,3,2,0,0,1,0,0.28,0.42,0.70,0.28,0.70,Matches,2009-2010
157,Giovani dos Santos,mx MEX,"FW,MF",Tottenham,20,1989,1,0,13,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2009-2010
158,Andrea Dossena,it ITA,"DF,MF",Liverpool,27,1981,2,1,54,0.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2009-2010
159,Stewart Downing,eng ENG,"FW,MF",Aston Villa,25,1984,25,23,"2,070",23.0,2,1,2,0,0,0,0,0.09,0.04,0.13,0.09,0.13,Matches,2009-2010
160,Kevin Doyle,ie IRL,FW,Wolves,25,1983,34,33,"2,887",32.1,9,1,8,1,1,4,0,0.28,0.03,0.31,0.25,0.28,Matches,2009-2010
161,Didier Drogba,ci CIV,FW,Chelsea,31,1978,32,31,"2,770",30.8,29,10,28,1,1,7,0,0.94,0.32,1.27,0.91,1.23,Matches,2009-2010
162,Damien Duff,ie IRL,"FW,MF",Fulham,30,1979,32,30,"2,537",28.2,6,3,6,0,0,2,0,0.21,0.11,0.32,0.21,0.32,Matches,2009-2010
163,Michael Duff,nir NIR,DF,Burnley,31,1978,11,10,951,10.6,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Matches,2009-2010
