,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,Season
0,Jörg Albertz,de GER,MF,Hamburger SV,22,1971,31,30,"2,582",28.7,4,,4,0,,3,0,0.14,,,0.14,,Matches,1993-1994
1,André Alter,de GER,GK,Wattenscheid,19,1973,10,10,900,10.0,0,,0,0,,1,0,0.00,,,0.00,,Matches,1993-1994
2,Ingo Anderbrügge,de GER,MF,Schalke 04,29,1964,34,34,"3,060",34.0,9,,5,4,,1,0,0.26,,,0.15,,Matches,1993-1994
3,Dirk Anders,de GER,MF,VfB Leipzig,26,1966,32,32,"2,822",31.4,8,,5,3,,5,2,0.26,,,0.16,,Matches,1993-1994
4,Henrik Andersen,dk DEN,DF,Köln,28,1965,8,6,529,5.9,0,,0,0,,0,0,0.00,,,0.00,,Matches,1993-1994
5,Jørn Andersen,no NOR,FW,Hamburger SV,30,1963,11,2,378,4.2,1,,1,0,,0,0,0.24,,,0.24,,Matches,1993-1994
6,Jørn Andersen,no NOR,FW,Eint Frankfurt,30,1963,12,2,362,4.0,2,,2,0,,0,0,0.50,,,0.50,,Matches,1993-1994
7,Patrik Andersson,se SWE,DF,M'Gladbach,21,1971,17,17,"1,530",17.0,1,,1,0,,0,0,0.06,,,0.06,,Matches,1993-1994
8,Michael Aničić,rs SRB,MF,Eint Frankfurt,18,1974,4,0,101,1.1,0,,0,0,,1,0,0.00,,,0.00,,Matches,1993-1994
9,Revaz Arveladze,ge GEO,MF,Köln,23,1969,7,2,236,2.6,1,,1,0,,1,0,0.38,,,0.38,,Matches,1993-1994
10,Thomas Audehm,de GER,DF,Wattenscheid,26,1967,1,1,77,0.9,0,,0,0,,1,2,0.00,,,0.00,,Matches,1993-1994
11,Raimond Aumann,de GER,GK,Bayern Munich,29,1963,32,32,"2,880",32.0,0,,,,,0,0,0.00,,,,,Matches,1993-1994
12,Rachid Azzouzi,ma MAR,MF,MSV Duisburg,22,1971,23,20,"1,735",19.3,0,,0,0,,3,2,0.00,,,0.00,,Matches,1993-1994
13,Markus Babbel,de GER,DF,Hamburger SV,20,1972,33,33,"2,970",33.0,0,,0,0,,6,0,0.00,,,0.00,,Matches,1993-1994
14,Jörg Bach,de GER,DF,Wattenscheid,27,1965,31,30,"2,578",28.6,2,,2,0,,5,3,0.07,,,0.07,,Matches,1993-1994
15,Riccardo Baich,de GER,"FW,MF",Hamburger SV,19,1973,2,0,15,0.2,0,,0,0,,0,0,0.00,,,0.00,,Matches,1993-1994
16,Karsten Bäron,de GER,FW,Hamburger SV,20,1973,32,29,"2,584",28.7,13,,13,0,,3,0,0.45,,,0.45,,Matches,1993-1994
17,Mario Basler,de GER,"FW,MF",Werder Bremen,24,1968,29,23,"2,078",23.1,5,,5,0,,3,2,0.22,,,0.22,,Matches,1993-1994
18,Karsten Baumann,de GER,DF,Köln,23,1969,14,10,957,10.6,2,,2,0,,4,0,0.19,,,0.19,,Matches,1993-1994
19,Matthias Becker,de GER,FW,Eint Frankfurt,19,1974,3,3,244,2.7,1,,1,0,,0,0,0.37,,,0.37,,Matches,1993-1994
20,Ralf Becker,de GER,MF,Leverkusen,22,1970,15,8,797,8.9,1,,1,0,,1,0,0.11,,,0.11,,Matches,1993-1994
21,Marc Beckers,de GER,DF,M'Gladbach,19,1973,3,2,161,1.8,0,,0,0,,0,0,0.00,,,0.00,,Matches,1993-1994
22,Dietmar Beiersdorfer,de GER,DF,Werder Bremen,29,1963,32,32,"2,630",29.2,2,,2,0,,5,1,0.07,,,0.07,,Matches,1993-1994
23,Uwe Bein,de GER,MF,Eint Frankfurt,32,1960,27,27,"2,328",25.9,6,,6,0,,5,0,0.23,,,0.23,,Matches,1993-1994
24,Manfred Bender,de GER,MF,Karlsruher,27,1966,27,27,"2,305",25.6,9,,7,2,,4,0,0.35,,,0.27,,Matches,1993-1994
26,Stefan Beneking,de GER,GK,Freiburg,24,1969,1,1,90,1.0,0,,,,,0,0,0.00,,,,,Matches,1993-1994
27,Austin Berry,cr CRC,"DF,MF",Freiburg,22,1971,1,0,4,0.0,0,,0,0,,0,0,0.00,,,0.00,,Matches,1993-1994
28,Thomas Berthold,de GER,DF,Stuttgart,28,1964,31,31,"2,690",29.9,0,,0,0,,7,3,0.00,,,0.00,,Matches,1993-1994
29,Marinus Bester,de GER,FW,Werder Bremen,24,1969,1,0,11,0.1,0,,0,0,,0,0,0.00,,,0.00,,Matches,1993-1994
30,Marinus Bester,de GER,FW,Schalke 04,24,1969,5,1,158,1.8,0,,0,0,,0,0,0.00,,,0.00,,Matches,1993-1994
31,René Beuchel,de GER,"DF,MF",Dresden,20,1973,15,9,870,9.7,0,,0,0,,3,1,0.00,,,0.00,,Matches,1993-1994
32,Slaven Bilić,hr CRO,DF,Karlsruher,24,1968,26,20,"1,848",20.5,2,,2,0,,7,4,0.10,,,0.10,,Matches,1993-1994
33,Uwe Bindewald,de GER,DF,Eint Frankfurt,24,1968,13,9,944,10.5,0,,0,0,,2,0,0.00,,,0.00,,Matches,1993-1994
34,Manfred Binz,de GER,DF,Eint Frankfurt,27,1965,32,32,"2,880",32.0,3,,3,0,,3,0,0.09,,,0.09,,Matches,1993-1994
35,Andreas Bluhm,de GER,,M'Gladbach,19,1973,4,1,152,1.7,0,,0,0,,1,0,0.00,,,0.00,,Matches,1993-1994
36,Michael Bochtler,de GER,DF,Stuttgart,17,1975,4,2,198,2.2,0,,0,0,,0,0,0.00,,,0.00,,Matches,1993-1994
37,Manfred Bockenfeld,de GER,"DF,MF",Werder Bremen,33,1960,8,1,222,2.5,0,,0,0,,1,0,0.00,,,0.00,,Matches,1993-1994
38,Jörg Bode,de GER,MF,Hamburger SV,23,1969,1,0,43,0.5,0,,0,0,,0,0,0.00,,,0.00,,Matches,1993-1994
39,Marco Bode,de GER,"FW,MF",Werder Bremen,24,1969,32,32,"2,777",30.9,7,,7,0,,0,0,0.23,,,0.23,,Matches,1993-1994
40,Stefan Böger,de GER,"DF,MF",MSV Duisburg,27,1966,27,27,"2,365",26.3,1,,1,0,,7,1,0.04,,,0.04,,Matches,1993-1994
41,Rudolf Bommer,de GER,MF,Eint Frankfurt,35,1957,21,20,"1,682",18.7,1,,1,0,,2,0,0.05,,,0.05,,Matches,1993-1994
42,Heiko Bonan,de GER,"DF,MF",Karlsruher,27,1966,26,26,"2,192",24.4,2,,2,0,,3,2,0.08,,,0.08,,Matches,1993-1994
43,Rainer Borgmeier,de GER,FW,Schalke 04,27,1966,1,0,30,0.3,0,,0,0,,0,0,0.00,,,0.00,,Matches,1993-1994
44,Aleksandr Borodyuk,ru RUS,"FW,MF",Freiburg,30,1962,10,10,788,8.8,2,,2,0,,2,2,0.23,,,0.23,,Matches,1993-1994
45,Aleksandr Borodyuk,ru RUS,"FW,MF",Schalke 04,30,1962,9,8,739,8.2,1,,1,0,,0,0,0.12,,,0.12,,Matches,1993-1994
46,Ulrich Borowka,de GER,"DF,MF",Werder Bremen,31,1962,24,22,"1,848",20.5,1,,1,0,,3,0,0.05,,,0.05,,Matches,1993-1994
47,Rune Bratseth,no NOR,"DF,FW",Werder Bremen,32,1961,26,26,"2,242",24.9,1,,1,0,,3,0,0.04,,,0.04,,Matches,1993-1994
48,Martin Braun,de GER,MF,Freiburg,24,1968,32,32,"2,837",31.5,2,,1,1,,8,0,0.06,,,0.03,,Matches,1993-1994
49,Thomas Brdarić,de GER,FW,Stuttgart,18,1975,10,1,305,3.4,1,,1,0,,0,0,0.30,,,0.30,,Matches,1993-1994
50,Uwe Bredow,dd GDR,MF,VfB Leipzig,31,1961,18,10,964,10.7,1,,1,0,,3,0,0.09,,,0.09,,Matches,1993-1994
52,Andreas Brehme,de GER,"DF,MF",Kaiserslautern,32,1960,26,26,"2,276",25.3,3,,0,3,,8,0,0.12,,,0.00,,Matches,1993-1994
53,Thomas Brunner,de GER,"DF,FW",Nürnberg,30,1962,21,19,"1,588",17.6,0,,0,0,,6,0,0.00,,,0.00,,Matches,1993-1994
54,Guido Buchwald,de GER,"DF,MF",Stuttgart,32,1961,32,32,"2,880",32.0,2,,2,0,,4,0,0.06,,,0.06,,Matches,1993-1994
55,Andreas Buck,de GER,MF,Stuttgart,25,1967,20,20,"1,667",18.5,3,,3,0,,1,0,0.16,,,0.16,,Matches,1993-1994
56,Eduard Buckmaier,de GER,MF,Wattenscheid,27,1966,19,13,"1,271",14.1,1,,1,0,,3,0,0.07,,,0.07,,Matches,1993-1994
57,Holger Bühner,de GER,DF,VfB Leipzig,26,1966,3,2,194,2.2,0,,0,0,,0,0,0.00,,,0.00,,Matches,1993-1994
58,Damir Burić,hr CRO,"DF,MF",Freiburg,29,1964,19,13,"1,346",15.0,1,,1,0,,4,0,0.07,,,0.07,,Matches,1993-1994
59,Mike Büskens,de GER,MF,Schalke 04,25,1968,31,31,"2,790",31.0,1,,1,0,,5,0,0.03,,,0.03,,Matches,1993-1994
60,Sergio Bustos,ar ARG,MF,Nürnberg,20,1972,2,0,22,0.2,0,,0,0,,0,0,0.00,,,0.00,,Matches,1993-1994
61,Rodolfo Cardoso,ar ARG,MF,Freiburg,24,1968,33,33,"2,814",31.3,12,,7,5,,5,0,0.38,,,0.22,,Matches,1993-1994
62,Eberhard Carl,de GER,FW,Karlsruher,28,1965,22,19,"1,657",18.4,4,,4,0,,3,0,0.22,,,0.22,,Matches,1993-1994
