,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,Season
0,Otto Addo,gh GHA,MF,Dortmund,28,1975,6,5,435,4.8,0,1,0,0,0,1,0,0.00,0.21,0.21,0.00,0.21,Matches,2003-2004
1,Godfried Aduobe,gh GHA,MF,Hansa Rostock,27,1975,12,8,710,7.9,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches,2003-2004
2,Victor Agali,ng NGA,FW,Schalke 04,24,1978,12,8,784,8.7,3,0,3,0,0,5,0,0.34,0.00,0.34,0.34,0.34,Matches,2003-2004
3,Paul Agostino,au AUS,FW,1860 Munich,28,1975,22,9,"1,028",11.4,5,0,5,0,0,1,0,0.44,0.00,0.44,0.44,0.44,Matches,2003-2004
4,Lawrence Aidoo,gh GHA,"FW,MF",M'Gladbach,21,1982,5,1,193,2.1,0,1,0,0,0,0,0,0.00,0.47,0.47,0.00,0.47,Matches,2003-2004
5,Alcides,br BRA,DF,Schalke 04,18,1985,6,5,374,4.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2003-2004
6,Halil Altıntop,tr TUR,"FW,MF",Kaiserslautern,20,1982,27,11,"1,292",14.4,2,0,2,0,0,2,0,0.14,0.00,0.14,0.14,0.14,Matches,2003-2004
7,Hamit Altıntop,tr TUR,"DF,MF",Schalke 04,20,1982,30,27,"2,494",27.7,6,5,6,0,0,5,0,0.22,0.18,0.40,0.22,0.40,Matches,2003-2004
8,Ioannis Amanatidis,gr GRE,"FW,MF",Eint Frankfurt,21,1981,15,15,"1,281",14.2,6,0,6,0,0,2,1,0.42,0.00,0.42,0.42,0.42,Matches,2003-2004
9,Ioannis Amanatidis,gr GRE,"FW,MF",Stuttgart,21,1981,8,1,176,2.0,1,0,1,0,0,1,0,0.51,0.00,0.51,0.51,0.51,Matches,2003-2004
10,Márcio Amoroso,br BRA,FW,Dortmund,29,1974,4,4,329,3.7,4,0,3,1,1,1,0,1.09,0.00,1.09,0.82,0.82,Matches,2003-2004
11,Markus Anfang,de GER,MF,Kaiserslautern,29,1974,8,4,439,4.9,0,1,0,0,0,2,0,0.00,0.21,0.21,0.00,0.21,Matches,2003-2004
12,Roda Antar,lb LIB,MF,Freiburg,22,1980,17,17,"1,422",15.8,7,1,7,0,0,1,1,0.44,0.06,0.51,0.44,0.51,Matches,2003-2004
13,Magnus Arvidsson,se SWE,FW,Hansa Rostock,30,1973,24,13,"1,167",13.0,6,3,6,0,0,1,0,0.46,0.23,0.69,0.46,0.69,Matches,2003-2004
14,Gerald Asamoah,de GER,"FW,MF",Schalke 04,24,1978,24,22,"1,687",18.7,4,2,4,0,0,3,1,0.21,0.11,0.32,0.21,0.32,Matches,2003-2004
15,Slađan Ašanin,hr CRO,DF,M'Gladbach,31,1971,27,27,"2,329",25.9,1,0,1,0,0,2,0,0.04,0.00,0.04,0.04,0.04,Matches,2003-2004
16,Marko Babić,hr CRO,"DF,MF",Leverkusen,22,1981,32,29,"2,589",28.8,6,8,6,0,0,7,0,0.21,0.28,0.49,0.21,0.49,Matches,2003-2004
17,Alexander Bade,de GER,GK,Köln,32,1970,3,2,222,2.5,0,,0,0,,0,0,0.00,,,0.00,,Matches,2003-2004
18,Fernando Baiano,br BRA,FW,Wolfsburg,24,1979,17,13,"1,039",11.5,11,2,11,0,0,2,0,0.95,0.17,1.13,0.95,1.13,Matches,2003-2004
19,Daniel Baier,de GER,MF,1860 Munich,19,1984,11,4,487,5.4,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,2003-2004
20,Zlatan Bajramović,ba BIH,MF,Freiburg,23,1979,26,21,"1,892",21.0,6,3,6,0,0,5,1,0.29,0.14,0.43,0.29,0.43,Matches,2003-2004
21,Hanno Balitsch,de GER,MF,Leverkusen,22,1981,26,16,"1,564",17.4,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Matches,2003-2004
22,Michael Ballack,de GER,MF,Bayern Munich,26,1976,28,28,"2,470",27.4,7,12,7,0,1,9,2,0.26,0.44,0.69,0.26,0.69,Matches,2003-2004
23,Ivica Banović,hr CRO,MF,Werder Bremen,22,1980,3,0,42,0.5,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,2003-2004
