,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches,Season
24,Yann Aurel Bisseck,de GER,"DF,FW",Köln,16,2000,3,1,156,1.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,2017-2018
26,Holger Badstuber,de GER,"DF,MF",Stuttgart,28,1989,27,24,"2,173",24.1,2,0,2,0,0,2,0,0.08,0.00,0.08,0.08,0.08,1.3,1.3,0.0,1.3,0.05,0.00,0.05,0.05,0.05,Matches,2017-2018
27,Daniel Baier,de GER,MF,Augsburg,33,1984,29,29,"2,538",28.2,0,2,0,0,0,6,0,0.00,0.07,0.07,0.00,0.07,0.8,0.8,2.0,2.8,0.03,0.07,0.10,0.03,0.10,Matches,2017-2018
28,Leon Bailey,jm JAM,"FW,DF",Leverkusen,19,1997,30,25,"2,215",24.6,9,6,9,0,0,2,0,0.37,0.24,0.61,0.37,0.61,6.7,6.7,5.8,12.5,0.27,0.23,0.51,0.27,0.51,Matches,2017-2018
29,Marvin Bakalorz,de GER,MF,Hannover 96,27,1989,28,23,"2,055",22.8,0,1,0,0,0,4,0,0.00,0.04,0.04,0.00,0.04,1.5,1.5,1.8,3.3,0.07,0.08,0.15,0.07,0.15,Matches,2017-2018
30,Ridle Baku,de GER,MF,Mainz 05,19,1998,3,3,233,2.6,2,0,2,0,0,1,0,0.77,0.00,0.77,0.77,0.77,0.8,0.8,0.2,1.0,0.30,0.08,0.39,0.30,0.39,Matches,2017-2018
31,Leon Balogun,ng NGA,DF,Mainz 05,29,1988,14,14,"1,173",13.0,0,0,0,0,0,5,1,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.0,0.3,0.02,0.00,0.02,0.02,0.02,Matches,2017-2018
32,Philipp Bargfrede,de GER,MF,Werder Bremen,28,1989,27,23,"1,859",20.7,1,1,1,0,0,5,0,0.05,0.05,0.10,0.05,0.10,0.5,0.5,0.7,1.2,0.02,0.04,0.06,0.02,0.06,Matches,2017-2018
33,Aymen Barkok,ma MAR,"MF,FW",Eint Frankfurt,19,1998,9,2,314,3.5,0,1,0,0,0,1,0,0.00,0.29,0.29,0.00,0.29,0.1,0.1,0.6,0.7,0.03,0.16,0.19,0.03,0.19,Matches,2017-2018
34,Fin Bartels,de GER,FW,Werder Bremen,30,1987,14,14,"1,121",12.5,2,3,2,0,0,0,0,0.16,0.24,0.40,0.16,0.40,3.0,3.0,3.5,6.5,0.24,0.28,0.52,0.24,0.52,Matches,2017-2018
35,Marc Bartra,es ESP,DF,Dortmund,26,1991,12,9,807,9.0,2,1,2,0,0,1,0,0.22,0.11,0.33,0.22,0.33,0.4,0.4,0.9,1.3,0.04,0.10,0.14,0.04,0.14,Matches,2017-2018
36,Michy Batshuayi,be BEL,FW,Dortmund,23,1993,10,9,839,9.3,7,1,7,0,0,2,0,0.75,0.11,0.86,0.75,0.86,5.9,5.9,0.5,6.4,0.64,0.05,0.68,0.64,0.68,Matches,2017-2018
37,Robert Bauer,de GER,DF,Werder Bremen,22,1995,16,12,956,10.6,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.2,0.00,0.01,0.02,0.00,0.02,Matches,2017-2018
38,Oliver Baumann,de GER,GK,Hoffenheim,27,1990,34,34,"3,060",34.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,2017-2018
39,Timo Baumgartl,de GER,DF,Stuttgart,21,1996,29,29,"2,610",29.0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.6,0.6,0.4,1.0,0.02,0.01,0.03,0.02,0.03,Matches,2017-2018
40,Julian Baumgartlinger,at AUT,"MF,DF",Leverkusen,29,1988,22,17,"1,393",15.5,1,0,1,0,0,3,0,0.06,0.00,0.06,0.06,0.06,0.9,0.9,0.5,1.4,0.06,0.03,0.09,0.06,0.09,Matches,2017-2018
41,Noah Joel Sarenren Bazee,ng NGA,"FW,MF",Hannover 96,20,1996,7,0,118,1.3,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,2017-2018
42,Riechedly Bazoer,nl NED,MF,Wolfsburg,20,1996,13,6,592,6.6,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.1,0.4,0.05,0.01,0.06,0.05,0.06,Matches,2017-2018
43,Ihlas Bebou,tg TOG,"MF,FW",Hannover 96,23,1994,30,20,"2,140",23.8,5,2,5,0,0,3,0,0.21,0.08,0.29,0.21,0.29,6.0,6.0,5.8,11.7,0.25,0.24,0.49,0.25,0.49,Matches,2017-2018
44,Andreas Beck,de GER,"DF,MF",Stuttgart,30,1987,23,22,"1,927",21.4,1,1,1,0,0,5,0,0.05,0.05,0.09,0.05,0.09,0.3,0.3,1.5,1.7,0.01,0.07,0.08,0.01,0.08,Matches,2017-2018
45,Ishak Belfodil,dz ALG,FW,Werder Bremen,25,1992,26,13,"1,350",15.0,4,1,4,0,0,1,0,0.27,0.07,0.33,0.27,0.33,4.9,4.9,2.1,7.0,0.32,0.14,0.47,0.32,0.47,Matches,2017-2018
46,Stefan Bell,de GER,DF,Mainz 05,25,1991,25,24,"2,177",24.2,1,0,1,0,0,8,0,0.04,0.00,0.04,0.04,0.04,1.3,1.3,0.7,1.9,0.05,0.03,0.08,0.05,0.08,Matches,2017-2018
47,Karim Bellarabi,de GER,"FW,MF",Leverkusen,27,1990,24,13,"1,146",12.7,1,3,1,0,0,2,0,0.08,0.24,0.31,0.08,0.31,3.3,3.3,4.8,8.0,0.26,0.37,0.63,0.26,0.63,Matches,2017-2018
48,Lars Bender,de GER,"DF,MF",Leverkusen,28,1989,21,20,"1,595",17.7,2,4,2,0,0,5,0,0.11,0.23,0.34,0.11,0.34,1.7,1.7,3.1,4.8,0.09,0.18,0.27,0.09,0.27,Matches,2017-2018
49,Sven Bender,de GER,DF,Leverkusen,28,1989,29,29,"2,345",26.1,2,0,2,0,0,0,0,0.08,0.00,0.08,0.08,0.08,1.7,1.7,0.4,2.1,0.07,0.02,0.08,0.07,0.08,Matches,2017-2018
50,László Bénes,sk SVK,MF,M'Gladbach,19,1997,2,0,38,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.09,0.19,0.27,0.09,0.27,Matches,2017-2018
52,Marcel Benger,de GER,MF,M'Gladbach,19,1998,1,0,2,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,2017-2018
53,Charlison Benschop,cw CUW,"MF,FW",Hannover 96,27,1989,7,2,184,2.0,1,0,1,0,0,0,0,0.49,0.00,0.49,0.49,0.49,0.4,0.4,0.1,0.5,0.22,0.03,0.25,0.22,0.25,Matches,2017-2018
54,Nabil Bentaleb,dz ALG,MF,Schalke 04,22,1994,16,12,"1,011",11.2,4,3,0,4,4,3,1,0.36,0.27,0.62,0.00,0.27,3.4,0.4,0.7,1.1,0.30,0.06,0.36,0.03,0.09,Matches,2017-2018
55,Emil Berggreen,dk DEN,FW,Mainz 05,24,1993,14,6,669,7.4,4,2,4,0,0,2,0,0.54,0.27,0.81,0.54,0.81,2.0,2.0,0.4,2.4,0.27,0.06,0.32,0.27,0.32,Matches,2017-2018
56,Bernardo,br BRA,DF,RB Leipzig,22,1995,18,15,"1,350",15.0,1,1,1,0,0,2,0,0.07,0.07,0.13,0.07,0.13,0.6,0.6,0.8,1.4,0.04,0.06,0.09,0.04,0.09,Matches,2017-2018
57,Juan Bernat,es ESP,"DF,FW",Bayern Munich,24,1993,11,11,888,9.9,0,2,0,0,0,1,0,0.00,0.20,0.20,0.00,0.20,0.7,0.7,1.3,2.1,0.08,0.13,0.21,0.08,0.21,Matches,2017-2018
58,Ermin Bičakčić,ba BIH,DF,Hoffenheim,27,1990,9,7,548,6.1,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.0,0.4,0.06,0.01,0.07,0.06,0.07,Matches,2017-2018
59,Leonardo Bittencourt,de GER,"MF,FW",Köln,23,1993,22,17,"1,613",17.9,5,3,5,0,0,4,0,0.28,0.17,0.45,0.28,0.45,3.4,3.4,2.6,6.0,0.19,0.15,0.33,0.19,0.33,Matches,2017-2018
60,Pablo de Blasis,ar ARG,"FW,MF",Mainz 05,29,1988,25,20,"1,652",18.4,5,2,2,3,3,2,0,0.27,0.11,0.38,0.11,0.22,4.5,2.2,1.6,3.9,0.25,0.09,0.33,0.12,0.21,Matches,2017-2018
61,Danny Blum,de GER,"FW,DF",Eint Frankfurt,26,1991,2,0,29,0.3,1,0,1,0,0,0,0,3.10,0.00,3.10,3.10,3.10,0.8,0.8,0.0,0.8,2.34,0.00,2.34,2.34,2.34,Matches,2017-2018
62,Jérôme Boateng,de GER,DF,Bayern Munich,28,1988,19,19,"1,640",18.2,1,2,1,0,0,4,0,0.05,0.11,0.16,0.05,0.16,0.9,0.9,1.2,2.2,0.05,0.07,0.12,0.05,0.12,Matches,2017-2018
63,Kevin-Prince Boateng,gh GHA,"MF,FW",Eint Frankfurt,30,1987,31,27,"2,357",26.2,6,1,6,0,0,4,0,0.23,0.04,0.27,0.23,0.27,4.5,4.5,0.8,5.3,0.17,0.03,0.20,0.17,0.20,Matches,2017-2018
64,Raúl Bobadilla,py PAR,"FW,MF",M'Gladbach,30,1987,13,5,449,5.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,1.7,1.7,0.5,2.2,0.33,0.11,0.44,0.33,0.44,Matches,2017-2018
65,Julian Brandt,de GER,"FW,MF",Leverkusen,21,1996,34,26,"2,326",25.8,9,3,9,0,0,0,0,0.35,0.12,0.46,0.35,0.46,6.0,6.0,6.1,12.1,0.23,0.24,0.47,0.23,0.47,Matches,2017-2018
66,Josip Brekalo,hr CRO,"MF,FW",Stuttgart,19,1998,14,7,726,8.1,1,1,1,0,0,1,0,0.12,0.12,0.25,0.12,0.25,1.3,1.3,1.2,2.5,0.15,0.15,0.31,0.15,0.31,Matches,2017-2018
67,Josip Brekalo,hr CRO,"FW,MF",Wolfsburg,19,1998,13,10,869,9.7,3,2,3,0,0,2,0,0.31,0.21,0.52,0.31,0.52,1.8,1.8,1.0,2.8,0.20,0.11,0.30,0.19,0.30,Matches,2017-2018
68,John Brooks,us USA,DF,Wolfsburg,24,1993,9,9,727,8.1,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,2017-2018
69,Daniel Brosinski,de GER,"DF,MF",Mainz 05,29,1988,29,28,"2,500",27.8,1,5,0,1,1,0,0,0.04,0.18,0.22,0.00,0.18,1.7,0.9,3.0,3.9,0.06,0.11,0.17,0.03,0.14,Matches,2017-2018
70,Bruma,pt POR,"MF,FW",RB Leipzig,22,1994,28,16,"1,611",17.9,4,2,4,0,0,0,0,0.22,0.11,0.34,0.22,0.34,2.7,2.7,3.5,6.2,0.15,0.20,0.35,0.15,0.35,Matches,2017-2018
71,Jeffrey Bruma,nl NED,DF,Wolfsburg,25,1991,11,11,990,11.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.1,0.3,0.02,0.01,0.02,0.02,0.02,Matches,2017-2018
72,Jacob Bruun Larsen,dk DEN,"MF,DF",Stuttgart,18,1998,4,1,107,1.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,2017-2018
