,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,Season
35,Steffen Baumgart,de GER,FW,Energie Cottbus,35,1972,8,2,264,2.9,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,2007-2008
36,Michael Beauchamp,au AUS,DF,Nürnberg,26,1981,12,10,924,10.3,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,2007-2008
37,Tommy Bechmann,dk DEN,"FW,MF",Bochum,25,1981,20,9,954,10.6,5,0,5,0,0,1,0,0.47,0.00,0.47,0.47,0.47,Matches,2007-2008
38,Andreas Beck,de GER,"DF,MF",Stuttgart,20,1987,18,12,"1,073",11.9,1,1,1,0,0,2,0,0.08,0.08,0.17,0.08,0.17,Matches,2007-2008
39,Stefan Beinlich,de GER,MF,Hansa Rostock,35,1972,9,7,540,6.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,2007-2008
40,Änis Ben-Hatira,tn TUN,MF,Hamburger SV,19,1988,3,0,115,1.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2007-2008
41,Diego Benaglio,ch SUI,GK,Wolfsburg,23,1983,17,17,"1,530",17.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,2007-2008
42,Collin Benjamin,na NAM,"DF,MF",Hamburger SV,28,1978,17,12,"1,080",12.0,1,0,1,0,0,0,0,0.08,0.00,0.08,0.08,0.08,Matches,2007-2008
43,Leon Benko,hr CRO,FW,Nürnberg,23,1983,3,0,33,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2007-2008
44,Vinícius Bergantin,br BRA,DF,Hannover 96,27,1980,28,27,"2,422",26.9,1,0,1,0,0,4,0,0.04,0.00,0.04,0.04,0.04,Matches,2007-2008
45,Steve von Bergen,ch SUI,DF,Hertha BSC,24,1983,25,21,"1,975",21.9,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,2007-2008
46,Sven Beuckert,de GER,GK,MSV Duisburg,33,1973,3,3,270,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2007-2008
47,Pascal Bieler,de GER,DF,Hertha BSC,21,1986,6,1,139,1.5,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,2007-2008
48,Ferhat Bıkmaz,tr TUR,"DF,MF",Hannover 96,19,1988,1,0,15,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2007-2008
49,Jaromír Blažek,cz CZE,GK,Nürnberg,34,1972,25,25,"2,217",24.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2007-2008
50,Isaac Boakye,gh GHA,FW,Wolfsburg,25,1981,2,1,98,1.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2007-2008
