,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches,Season
0,Dickson Abiama,ng NGA,FW,Greuther Fürth,23-168,1998,21,5,708,7.9,0,1,0,0,0,3,0,0.00,0.13,0.13,0.00,0.13,2.2,2.2,1.1,3.3,0.28,0.14,0.42,0.28,0.42,Matches,2021-2022
1,Ragnar Ache,de GER,"FW,MF",Eint Frankfurt,23-266,1998,11,0,175,1.9,0,1,0,0,0,0,0,0.00,0.51,0.51,0.00,0.51,0.4,0.4,0.3,0.7,0.23,0.14,0.37,0.23,0.37,Matches,2021-2022
2,Tyler Adams,us USA,MF,RB Leipzig,23-065,1999,21,11,"1,223",13.6,0,1,0,0,0,3,0,0.00,0.07,0.07,0.00,0.07,0.2,0.2,0.8,1.0,0.01,0.06,0.07,0.01,0.07,Matches,2021-2022
3,Sargis Adamyan,am ARM,"FW,MF",Hoffenheim,28-332,1993,13,2,331,3.7,1,0,1,0,0,0,0,0.27,0.00,0.27,0.27,0.27,0.5,0.5,0.7,1.2,0.14,0.19,0.32,0.14,0.32,Matches,2021-2022
4,Amine Adli,fr FRA,"FW,MF",Leverkusen,21-345,2000,25,13,"1,256",14.0,3,2,3,0,0,3,0,0.21,0.14,0.36,0.21,0.36,4.5,4.5,1.8,6.3,0.32,0.13,0.45,0.32,0.45,Matches,2021-2022
5,Naouirou Ahamada,fr FRA,MF,Stuttgart,20-022,2002,3,0,61,0.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,2021-2022
6,Manuel Akanji,ch SUI,DF,Dortmund,26-275,1995,22,21,"1,901",21.1,1,0,1,0,0,2,0,0.05,0.00,0.05,0.05,0.05,1.6,1.6,0.1,1.8,0.08,0.01,0.08,0.08,0.08,Matches,2021-2022
7,Kevin Akpoguma,ng NGA,DF,Hoffenheim,27-001,1995,23,16,"1,309",14.5,2,2,2,0,0,5,0,0.14,0.14,0.28,0.14,0.28,1.2,1.2,2.0,3.3,0.09,0.14,0.23,0.09,0.23,Matches,2021-2022
8,Lucas Alario,ar ARG,FW,Leverkusen,29-194,1992,23,4,556,6.2,4,0,4,0,1,2,0,0.65,0.00,0.65,0.65,0.65,4.4,3.6,1.0,4.6,0.71,0.16,0.87,0.59,0.75,Matches,2021-2022
9,Nadiem Amiri,de GER,"MF,FW",Leverkusen,25-175,1996,13,3,369,4.1,1,0,1,0,0,0,0,0.24,0.00,0.24,0.24,0.24,0.5,0.5,0.2,0.6,0.11,0.05,0.16,0.11,0.16,Matches,2021-2022
10,Sebastian Andersson,se SWE,FW,Köln,30-279,1991,26,13,"1,257",14.0,3,1,3,0,0,3,0,0.21,0.07,0.29,0.21,0.29,4.7,4.7,1.3,6.0,0.34,0.09,0.43,0.34,0.43,Matches,2021-2022
11,Andrés Andrade Cedeño,pa PAN,DF,Arminia,23-186,1998,16,12,"1,045",11.6,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.2,0.5,0.02,0.02,0.04,0.02,0.04,Matches,2021-2022
12,Fredrik André Bjørkan,no NOR,DF,Hertha BSC,23-242,1998,5,2,252,2.8,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.01,0.01,0.00,0.01,Matches,2021-2022
13,Robert Andrich,de GER,MF,Leverkusen,27-210,1994,23,19,"1,633",18.1,4,2,4,0,0,5,1,0.22,0.11,0.33,0.22,0.33,2.9,2.9,0.8,3.8,0.16,0.05,0.21,0.16,0.21,Matches,2021-2022
14,Angeliño,es ESP,DF,RB Leipzig,25-106,1997,26,23,"2,033",22.6,2,5,2,0,0,3,0,0.09,0.22,0.31,0.09,0.31,1.4,1.4,5.2,6.6,0.06,0.23,0.29,0.06,0.29,Matches,2021-2022
15,Waldemar Anton,de GER,DF,Stuttgart,25-274,1996,25,25,"2,235",24.8,2,1,2,0,0,6,1,0.08,0.04,0.12,0.08,0.12,1.5,1.5,1.4,3.0,0.06,0.06,0.12,0.06,0.12,Matches,2021-2022
16,Christopher Antwi-Adjei,gh GHA,"FW,MF",Bochum,28-072,1994,24,12,"1,107",12.3,1,1,1,0,0,2,0,0.08,0.08,0.16,0.08,0.16,2.5,2.5,0.8,3.3,0.20,0.06,0.26,0.20,0.26,Matches,2021-2022
17,Charles Aránguiz,cl CHI,MF,Leverkusen,33-003,1989,22,13,"1,287",14.3,1,2,1,0,0,2,0,0.07,0.14,0.21,0.07,0.21,1.4,1.4,0.7,2.2,0.10,0.05,0.15,0.10,0.15,Matches,2021-2022
18,Maximilian Arnold,de GER,MF,Wolfsburg,27-328,1994,30,30,"2,634",29.3,4,1,4,0,0,4,0,0.14,0.03,0.17,0.14,0.17,1.4,1.4,4.1,5.4,0.05,0.14,0.19,0.05,0.19,Matches,2021-2022
19,Takuma Asano,jp JPN,"FW,MF",Bochum,27-161,1994,23,16,"1,285",14.3,3,1,3,0,0,1,0,0.21,0.07,0.28,0.21,0.28,3.0,3.0,1.8,4.8,0.21,0.13,0.34,0.21,0.34,Matches,2021-2022
20,Santiago Ascacíbar,ar ARG,MF,Hertha BSC,25-054,1997,24,23,"2,018",22.4,0,1,0,0,0,3,0,0.00,0.04,0.04,0.00,0.04,0.9,0.9,0.3,1.2,0.04,0.01,0.05,0.04,0.05,Matches,2021-2022
21,Fisnik Asllani,xk KVX,"MF,FW",Hoffenheim,19-255,2002,2,0,9,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,2021-2022
22,Simon Asta,de GER,DF,Greuther Fürth,21-085,2001,9,5,443,4.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.1,0.01,0.00,0.01,0.01,0.01,Matches,2021-2022
23,Taiwo Awoniyi,ng NGA,FW,Union Berlin,24-251,1997,27,25,"1,868",20.8,13,0,12,1,1,0,0,0.63,0.00,0.63,0.58,0.58,11.7,11.0,1.5,12.5,0.57,0.07,0.64,0.53,0.60,Matches,2021-2022
24,Sardar Azmoun,ir IRN,FW,Leverkusen,27-109,1995,5,1,130,1.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.8,0.8,0.0,0.8,0.53,0.02,0.54,0.53,0.54,Matches,2021-2022
26,Mitchel Bakker,nl NED,DF,Leverkusen,21-304,2000,21,18,"1,654",18.4,0,3,0,0,0,6,0,0.00,0.16,0.16,0.00,0.16,0.5,0.5,0.7,1.2,0.03,0.04,0.06,0.03,0.06,Matches,2021-2022
27,Ridle Baku,de GER,"DF,FW",Wolfsburg,24-012,1998,30,24,"2,103",23.4,3,4,3,0,0,4,0,0.13,0.17,0.30,0.13,0.30,2.1,2.1,4.2,6.3,0.09,0.18,0.27,0.09,0.27,Matches,2021-2022
28,Aymen Barkok,ma MAR,"FW,MF",Eint Frankfurt,23-334,1998,4,1,103,1.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,2021-2022
29,Leandro Barreiro Martins,lu LUX,MF,Mainz 05,22-107,2000,27,17,"1,521",16.9,0,2,0,0,0,3,0,0.00,0.12,0.12,0.00,0.12,2.1,2.1,1.7,3.7,0.12,0.10,0.22,0.12,0.22,Matches,2021-2022
30,Jacob Barrett Laursen,dk DEN,DF,Arminia,27-154,1994,21,17,"1,395",15.5,2,0,2,0,0,1,0,0.13,0.00,0.13,0.13,0.13,0.3,0.3,0.5,0.7,0.02,0.03,0.05,0.02,0.05,Matches,2021-2022
31,Abdourahmane Barry,fr FRA,DF,Greuther Fürth,22-058,2000,8,1,210,2.3,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.2,0.02,0.05,0.07,0.02,0.07,Matches,2021-2022
32,Maximilian Bauer,de GER,DF,Greuther Fürth,22-070,2000,24,18,"1,652",18.4,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.0,0.3,0.02,0.00,0.02,0.02,0.02,Matches,2021-2022
33,Oliver Baumann,de GER,GK,Hoffenheim,31-322,1990,29,29,"2,610",29.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,2021-2022
34,Timo Baumgartl,de GER,DF,Union Berlin,26-047,1996,25,25,"2,166",24.1,1,2,1,0,0,5,0,0.04,0.08,0.12,0.04,0.12,1.4,1.4,0.5,1.9,0.06,0.02,0.08,0.06,0.08,Matches,2021-2022
35,Julian Baumgartlinger,at AUT,MF,Leverkusen,34-108,1988,2,0,9,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,2021-2022
36,Christoph Baumgartner,at AUT,"MF,FW",Hoffenheim,22-262,1999,26,20,"1,666",18.5,6,1,6,0,0,5,0,0.32,0.05,0.38,0.32,0.38,6.6,6.6,2.8,9.4,0.36,0.15,0.51,0.36,0.51,Matches,2021-2022
37,Noah Joel Sarenren Bazee,ng NGA,"MF,FW",Augsburg,25-242,1996,14,1,241,2.7,1,0,1,0,0,1,0,0.37,0.00,0.37,0.37,0.37,0.7,0.7,0.2,0.9,0.25,0.08,0.33,0.25,0.33,Matches,2021-2022
38,Ihlas Bebou,tg TOG,"FW,DF",Hoffenheim,27-362,1994,25,23,"1,877",20.9,7,2,7,0,0,0,0,0.34,0.10,0.43,0.34,0.43,8.1,8.1,1.5,9.6,0.39,0.07,0.46,0.39,0.46,Matches,2021-2022
39,Sheraldo Becker,sr SUR,"FW,MF",Union Berlin,27-070,1995,24,18,"1,485",16.5,3,4,3,0,0,4,0,0.18,0.24,0.42,0.18,0.42,2.7,2.7,6.0,8.6,0.16,0.36,0.52,0.16,0.52,Matches,2021-2022
40,Kevin Behrens,de GER,FW,Union Berlin,31-076,1991,20,2,437,4.9,1,2,1,0,0,0,0,0.21,0.41,0.62,0.21,0.62,1.5,1.5,1.6,3.2,0.31,0.34,0.65,0.31,0.65,Matches,2021-2022
41,Ishak Belfodil,dz ALG,FW,Hertha BSC,30-098,1992,23,16,"1,495",16.6,3,2,3,0,0,1,0,0.18,0.12,0.30,0.18,0.30,3.1,3.1,1.6,4.7,0.19,0.10,0.29,0.19,0.29,Matches,2021-2022
42,Stefan Bell,de GER,DF,Mainz 05,30-239,1991,29,29,"2,504",27.8,1,0,1,0,0,8,0,0.04,0.00,0.04,0.04,0.04,1.4,1.4,1.5,2.9,0.05,0.05,0.10,0.05,0.10,Matches,2021-2022
43,Armel Bella Kotchap,de GER,DF,Bochum,20-130,2001,20,18,"1,614",17.9,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.3,0.7,0.02,0.02,0.04,0.02,0.04,Matches,2021-2022
44,Karim Bellarabi,de GER,"FW,DF",Leverkusen,32-012,1990,16,9,683,7.6,3,2,3,0,0,2,0,0.40,0.26,0.66,0.40,0.66,2.2,2.2,1.2,3.4,0.29,0.16,0.45,0.29,0.45,Matches,2021-2022
45,Jude Bellingham,eng ENG,MF,Dortmund,18-295,2003,28,28,"2,430",27.0,3,7,3,0,0,8,0,0.11,0.26,0.37,0.11,0.37,4.0,4.0,3.9,7.8,0.15,0.14,0.29,0.15,0.29,Matches,2021-2022
46,George Bello,us USA,DF,Arminia,20-088,2002,7,2,311,3.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.3,0.3,0.01,0.09,0.09,0.01,0.09,Matches,2021-2022
47,László Bénes,sk SVK,MF,M'Gladbach,24-223,1997,13,2,246,2.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.7,0.7,0.3,1.1,0.26,0.13,0.39,0.26,0.39,Matches,2021-2022
48,Keanan Bennetts,eng ENG,"FW,DF",M'Gladbach,23-042,1999,4,0,50,0.6,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.07,0.00,0.07,0.07,0.07,Matches,2021-2022
49,Ramy Bensebaini,dz ALG,DF,M'Gladbach,27-004,1995,19,18,"1,660",18.4,3,1,2,1,1,5,0,0.16,0.05,0.22,0.11,0.16,2.9,2.2,1.0,3.1,0.16,0.05,0.21,0.12,0.17,Matches,2021-2022
