club_name,player_name,age,position,club_involved_name,fee,transfer_movement,transfer_period,fee_cleaned,league_name,year,season
Bayern Munich,Valérien Ismaël,29,Centre-Back,Werder Bremen,€8.50m,in,Summer,8.5,1 Bundesliga,2005,2005/2006
Bayern Munich,Ali Karimi,26,Attacking Midfield,Al-Ahli (UAE),free transfer,in,Summer,NA,1 Bundesliga,2005,2005/2006
Bayern Munich,Andreas Ottl,20,Defensive Midfield,FC Bayern II,-,in,Summer,0,1 Bundesliga,2005,2005/2006
Bayern Munich,Bernd Dreher,38,Goalkeeper,Career break,-,in,Summer,0,1 Bundesliga,2005,2005/2006
Bayern Munich,Philipp Lahm,21,Right-Back,VfB Stuttgart,"End of loanJun 30, 2005",in,Summer,0,1 Bundesliga,2005,2005/2006
Bayern Munich,Torsten Frings,28,Defensive Midfield,Werder Bremen,€5.00m,out,Summer,5,1 Bundesliga,2005,2005/2006
Bayern Munich,Vahid Hashemian,28,Centre-Forward,Hannover 96,€1.30m,out,Summer,1.3,1 Bundesliga,2005,2005/2006
Bayern Munich,Tobias Rau,23,Left-Back,Arm. Bielefeld,€750Th.,out,Summer,0.75,1 Bundesliga,2005,2005/2006
Bayern Munich,Robert Kovac,31,Centre-Back,Juventus,free transfer,out,Summer,NA,1 Bundesliga,2005,2005/2006
Bayern Munich,Alexander Zickler,31,Centre-Forward,RB Salzburg,free transfer,out,Summer,NA,1 Bundesliga,2005,2005/2006
Bayern Munich,Thomas Linke,35,Centre-Back,RB Salzburg,free transfer,out,Summer,NA,1 Bundesliga,2005,2005/2006
Bayern Munich,Samuel Kuffour,28,Centre-Back,AS Roma,free transfer,out,Summer,NA,1 Bundesliga,2005,2005/2006
Borussia Dortmund,Ebi Smolarek,24,Centre-Forward,Feyenoord,€750Th.,in,Summer,0.75,1 Bundesliga,2005,2005/2006
Borussia Dortmund,Delron Buckley,27,Left Winger,Arm. Bielefeld,€425Th.,in,Summer,0.425,1 Bundesliga,2005,2005/2006
Borussia Dortmund,Dennis Gentenaar,29,Goalkeeper,NEC Nijmegen,€150Th.,in,Summer,0.15,1 Bundesliga,2005,2005/2006
