,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,Season
37,Daniele Balli,it ITA,GK,Salernitana,30,1967,31,31,"2,725",30.3,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,1998-1999
38,Marco Ballotta,it ITA,GK,Lazio,34,1964,3,0,117,1.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,1998-1999
39,Alessio Bandieri,it ITA,GK,Venezia,24,1974,2,1,111,1.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,1998-1999
40,Roberto Baronio,it ITA,MF,Lazio,20,1977,7,2,278,3.1,0,2,0,0,0,4,0,0.00,0.65,0.65,0.00,0.65,Matches,1998-1999
41,Gustavo Bartelt,ar ARG,FW,Roma,23,1974,12,1,159,1.8,0,1,0,0,0,0,0,0.00,0.57,0.57,0.00,0.57,Matches,1998-1999
42,Gabriel Batistuta,ar ARG,FW,Fiorentina,29,1969,28,28,"2,472",27.5,21,3,20,1,2,4,1,0.76,0.11,0.87,0.73,0.84,Matches,1998-1999
43,Massimo Beghetto,it ITA,DF,Vicenza,29,1968,22,18,"1,500",16.7,1,0,1,0,0,2,1,0.06,0.00,0.06,0.06,0.06,Matches,1998-1999
44,Emilio Belmonte,it ITA,FW,Salernitana,26,1972,9,9,645,7.2,1,0,1,0,0,1,0,0.14,0.00,0.14,0.14,0.14,Matches,1998-1999
45,Davide Belotti,it ITA,DF,Vicenza,26,1972,7,6,513,5.7,0,,0,0,,2,1,0.00,,,0.00,,Matches,1998-1999
46,Antonio Benarrivo,it ITA,DF,Parma,29,1968,25,25,"2,047",22.7,0,1,0,0,0,7,0,0.00,0.04,0.04,0.00,0.04,Matches,1998-1999
47,Giuseppe Bergomi,it ITA,DF,Inter,34,1963,23,23,"1,997",22.2,1,0,1,0,0,7,0,0.05,0.00,0.05,0.05,0.05,Matches,1998-1999
48,Antonino Bernardini,it ITA,MF,Salernitana,24,1974,22,19,"1,566",17.4,1,0,0,1,2,1,0,0.06,0.00,0.06,0.00,0.00,Matches,1998-1999
49,Daniele Berretta,it ITA,MF,Cagliari,26,1972,32,31,"2,721",30.2,6,3,6,0,0,8,0,0.20,0.10,0.30,0.20,0.30,Matches,1998-1999
50,Valerio Bertotto,it ITA,DF,Udinese,23,1975,27,23,"2,162",24.0,1,0,1,0,0,9,1,0.04,0.00,0.04,0.04,0.04,Matches,1998-1999
52,Stefano Bettarini,it ITA,DF,Bologna,26,1972,16,13,"1,108",12.3,1,0,1,0,0,5,0,0.08,0.00,0.08,0.08,0.08,Matches,1998-1999
53,Patrick Bettoni,ch SUI,GK,Vicenza,22,1975,2,1,106,1.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,1998-1999
54,Giovanni Bia,it ITA,DF,Bologna,29,1968,20,19,"1,619",18.0,0,1,0,0,0,2,1,0.00,0.06,0.06,0.00,0.06,Matches,1998-1999
55,Stefano Bianconi,it ITA,DF,Empoli,29,1968,33,33,"2,947",32.7,1,0,1,0,0,5,0,0.03,0.00,0.03,0.03,0.03,Matches,1998-1999
56,Oliver Bierhoff,de GER,FW,Milan,30,1968,34,34,"3,002",33.4,20,8,18,2,3,2,0,0.60,0.24,0.84,0.54,0.78,Matches,1998-1999
57,Emiliano Bigica,it ITA,DF,Fiorentina,24,1973,7,1,169,1.9,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,1998-1999
58,Fábio Bilica,br BRA,DF,Venezia,19,1979,12,12,986,11.0,0,0,0,0,0,4,3,0.00,0.00,0.00,0.00,0.00,Matches,1998-1999
59,Binho,br BRA,"DF,MF",Empoli,23,1975,23,16,"1,305",14.5,0,0,0,0,0,5,1,0.00,0.00,0.00,0.00,0.00,Matches,1998-1999
