,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches,Season
0,Rolando Aarons,eng ENG,"MF,FW",Hellas Verona,21,1995,11,6,517,5.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.2,0.5,0.04,0.04,0.08,0.04,0.08,Matches,2017-2018
1,Ignazio Abate,it ITA,DF,Milan,30,1986,17,11,"1,057",11.7,1,0,1,0,0,3,0,0.09,0.00,0.09,0.09,0.09,0.3,0.3,0.6,0.9,0.02,0.05,0.07,0.02,0.07,Matches,2017-2018
2,Francesco Acerbi,it ITA,DF,Sassuolo,29,1988,38,38,"3,420",38.0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,1.5,1.5,0.8,2.4,0.04,0.02,0.06,0.04,0.06,Matches,2017-2018
3,Afriyie Acquah,gh GHA,MF,Torino,25,1992,22,9,951,10.6,1,0,1,0,0,4,2,0.09,0.00,0.09,0.09,0.09,0.6,0.6,0.1,0.7,0.06,0.01,0.07,0.06,0.07,Matches,2017-2018
4,Claud Adjapong,it ITA,"DF,MF",Sassuolo,19,1998,16,14,"1,220",13.6,0,0,0,0,0,5,1,0.00,0.00,0.00,0.00,0.00,0.6,0.6,0.7,1.3,0.05,0.05,0.10,0.05,0.10,Matches,2017-2018
5,Ali Adnan Kadhim,iq IRQ,"DF,MF",Udinese,23,1993,23,18,"1,674",18.6,0,1,0,0,0,4,0,0.00,0.05,0.05,0.00,0.05,0.4,0.4,1.7,2.1,0.02,0.09,0.12,0.02,0.12,Matches,2017-2018
6,Arlind Ajeti,al ALB,"DF,MF",Crotone,23,1993,21,15,"1,271",14.1,0,1,0,0,0,7,0,0.00,0.07,0.07,0.00,0.07,0.7,0.7,1.1,1.8,0.05,0.08,0.13,0.05,0.13,Matches,2017-2018
7,Luis Alberto,es ESP,"MF,FW",Lazio,24,1992,34,32,"2,669",29.7,11,14,10,1,2,5,0,0.37,0.47,0.84,0.34,0.81,7.9,6.4,10.1,16.5,0.27,0.34,0.61,0.21,0.56,Matches,2017-2018
8,Raúl Albiol,es ESP,DF,Napoli,31,1985,31,30,"2,742",30.5,3,1,3,0,0,7,0,0.10,0.03,0.13,0.10,0.13,1.8,1.8,1.2,3.1,0.06,0.04,0.10,0.06,0.10,Matches,2017-2018
9,Alisson,br BRA,GK,Roma,24,1992,37,37,"3,330",37.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,2017-2018
10,Allan,br BRA,MF,Napoli,26,1991,38,32,"2,850",31.7,4,5,4,0,0,2,0,0.13,0.16,0.28,0.13,0.28,4.3,4.3,4.3,8.6,0.14,0.14,0.27,0.14,0.27,Matches,2017-2018
11,Ricky Álvarez,ar ARG,"MF,FW",Sampdoria,29,1988,12,2,267,3.0,1,1,1,0,0,0,0,0.34,0.34,0.67,0.34,0.67,0.4,0.4,0.3,0.7,0.14,0.11,0.25,0.14,0.25,Matches,2017-2018
12,Joachim Andersen,dk DEN,DF,Sampdoria,21,1996,7,6,546,6.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.02,0.00,0.02,0.02,0.02,Matches,2017-2018
13,Felipe Anderson,br BRA,"MF,FW",Lazio,24,1993,21,9,"1,162",12.9,4,6,4,0,0,0,0,0.31,0.46,0.77,0.31,0.77,2.1,2.1,4.0,6.1,0.16,0.31,0.47,0.16,0.47,Matches,2017-2018
14,Nícolas Andrade,br BRA,GK,Hellas Verona,29,1988,36,36,"3,240",36.0,0,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,2017-2018
15,Marco Andreolli,it ITA,DF,Cagliari,31,1986,23,20,"1,829",20.3,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.01,0.00,0.01,0.01,0.01,Matches,2017-2018
16,Gabriele Angella,it ITA,DF,Udinese,28,1989,12,9,893,9.9,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.02,0.00,0.02,0.02,0.02,Matches,2017-2018
17,Cristian Ansaldi,ar ARG,"DF,MF",Torino,30,1986,25,20,"1,872",20.8,1,3,1,0,0,6,2,0.05,0.14,0.19,0.05,0.19,0.7,0.7,3.2,3.9,0.03,0.15,0.19,0.03,0.19,Matches,2017-2018
18,Luca Antei,it ITA,DF,Benevento,25,1992,8,8,592,6.6,0,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,2017-2018
19,Mirco Antenucci,it ITA,FW,SPAL,32,1984,33,28,"2,571",28.6,11,4,6,5,5,1,0,0.39,0.14,0.53,0.21,0.35,8.7,4.9,2.1,7.0,0.30,0.07,0.38,0.17,0.24,Matches,2017-2018
20,Luca Antonelli,it ITA,"DF,MF",Milan,30,1987,6,1,144,1.6,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.02,0.02,0.00,0.02,Matches,2017-2018
21,Mirko Antonucci,it ITA,FW,Roma,18,1999,2,0,31,0.3,0,1,0,0,0,0,0,0.00,2.90,2.90,0.00,2.90,0.5,0.5,0.2,0.7,1.50,0.71,2.21,1.50,2.21,Matches,2017-2018
22,Samuel Armenteros,se SWE,FW,Benevento,27,1990,9,5,429,4.8,1,0,1,0,0,1,0,0.21,0.00,0.21,0.21,0.21,1.1,1.1,0.0,1.1,0.23,0.00,0.23,0.23,0.23,Matches,2017-2018
23,Kwadwo Asamoah,gh GHA,DF,Juventus,28,1988,19,18,"1,568",17.4,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,1.1,1.3,0.01,0.06,0.08,0.01,0.08,Matches,2017-2018
24,Davide Astori,it ITA,DF,Fiorentina,30,1987,25,25,"2,250",25.0,1,1,1,0,0,5,0,0.04,0.04,0.08,0.04,0.08,0.8,0.8,0.2,1.0,0.03,0.01,0.04,0.03,0.04,Matches,2017-2018
26,Felipe Avenatti,uy URU,"FW,MF",Bologna,24,1993,11,4,468,5.2,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.3,0.03,0.03,0.05,0.03,0.05,Matches,2017-2018
27,Khouma Babacar,sn SEN,FW,Sassuolo,24,1993,13,8,750,8.3,2,1,1,1,1,0,0,0.24,0.12,0.36,0.12,0.24,3.4,2.6,1.0,3.6,0.40,0.12,0.52,0.31,0.43,Matches,2017-2018
28,Khouma Babacar,sn SEN,"FW,MF",Fiorentina,24,1993,16,1,448,5.0,4,1,2,2,2,1,0,0.80,0.20,1.00,0.40,0.60,4.7,3.2,0.4,3.6,0.95,0.09,1.03,0.64,0.73,Matches,2017-2018
29,Milan Badelj,hr CRO,MF,Fiorentina,28,1989,27,27,"2,351",26.1,2,1,2,0,0,9,2,0.08,0.04,0.11,0.08,0.11,1.9,1.9,2.4,4.3,0.07,0.09,0.17,0.07,0.17,Matches,2017-2018
30,Riad Bajić,ba BIH,"FW,MF",Udinese,23,1994,5,0,80,0.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.2,0.4,0.22,0.20,0.41,0.22,0.41,Matches,2017-2018
31,Andrija Balić,hr CRO,MF,Udinese,19,1997,21,11,"1,083",12.0,0,1,0,0,0,2,0,0.00,0.08,0.08,0.00,0.08,0.7,0.7,0.7,1.4,0.06,0.06,0.11,0.06,0.11,Matches,2017-2018
32,Mattia Bani,it ITA,DF,Chievo,23,1993,16,15,"1,317",14.6,0,0,0,0,0,5,1,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.0,0.3,0.02,0.00,0.02,0.02,0.02,Matches,2017-2018
