,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
319,Martinelli,br BRA,"FW,MF",Arsenal,20-305,2001,22,17,"1,454",16.2,5,3,5,0,0,3,1,0.31,0.19,0.50,0.31,0.50,5.0,5.0,2.2,7.2,0.31,0.13,0.44,0.31,0.44,Matches
320,Emiliano Martínez,ar ARG,GK,Aston Villa,29-229,1992,30,30,"2,700",30.0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
321,Adam Masina,ma MAR,DF,Watford,28-107,1994,11,11,866,9.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.5,0.7,0.02,0.05,0.08,0.02,0.08,Matches
322,Arthur Masuaku,cd COD,"DF,FW",West Ham,28-163,1993,12,5,560,6.2,1,1,1,0,0,1,0,0.16,0.16,0.32,0.16,0.32,0.1,0.1,0.9,1.0,0.02,0.14,0.16,0.02,0.16,Matches
323,Juan Mata,es ESP,MF,Manchester Utd,33-356,1988,2,0,44,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.24,0.00,0.24,0.24,0.24,Matches
324,Jean-Philippe Mateta,fr FRA,FW,Crystal Palace,24-295,1997,16,9,810,9.0,4,1,4,0,0,1,0,0.44,0.11,0.56,0.44,0.56,3.1,3.1,1.1,4.2,0.34,0.12,0.47,0.34,0.47,Matches
325,Nemanja Matić,rs SRB,MF,Manchester Utd,33-261,1988,18,11,"1,023",11.4,0,2,0,0,0,2,0,0.00,0.18,0.18,0.00,0.18,0.1,0.1,0.9,1.0,0.01,0.08,0.09,0.01,0.09,Matches
326,Joël Matip,cm CMR,DF,Liverpool,30-254,1991,25,25,"2,250",25.0,1,2,1,0,0,1,0,0.04,0.08,0.12,0.04,0.12,2.0,2.0,0.8,2.7,0.08,0.03,0.11,0.08,0.11,Matches
327,Neal Maupay,fr FRA,FW,Brighton,25-248,1996,28,24,"2,125",23.6,8,2,7,1,2,6,0,0.34,0.08,0.42,0.30,0.38,7.4,5.9,2.2,8.1,0.31,0.09,0.41,0.25,0.34,Matches
328,Bryan Mbeumo,fr FRA,"FW,MF",Brentford,22-255,1999,30,29,"2,480",27.6,4,7,3,1,1,4,0,0.15,0.25,0.40,0.11,0.36,8.3,7.5,3.5,11.0,0.30,0.13,0.43,0.27,0.40,Matches
329,James McArthur,sct SCO,MF,Crystal Palace,34-194,1987,17,13,"1,220",13.6,0,2,0,0,0,3,0,0.00,0.15,0.15,0.00,0.15,0.3,0.3,0.9,1.2,0.02,0.07,0.09,0.02,0.09,Matches
330,James Mcatee,eng ENG,"MF,FW",Manchester City,19-183,2002,2,0,20,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.19,0.00,0.19,0.19,0.19,Matches
331,Kasey McAteer,eng ENG,FW,Leicester City,20-148,2001,1,0,3,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
332,Liam McCarron,sct SCO,FW,Leeds United,21-043,2001,1,0,10,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
333,Alex McCarthy,eng ENG,GK,Southampton,32-137,1989,15,15,"1,350",15.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
334,John McGinn,sct SCO,MF,Aston Villa,27-183,1994,28,28,"2,460",27.3,3,2,3,0,0,8,0,0.11,0.07,0.18,0.11,0.18,1.3,1.3,3.7,5.0,0.05,0.14,0.18,0.05,0.18,Matches
335,Stuart McKinstry,sct SCO,MF,Leeds United,19-213,2002,1,0,4,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
336,Kenny McLean,sct SCO,MF,Norwich City,30-101,1992,30,28,"2,616",29.1,1,0,1,0,0,3,0,0.03,0.00,0.03,0.03,0.03,1.9,1.9,0.7,2.6,0.06,0.02,0.09,0.06,0.09,Matches
338,Dwight McNeil,eng ENG,MF,Burnley,22-148,1999,31,28,"2,499",27.8,0,1,0,0,0,1,0,0.00,0.04,0.04,0.00,0.04,1.7,1.7,3.7,5.4,0.06,0.14,0.20,0.06,0.20,Matches
339,Scott McTominay,sct SCO,MF,Manchester Utd,25-132,1996,25,23,"1,937",21.5,1,1,1,0,0,9,0,0.05,0.05,0.09,0.05,0.09,1.0,1.0,1.4,2.3,0.05,0.06,0.11,0.05,0.11,Matches
340,Ben Mee,eng ENG,DF,Burnley,32-208,1989,21,21,"1,839",20.4,3,0,3,0,0,3,0,0.15,0.00,0.15,0.15,0.15,1.8,1.8,0.1,1.9,0.09,0.00,0.09,0.09,0.09,Matches
341,Benjamin Mendy,fr FRA,DF,Manchester City,27-276,1994,1,1,78,0.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.3,0.3,0.00,0.30,0.30,0.00,0.30,Matches
342,Edouard Mendy,sn SEN,GK,Chelsea,30-049,1992,26,26,"2,340",26.0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
343,Nampalys Mendy,sn SEN,MF,Leicester City,29-300,1992,6,5,434,4.8,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
344,Illan Meslier,fr FRA,GK,Leeds United,22-048,2000,32,32,"2,844",31.6,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
345,Luka Milivojević,rs SRB,MF,Crystal Palace,31-012,1991,13,8,663,7.4,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.6,0.8,0.03,0.08,0.11,0.03,0.11,Matches
346,James Milner,eng ENG,"MF,DF",Liverpool,36-105,1986,20,7,636,7.1,0,1,0,0,0,2,0,0.00,0.14,0.14,0.00,0.14,0.2,0.2,1.4,1.7,0.03,0.20,0.23,0.03,0.23,Matches
347,Yerry Mina,co COL,DF,Everton,27-208,1994,10,8,649,7.2,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.0,0.3,0.04,0.00,0.04,0.04,0.04,Matches
348,Takumi Minamino,jp JPN,"FW,MF",Liverpool,27-093,1995,10,0,96,1.1,2,0,2,0,0,1,0,1.87,0.00,1.87,1.87,1.87,1.5,1.5,0.4,1.9,1.40,0.42,1.82,1.40,1.82,Matches
349,Tyrone Mings,eng ENG,DF,Aston Villa,29-037,1993,29,28,"2,559",28.4,1,3,1,0,0,9,0,0.04,0.11,0.14,0.04,0.14,1.3,1.3,1.4,2.7,0.05,0.05,0.09,0.05,0.09,Matches
350,Tyrick Mitchell,eng ENG,DF,Crystal Palace,22-230,1999,31,31,"2,723",30.3,0,2,0,0,0,1,0,0.00,0.07,0.07,0.00,0.07,0.3,0.3,1.2,1.5,0.01,0.04,0.05,0.01,0.05,Matches
351,Jakub Moder,pl POL,"MF,FW",Brighton,23-012,1999,28,19,"1,701",18.9,0,3,0,0,0,1,0,0.00,0.16,0.16,0.00,0.16,2.4,2.4,1.7,4.1,0.13,0.09,0.22,0.13,0.22,Matches
352,Wesley Moraes,br BRA,FW,Aston Villa,25-144,1996,1,0,1,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
353,Tyler Morton,eng ENG,MF,Liverpool,19-170,2002,2,1,66,0.7,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
354,Mason Mount,eng ENG,"MF,FW",Chelsea,23-099,1999,26,21,"1,825",20.3,10,8,9,1,1,2,0,0.49,0.39,0.89,0.44,0.84,7.4,6.7,5.0,11.7,0.37,0.25,0.61,0.33,0.58,Matches
355,Lucas Moura,br BRA,"FW,MF",Tottenham,29-249,1992,29,17,"1,596",17.7,2,5,2,0,0,3,0,0.11,0.28,0.39,0.11,0.39,3.3,3.3,3.6,6.9,0.19,0.20,0.39,0.19,0.39,Matches
356,João Moutinho,pt POR,MF,Wolves,35-223,1986,29,28,"2,436",27.1,2,1,2,0,0,3,0,0.07,0.04,0.11,0.07,0.11,0.9,0.9,2.2,3.1,0.03,0.08,0.11,0.03,0.11,Matches
357,Bali Mumba,eng ENG,DF,Norwich City,20-193,2001,1,0,45,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
358,Jacob Murphy,eng ENG,"DF,FW",Newcastle Utd,27-054,1995,27,12,"1,273",14.1,1,1,1,0,0,4,0,0.07,0.07,0.14,0.07,0.14,2.1,2.1,1.6,3.7,0.15,0.11,0.26,0.15,0.26,Matches
359,Enock Mwepu,zm ZAM,"MF,FW",Brighton,24-108,1998,14,9,772,8.6,2,4,2,0,0,2,0,0.23,0.47,0.70,0.23,0.70,1.6,1.6,1.3,2.9,0.19,0.15,0.34,0.19,0.34,Matches
360,Vitaliy Mykolenko,ua UKR,DF,Everton,22-325,1999,6,5,450,5.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.5,0.5,0.00,0.09,0.10,0.00,0.10,Matches
361,Marvelous Nakamba,zw ZIM,MF,Aston Villa,28-090,1994,12,8,758,8.4,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.01,0.01,0.00,0.01,Matches
362,Wilfred Ndidi,ng NGA,"MF,DF",Leicester City,25-124,1996,19,18,"1,618",18.0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,1.0,1.0,0.0,1.0,0.06,0.00,0.06,0.06,0.06,Matches
364,Tanguy Ndombele,fr FRA,MF,Tottenham,25-112,1996,9,6,484,5.4,1,1,1,0,0,1,0,0.19,0.19,0.37,0.19,0.37,0.5,0.5,0.4,0.9,0.09,0.07,0.16,0.09,0.16,Matches
365,Reiss Nelson,eng ENG,FW,Arsenal,22-130,1999,1,0,20,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.1,0.16,0.18,0.35,0.16,0.35,Matches
366,Pedro Neto,pt POR,"MF,FW",Wolves,22-041,2000,7,1,162,1.8,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.3,0.7,0.21,0.15,0.36,0.21,0.36,Matches
367,Rúben Neves,pt POR,MF,Wolves,25-037,1997,28,26,"2,270",25.2,4,2,4,0,0,9,0,0.16,0.08,0.24,0.16,0.24,1.1,1.1,1.7,2.8,0.04,0.07,0.11,0.04,0.11,Matches
368,Jeremy Ngakia,eng ENG,DF,Watford,21-224,2000,13,6,633,7.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.3,0.4,0.01,0.04,0.05,0.01,0.05,Matches
369,Saúl Ñíguez,es ESP,"DF,MF",Chelsea,27-149,1994,8,4,345,3.8,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.2,0.4,0.04,0.06,0.10,0.04,0.10,Matches
370,Eddie Nketiah,eng ENG,"FW,MF",Arsenal,22-324,1999,14,1,269,3.0,0,1,0,0,0,1,0,0.00,0.33,0.33,0.00,0.33,0.8,0.8,1.1,1.9,0.28,0.36,0.63,0.28,0.63,Matches
371,Nicolas Nkoulou,cm CMR,DF,Watford,32-023,1990,3,2,168,1.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.01,0.01,0.00,0.01,Matches
372,Mark Noble,eng ENG,MF,West Ham,34-346,1987,6,1,147,1.6,1,0,0,1,2,0,0,0.61,0.00,0.61,0.00,0.00,1.5,0.0,0.2,0.2,0.93,0.12,1.05,0.00,0.12,Matches
373,Mathias Normann,no NOR,MF,Norwich City,25-326,1996,19,16,"1,339",14.9,1,2,1,0,0,4,0,0.07,0.13,0.20,0.07,0.20,0.8,0.8,1.2,2.0,0.05,0.08,0.13,0.05,0.13,Matches
374,Christian Nørgaard,dk DEN,MF,Brentford,28-040,1994,32,32,"2,804",31.2,3,2,3,0,0,7,0,0.10,0.06,0.16,0.10,0.16,3.0,3.0,2.3,5.4,0.10,0.07,0.17,0.10,0.17,Matches
375,Angelo Ogbonna,it ITA,DF,West Ham,33-331,1988,11,11,921,10.2,1,0,1,0,0,1,0,0.10,0.00,0.10,0.10,0.10,0.3,0.3,0.0,0.3,0.03,0.00,0.03,0.03,0.03,Matches
376,Michael Olise,fr FRA,"FW,MF",Crystal Palace,20-128,2001,22,10,971,10.8,2,5,2,0,0,3,0,0.19,0.46,0.65,0.19,0.65,1.3,1.3,2.9,4.2,0.12,0.27,0.39,0.12,0.39,Matches
377,Andrew Omobamidele,ie IRL,DF,Norwich City,19-300,2002,5,4,382,4.2,1,0,1,0,0,1,0,0.24,0.00,0.24,0.24,0.24,0.3,0.3,0.0,0.3,0.08,0.00,0.08,0.08,0.08,Matches
378,Tyler Onyango,eng ENG,"MF,FW",Everton,19-046,2003,3,0,28,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.10,0.00,0.10,0.10,0.10,Matches
379,Frank Onyeka,ng NGA,MF,Brentford,24-108,1998,20,12,"1,045",11.6,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,1.1,1.1,0.2,1.3,0.10,0.02,0.11,0.10,0.11,Matches
380,Divock Origi,be BEL,FW,Liverpool,27-001,1995,5,0,76,0.8,2,0,2,0,0,0,0,2.37,0.00,2.37,2.37,2.37,0.8,0.8,0.0,0.8,1.01,0.00,1.01,1.01,1.01,Matches
381,Alex Oxlade-Chamberlain,eng ENG,"MF,FW",Liverpool,28-247,1993,17,9,785,8.7,2,1,2,0,0,0,0,0.23,0.11,0.34,0.23,0.34,1.2,1.2,0.9,2.1,0.14,0.11,0.24,0.14,0.24,Matches
382,Cole Palmer,eng ENG,"FW,MF",Manchester City,19-348,2002,4,1,123,1.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.2,0.5,0.23,0.17,0.39,0.23,0.39,Matches
383,Emerson Palmieri,it ITA,DF,Chelsea,27-259,1994,1,0,5,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
384,Thomas Partey,gh GHA,MF,Arsenal,28-310,1993,24,23,"2,028",22.5,2,1,2,0,0,6,0,0.09,0.04,0.13,0.09,0.13,2.5,2.5,1.3,3.8,0.11,0.06,0.17,0.11,0.17,Matches
385,João Pedro,br BRA,"FW,MF",Watford,20-205,2001,23,11,"1,261",14.0,2,1,2,0,0,1,0,0.14,0.07,0.21,0.14,0.21,2.6,2.6,2.6,5.2,0.18,0.18,0.37,0.18,0.37,Matches
386,Nicolas Pépé,ci CIV,"FW,MF",Arsenal,26-325,1995,17,5,642,7.1,1,1,1,0,0,0,0,0.14,0.14,0.28,0.14,0.28,2.9,2.9,1.6,4.5,0.40,0.23,0.63,0.40,0.63,Matches
387,Ricardo Pereira,pt POR,DF,Leicester City,28-195,1993,12,12,880,9.8,1,2,1,0,0,3,0,0.10,0.20,0.31,0.10,0.31,0.7,0.7,1.2,1.8,0.07,0.12,0.19,0.07,0.19,Matches
388,Ayoze Pérez,es ESP,"MF,FW",Leicester City,28-270,1993,9,4,279,3.1,0,3,0,0,0,0,1,0.00,0.97,0.97,0.00,0.97,1.1,1.1,0.8,1.9,0.35,0.27,0.61,0.35,0.61,Matches
390,Sonny Perkins,eng ENG,FW,West Ham,18-068,2004,1,0,4,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
391,Romain Perraud,fr FRA,DF,Southampton,24-209,1997,16,15,"1,299",14.4,0,1,0,0,0,2,0,0.00,0.07,0.07,0.00,0.07,0.8,0.8,0.5,1.3,0.06,0.03,0.09,0.06,0.09,Matches
392,Kalvin Phillips,eng ENG,MF,Leeds United,26-138,1995,14,12,"1,056",11.7,0,1,0,0,0,2,0,0.00,0.09,0.09,0.00,0.09,0.6,0.6,0.2,0.8,0.05,0.02,0.07,0.05,0.07,Matches
393,Jaden Philogene Bidace,eng ENG,FW,Aston Villa,19-336,2002,1,0,5,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
394,Jordan Pickford,eng ENG,GK,Everton,28-043,1994,28,28,"2,520",28.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.01,0.01,0.00,0.01,Matches
395,Erik Pieters,nl NED,DF,Burnley,33-255,1988,11,8,711,7.9,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.02,0.00,0.02,0.02,0.02,Matches
396,Ethan Pinnock,jm JAM,DF,Brentford,28-325,1993,32,32,"2,694",29.9,1,1,1,0,0,1,0,0.03,0.03,0.07,0.03,0.07,1.5,1.5,1.2,2.8,0.05,0.04,0.09,0.05,0.09,Matches
397,Daniel Podence,pt POR,"FW,MF",Wolves,26-180,1995,25,15,"1,468",16.3,2,3,2,0,0,2,0,0.12,0.18,0.31,0.12,0.31,1.9,1.9,3.7,5.7,0.12,0.23,0.35,0.12,0.35,Matches
398,Paul Pogba,fr FRA,"MF,FW",Manchester Utd,29-035,1993,19,15,"1,340",14.9,1,9,1,0,0,7,1,0.07,0.60,0.67,0.07,0.67,2.4,2.4,3.5,6.0,0.16,0.24,0.40,0.16,0.40,Matches
399,Nick Pope,eng ENG,GK,Burnley,30-000,1992,29,29,"2,610",29.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.2,0.00,0.01,0.01,0.00,0.01,Matches
400,Teemu Pukki,fi FIN,FW,Norwich City,32-021,1990,31,31,"2,713",30.1,10,3,7,3,3,4,0,0.33,0.10,0.43,0.23,0.33,9.0,6.7,2.4,9.1,0.30,0.08,0.38,0.22,0.30,Matches
401,Christian Pulisic,us USA,"MF,FW",Chelsea,23-213,1998,16,10,994,11.0,4,1,4,0,0,2,0,0.36,0.09,0.45,0.36,0.45,3.8,3.8,0.7,4.5,0.34,0.07,0.41,0.34,0.41,Matches
402,Przemysław Płacheta,pl POL,"FW,MF",Norwich City,24-027,1998,10,6,460,5.1,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.3,0.8,0.10,0.06,0.16,0.10,0.16,Matches
403,Jesuran Rak Sakyi,eng ENG,MF,Crystal Palace,19-196,2002,1,0,14,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
404,Aaron Ramsdale,eng ENG,GK,Arsenal,23-340,1998,27,27,"2,430",27.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
405,Jacob Ramsey,eng ENG,MF,Aston Villa,20-326,2001,29,25,"2,110",23.4,6,1,6,0,0,5,0,0.26,0.04,0.30,0.26,0.30,3.3,3.3,1.8,5.1,0.14,0.08,0.22,0.14,0.22,Matches
406,Marcus Rashford,eng ENG,"FW,MF",Manchester Utd,24-170,1997,22,11,"1,053",11.7,4,2,4,0,0,2,0,0.34,0.17,0.51,0.34,0.51,2.5,2.5,2.0,4.4,0.21,0.17,0.38,0.21,0.38,Matches
407,Milot Rashica,xk KVX,"FW,MF",Norwich City,25-295,1996,26,20,"1,878",20.9,1,2,1,0,0,0,0,0.05,0.10,0.14,0.05,0.14,2.6,2.6,2.1,4.7,0.12,0.10,0.22,0.12,0.22,Matches
408,David Raya,es ESP,GK,Brentford,26-216,1995,19,19,"1,710",19.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
409,Nathan Redmond,eng ENG,"MF,FW",Southampton,28-044,1994,21,15,"1,366",15.2,0,5,0,0,0,0,0,0.00,0.33,0.33,0.00,0.33,1.8,1.8,3.6,5.4,0.12,0.24,0.36,0.12,0.36,Matches
410,Sergio Reguilón,es ESP,DF,Tottenham,25-124,1996,25,22,"1,916",21.3,2,3,2,0,0,4,0,0.09,0.14,0.23,0.09,0.23,3.0,3.0,4.0,7.0,0.14,0.19,0.33,0.14,0.33,Matches
411,Declan Rice,eng ENG,MF,West Ham,23-095,1999,31,31,"2,790",31.0,1,4,1,0,0,8,0,0.03,0.13,0.16,0.03,0.16,1.0,1.0,2.0,2.9,0.03,0.06,0.09,0.03,0.09,Matches
412,Taylor Richards,eng ENG,"MF,FW",Brighton,21-136,2000,2,0,25,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.14,0.00,0.14,0.14,0.14,Matches
413,Richarlison,br BRA,"FW,MF",Everton,24-344,1997,23,21,"1,905",21.2,6,4,4,2,2,7,0,0.28,0.19,0.47,0.19,0.38,6.5,5.0,2.1,7.1,0.31,0.10,0.41,0.24,0.34,Matches
414,Jaïro Riedewald,nl NED,MF,Crystal Palace,25-222,1996,3,1,118,1.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.06,0.06,0.00,0.06,Matches
416,Matt Ritchie,sct SCO,DF,Newcastle Utd,32-221,1989,16,14,"1,318",14.6,0,2,0,0,0,5,0,0.00,0.14,0.14,0.00,0.14,0.4,0.4,1.6,2.1,0.03,0.11,0.14,0.03,0.14,Matches
417,Connor Roberts,wls WAL,DF,Burnley,26-208,1995,14,12,"1,106",12.3,0,1,0,0,0,1,0,0.00,0.08,0.08,0.00,0.08,0.1,0.1,0.3,0.4,0.01,0.03,0.03,0.01,0.03,Matches
418,Tyler Roberts,wls WAL,"MF,FW",Leeds United,23-097,1999,23,7,987,11.0,1,1,1,0,0,5,0,0.09,0.09,0.18,0.09,0.18,2.4,2.4,1.2,3.7,0.22,0.11,0.34,0.22,0.34,Matches
419,Andrew Robertson,sct SCO,DF,Liverpool,28-039,1994,24,24,"2,114",23.5,1,10,1,0,0,5,1,0.04,0.43,0.47,0.04,0.47,1.5,1.5,4.8,6.3,0.06,0.21,0.27,0.06,0.27,Matches
420,Joe Rodon,wls WAL,DF,Tottenham,24-179,1997,1,0,79,0.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
421,Rodri,es ESP,MF,Manchester City,25-301,1996,26,26,"2,282",25.4,3,1,3,0,0,5,0,0.12,0.04,0.16,0.12,0.16,1.8,1.8,1.2,3.0,0.07,0.05,0.12,0.07,0.12,Matches
422,Rodrigo,es ESP,"MF,FW",Leeds United,31-044,1991,25,22,"1,809",20.1,6,1,5,1,1,8,0,0.30,0.05,0.35,0.25,0.30,4.5,3.7,4.0,7.7,0.22,0.20,0.42,0.18,0.38,Matches
423,Jay Rodriguez,eng ENG,FW,Burnley,32-264,1989,27,11,"1,229",13.7,2,2,2,0,0,3,0,0.15,0.15,0.29,0.15,0.29,4.1,4.1,1.9,6.0,0.30,0.14,0.44,0.30,0.44,Matches
424,Mads Roerslev,dk DEN,DF,Brentford,22-299,1999,18,10,"1,044",11.6,1,1,1,0,0,1,0,0.09,0.09,0.17,0.09,0.17,0.3,0.3,0.6,0.9,0.02,0.06,0.08,0.02,0.08,Matches
425,Cristian Romero,ar ARG,DF,Tottenham,23-357,1998,19,18,"1,574",17.5,1,0,1,0,0,8,0,0.06,0.00,0.06,0.06,0.06,0.6,0.6,0.3,0.9,0.03,0.02,0.05,0.03,0.05,Matches
426,Oriol Romeu,es ESP,MF,Southampton,30-207,1991,30,30,"2,502",27.8,1,1,1,0,0,8,0,0.04,0.04,0.07,0.04,0.07,0.9,0.9,2.5,3.4,0.03,0.09,0.12,0.03,0.12,Matches
427,Cristiano Ronaldo,pt POR,FW,Manchester Utd,37-073,1985,26,23,"2,096",23.3,15,3,13,2,2,6,0,0.64,0.13,0.77,0.56,0.69,14.7,13.2,2.7,15.9,0.63,0.12,0.75,0.57,0.68,Matches
428,Salomón Rondón,ve VEN,FW,Everton,32-215,1989,15,8,719,8.0,1,0,1,0,0,2,0,0.13,0.00,0.13,0.13,0.13,2.1,2.1,0.6,2.7,0.26,0.08,0.34,0.26,0.34,Matches
429,Danny Rose,eng ENG,DF,Watford,31-291,1990,8,7,689,7.7,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.8,0.9,0.02,0.10,0.12,0.02,0.12,Matches
430,Jon Rowe,eng ENG,"MF,FW",Norwich City,18-354,2003,9,0,144,1.6,0,1,0,0,0,0,0,0.00,0.62,0.62,0.00,0.62,0.3,0.3,0.2,0.4,0.16,0.10,0.26,0.16,0.26,Matches
431,Antonio Rüdiger,de GER,DF,Chelsea,29-047,1993,28,28,"2,520",28.0,3,0,3,0,0,6,0,0.11,0.00,0.11,0.11,0.11,2.1,2.1,1.1,3.1,0.07,0.04,0.11,0.07,0.11,Matches
432,Lukas Rupp,de GER,MF,Norwich City,31-101,1991,14,6,608,6.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.7,0.7,1.2,1.9,0.10,0.17,0.27,0.10,0.27,Matches
433,José Sá,pt POR,GK,Wolves,29-092,1993,32,32,"2,880",32.0,0,1,0,0,0,3,0,0.00,0.03,0.03,0.00,0.03,0.0,0.0,1.0,1.0,0.00,0.03,0.03,0.00,0.03,Matches
434,Allan Saint-Maximin,fr FRA,"FW,MF",Newcastle Utd,25-038,1997,29,25,"2,312",25.7,5,3,5,0,0,5,0,0.19,0.12,0.31,0.19,0.31,4.5,4.5,4.7,9.2,0.17,0.18,0.36,0.17,0.36,Matches
435,Romain Saïss,ma MAR,DF,Wolves,32-024,1990,28,28,"2,468",27.4,2,0,2,0,0,5,0,0.07,0.00,0.07,0.07,0.07,2.3,2.3,0.2,2.5,0.08,0.01,0.09,0.08,0.09,Matches
436,Bukayo Saka,eng ENG,"FW,MF",Arsenal,20-226,2001,31,29,"2,406",26.7,9,5,9,0,0,5,0,0.34,0.19,0.52,0.34,0.52,7.2,7.2,6.3,13.6,0.27,0.24,0.51,0.27,0.51,Matches
437,Mohamed Salah,eg EGY,FW,Liverpool,29-308,1992,29,27,"2,418",26.9,20,11,15,5,6,1,0,0.74,0.41,1.15,0.56,0.97,19.1,14.4,9.3,23.7,0.71,0.35,1.06,0.54,0.88,Matches
438,Mohammed Salisu,gh GHA,DF,Southampton,23-002,1999,29,28,"2,522",28.0,0,0,0,0,0,10,1,0.00,0.00,0.00,0.00,0.00,1.7,1.7,0.5,2.2,0.06,0.02,0.08,0.06,0.08,Matches
