,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
249,Mathias Jørgensen,dk DEN,DF,Brentford,31-361,1990,8,6,518,5.8,1,0,1,0,0,2,0,0.17,0.00,0.17,0.17,0.17,0.1,0.1,0.1,0.2,0.02,0.02,0.03,0.02,0.03,Matches
250,Ozan Kabak,tr TUR,DF,Norwich City,22-025,2000,11,11,922,10.2,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.02,0.00,0.02,0.02,0.02,Matches
251,Christian Kabasele,be BEL,DF,Watford,31-054,1991,11,7,743,8.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.0,0.3,0.04,0.01,0.04,0.04,0.04,Matches
252,Samuel Kalu,ng NGA,"FW,MF",Watford,24-236,1997,2,0,47,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.04,0.00,0.04,0.04,0.04,Matches
253,Hassane Kamara,ci CIV,DF,Watford,27-212,1994,14,14,"1,253",13.9,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.4,0.5,0.00,0.03,0.04,0.00,0.04,Matches
254,Harry Kane,eng ENG,FW,Tottenham,28-265,1993,31,30,"2,692",29.9,12,8,10,2,2,5,0,0.40,0.27,0.67,0.33,0.60,15.1,13.6,8.0,21.6,0.51,0.27,0.77,0.46,0.72,Matches
255,N'Golo Kanté,fr FRA,MF,Chelsea,31-021,1991,21,16,"1,351",15.0,2,4,2,0,0,1,0,0.13,0.27,0.40,0.13,0.40,1.5,1.5,1.6,3.2,0.10,0.11,0.21,0.10,0.21,Matches
256,Edo Kayembe,cd COD,MF,Watford,23-259,1998,8,5,434,4.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.2,0.3,0.01,0.05,0.06,0.01,0.06,Matches
257,Moise Kean,it ITA,FW,Everton,22-050,2000,1,0,1,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
258,Michael Keane,eng ENG,DF,Everton,29-098,1993,27,27,"2,359",26.2,2,2,2,0,0,3,1,0.08,0.08,0.15,0.08,0.15,0.9,0.9,0.6,1.5,0.04,0.02,0.06,0.04,0.06,Matches
260,Naby Keïta,gn GUI,MF,Liverpool,27-068,1995,16,10,843,9.4,2,1,2,0,0,1,0,0.21,0.11,0.32,0.21,0.32,1.2,1.2,1.1,2.4,0.13,0.12,0.25,0.13,0.25,Matches
261,Caoimhín Kelleher,ie IRL,GK,Liverpool,23-147,1998,2,2,180,2.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
262,Jonjoe Kenny,eng ENG,DF,Everton,25-035,1997,11,10,883,9.8,0,1,0,0,0,3,1,0.00,0.10,0.10,0.00,0.10,0.3,0.3,0.5,0.8,0.03,0.05,0.09,0.03,0.09,Matches
