,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,Season
0,Christian Abbiati,it ITA,GK,Torino,29,1977,36,36,"3,235",35.9,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,Matches,2006-2007
1,Elvis Abbruscato,it ITA,FW,Torino,25,1981,29,15,"1,432",15.9,3,0,3,0,0,1,0,0.19,0.00,0.19,0.19,0.19,Matches,2006-2007
2,Nelson Abeijón,uy URU,MF,Atalanta,33,1973,5,2,121,1.3,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,2006-2007
3,Pietro Accardi,it ITA,DF,Sampdoria,23,1982,27,25,"2,320",25.8,0,0,0,0,0,9,0,0.00,0.00,0.00,0.00,0.00,Matches,2006-2007
4,Daniele Adani,it ITA,DF,Empoli,32,1974,15,12,892,9.9,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,2006-2007
5,Adriano,br BRA,FW,Inter,24,1982,23,14,"1,414",15.7,5,9,5,0,0,1,0,0.32,0.57,0.89,0.32,0.89,Matches,2006-2007
6,Adriano,br BRA,DF,Atalanta,24,1982,25,19,"1,662",18.5,1,4,1,0,0,7,2,0.05,0.22,0.27,0.05,0.27,Matches,2006-2007
7,Federico Agliardi,it ITA,GK,Palermo,23,1983,9,7,667,7.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2006-2007
8,Alessandro Agostini,it ITA,DF,Cagliari,27,1979,27,22,"1,914",21.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2006-2007
9,Sergio Almirón,ar ARG,MF,Empoli,25,1980,30,28,"2,408",26.8,6,1,6,0,1,4,0,0.22,0.04,0.26,0.22,0.26,Matches,2006-2007
10,Édgar Álvarez,hn HON,"DF,MF",Messina,26,1980,32,20,"1,966",21.8,2,2,2,0,0,1,0,0.09,0.09,0.18,0.09,0.18,Matches,2006-2007
11,Amauri,it ITA,FW,Palermo,26,1980,18,17,"1,445",16.1,8,4,8,0,0,3,0,0.50,0.25,0.75,0.50,0.75,Matches,2006-2007
12,Massimo Ambrosini,it ITA,MF,Milan,29,1977,19,10,938,10.4,2,0,2,0,0,3,0,0.19,0.00,0.19,0.19,0.19,Matches,2006-2007
13,Marco Amelia,it ITA,GK,Livorno,24,1982,30,30,"2,700",30.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,2006-2007
14,Daniele Amerini,it ITA,MF,Reggina,31,1974,36,29,"2,400",26.7,1,1,1,0,0,7,0,0.04,0.04,0.07,0.04,0.07,Matches,2006-2007
15,Nicola Amoruso,it ITA,FW,Reggina,31,1974,34,28,"2,576",28.6,17,2,14,3,3,6,0,0.59,0.07,0.66,0.49,0.56,Matches,2006-2007
16,Marco Andreolli,it ITA,DF,Inter,20,1986,4,4,335,3.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2006-2007
17,Luca Antonelli,it ITA,"DF,MF",Milan,19,1987,1,0,6,0.1,0,,0,0,,0,0,0.00,,,0.00,,Matches,2006-2007
18,Luca Antonini,it ITA,"DF,MF",Siena,23,1982,32,27,"2,398",26.6,3,0,3,0,0,8,0,0.11,0.00,0.11,0.11,0.11,Matches,2006-2007
19,Alberto Aquilani,it ITA,MF,Roma,22,1984,13,9,763,8.5,1,0,1,0,0,3,0,0.12,0.00,0.12,0.12,0.12,Matches,2006-2007
20,Andrea Ardito,it ITA,MF,Torino,29,1977,26,21,"1,875",20.8,0,1,0,0,0,11,1,0.00,0.05,0.05,0.00,0.05,Matches,2006-2007
21,Simone Aresti,it ITA,GK,Cagliari,20,1986,1,0,45,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2006-2007
22,Stefano Argilli,it ITA,MF,Livorno,33,1973,2,1,80,0.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2006-2007
