,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,Season
0,John van 't Schip,nl NED,"FW,MF",Genoa,29,1963,21,18,"1,542",17.1,1,,1,0,,1,0,0.06,,,0.06,,Matches,1993-1994
1,Beniamino Abate,it ITA,GK,Internazionale,31,1962,2,2,180,2.0,0,,,,,0,0,0.00,,,,,Matches,1993-1994
2,Giuseppe Accardi,it ITA,DF,Reggiana,29,1964,27,23,"2,053",22.8,0,,0,0,,3,0,0.00,,,0.00,,Matches,1993-1994
3,Dariusz Adamczuk,pl POL,"DF,MF",Udinese,23,1969,2,2,142,1.6,0,,0,0,,1,0,0.00,,,0.00,,Matches,1993-1994
4,Carlos Aguilera,uy URU,FW,Torino,28,1964,6,1,178,2.0,0,,0,0,,0,0,0.00,,,0.00,,Matches,1993-1994
5,Demetrio Albertini,it ITA,"FW,MF",Milan,21,1971,26,25,"2,088",23.2,3,,3,0,,6,0,0.13,,,0.13,,Matches,1993-1994
6,Aldair,br BRA,DF,Roma,27,1965,12,12,"1,036",11.5,0,,0,0,,1,0,0.00,,,0.00,,Matches,1993-1994
7,Alemão,br BRA,MF,Atalanta,31,1961,18,16,"1,402",15.6,0,,0,0,,5,0,0.00,,,0.00,,Matches,1993-1994
8,Massimiliano Allegri,it ITA,MF,Cagliari,25,1967,20,10,"1,061",11.8,3,,2,1,,2,0,0.25,,,0.17,,Matches,1993-1994
9,Antonio Aloisi,it ITA,DF,Cagliari,24,1968,8,7,578,6.4,0,,0,0,,1,0,0.00,,,0.00,,Matches,1993-1994
10,Simone Altobelli,it ITA,DF,Lecce,23,1970,18,12,"1,116",12.4,0,,0,0,,0,0,0.00,,,0.00,,Matches,1993-1994
11,Luca Altomare,it ITA,MF,Napoli,21,1972,4,1,131,1.5,1,,1,0,,0,0,0.69,,,0.69,,Matches,1993-1994
12,Luca Amoruso,it ITA,MF,Foggia,17,1975,1,0,8,0.1,0,,0,0,,0,0,0.00,,,0.00,,Matches,1993-1994
13,Nicola Amoruso,it ITA,FW,Sampdoria,18,1974,8,3,341,3.8,3,,3,0,,0,0,0.79,,,0.79,,Matches,1993-1994
14,Enrico Annoni,it ITA,DF,Torino,27,1966,27,27,"2,292",25.5,0,,0,0,,9,0,0.00,,,0.00,,Matches,1993-1994
15,Luigi Apolloni,it ITA,DF,Parma,26,1967,30,30,"2,636",29.3,2,,2,0,,6,0,0.07,,,0.07,,Matches,1993-1994
16,Faustino Asprilla,co COL,FW,Parma,23,1969,27,24,"2,130",23.7,10,,9,1,,2,1,0.42,,,0.38,,Matches,1993-1994
17,Pietro Assennato,it ITA,DF,Atalanta,21,1972,2,0,70,0.8,0,,0,0,,0,0,0.00,,,0.00,,Matches,1993-1994
18,Kwame Ayew,gh GHA,FW,Lecce,19,1973,18,13,"1,206",13.4,3,,3,0,,0,0,0.22,,,0.22,,Matches,1993-1994
19,Mauro Bacchin,it ITA,GK,Foggia,23,1969,6,6,540,6.0,0,,,,,0,0,0.00,,,,,Matches,1993-1994
20,Roberto Bacci,it ITA,DF,Lazio,26,1967,29,27,"2,537",28.2,0,,0,0,,8,0,0.00,,,0.00,,Matches,1993-1994
21,Dino Baggio,it ITA,MF,Juventus,22,1971,17,17,"1,446",16.1,0,,0,0,,2,0,0.00,,,0.00,,Matches,1993-1994
22,Roberto Baggio,it ITA,"FW,MF",Juventus,26,1967,32,32,"2,765",30.7,17,,11,6,,2,0,0.55,,,0.36,,Matches,1993-1994
23,Abel Balbo,ar ARG,FW,Roma,27,1966,30,29,"2,583",28.7,12,,11,1,,3,0,0.42,,,0.38,,Matches,1993-1994
24,Paolo Baldieri,it ITA,FW,Lecce,28,1965,29,28,"2,410",26.8,7,,6,1,,5,0,0.26,,,0.22,,Matches,1993-1994
26,Francesco Baldini,it ITA,DF,Juventus,19,1974,3,0,19,0.2,0,,0,0,,0,0,0.00,,,0.00,,Matches,1993-1994
27,David Balleri,it ITA,DF,Parma,24,1969,20,10,"1,078",12.0,1,,1,0,,2,3,0.08,,,0.08,,Matches,1993-1994
28,Marco Ballotta,it ITA,GK,Parma,29,1964,3,2,249,2.8,0,,0,0,,0,0,0.00,,,0.00,,Matches,1993-1994
29,Zoran Ban,hr CRO,FW,Juventus,20,1973,2,0,51,0.6,0,,0,0,,0,0,0.00,,,0.00,,Matches,1993-1994
30,Franco Baresi,it ITA,DF,Milan,33,1960,31,31,"2,790",31.0,0,,0,0,,4,0,0.00,,,0.00,,Matches,1993-1994
31,Marco Barollo,it ITA,MF,Lecce,21,1972,9,4,331,3.7,0,,0,0,,1,0,0.00,,,0.00,,Matches,1993-1994
32,Alfredo Bassani,it ITA,DF,Cremonese,23,1970,7,5,511,5.7,0,,0,0,,1,0,0.00,,,0.00,,Matches,1993-1994
33,Graziano Battistini,it ITA,GK,Udinese,22,1970,29,29,"2,610",29.0,0,,0,0,,1,0,0.00,,,0.00,,Matches,1993-1994
34,Sergio Battistini,it ITA,"DF,MF",Internazionale,30,1963,30,29,"2,612",29.0,3,,3,0,,3,0,0.10,,,0.10,,Matches,1993-1994
35,Claudio Bellucci,it ITA,FW,Sampdoria,18,1975,2,0,38,0.4,0,,0,0,,0,0,0.00,,,0.00,,Matches,1993-1994
36,Francesco Bellucci,it ITA,DF,Cagliari,20,1973,15,9,843,9.4,0,,0,0,,2,0,0.00,,,0.00,,Matches,1993-1994
37,Antonio Benarrivo,it ITA,DF,Parma,24,1968,28,28,"2,469",27.4,0,,0,0,,7,0,0.00,,,0.00,,Matches,1993-1994
38,Silvano Benedetti,it ITA,DF,Roma,27,1965,9,5,495,5.5,1,,1,0,,3,0,0.18,,,0.18,,Matches,1993-1994
39,Dennis Bergkamp,nl NED,FW,Internazionale,24,1969,31,30,"2,721",30.2,8,,3,5,,2,0,0.26,,,0.10,,Matches,1993-1994
40,Cristiano Bergodi,it ITA,DF,Lazio,28,1964,14,9,722,8.0,0,,0,0,,3,0,0.00,,,0.00,,Matches,1993-1994
41,Giuseppe Bergomi,it ITA,DF,Internazionale,29,1963,31,30,"2,546",28.3,0,,0,0,,6,2,0.00,,,0.00,,Matches,1993-1994
42,Alberto Bernardi,it ITA,FW,Torino,16,1977,1,0,1,0.0,0,,0,0,,0,0,0.00,,,0.00,,Matches,1993-1994
43,Daniele Berretta,it ITA,MF,Roma,21,1972,17,8,715,7.9,0,,0,0,,2,1,0.00,,,0.00,,Matches,1993-1994
44,Mauro Bertarelli,it ITA,FW,Sampdoria,22,1970,16,5,610,6.8,2,,2,0,,0,0,0.30,,,0.30,,Matches,1993-1994
45,Gianluca Berti,it ITA,GK,Genoa,26,1967,15,15,"1,341",14.9,0,,0,0,,1,1,0.00,,,0.00,,Matches,1993-1994
46,Nicola Berti,it ITA,MF,Internazionale,26,1967,9,6,570,6.3,2,,2,0,,0,0,0.32,,,0.32,,Matches,1993-1994
47,Valerio Bertotto,it ITA,DF,Udinese,18,1975,21,18,"1,767",19.6,1,,1,0,,7,0,0.05,,,0.05,,Matches,1993-1994
48,Giovanni Bia,it ITA,DF,Napoli,24,1968,28,28,"2,494",27.7,3,,3,0,,6,3,0.11,,,0.11,,Matches,1993-1994
49,Oberdan Biagioni,it ITA,MF,Udinese,23,1969,14,6,633,7.0,0,,0,0,,1,0,0.00,,,0.00,,Matches,1993-1994
50,Alessandro Bianchi,it ITA,MF,Internazionale,27,1966,10,5,441,4.9,0,,0,0,,0,0,0.00,,,0.00,,Matches,1993-1994
52,Andrea Bianchi,it ITA,MF,Genoa,24,1969,3,1,100,1.1,0,,0,0,,1,0,0.00,,,0.00,,Matches,1993-1994
53,David Bianchini,it ITA,DF,Foggia,22,1971,25,25,"2,147",23.9,0,,0,0,,11,3,0.00,,,0.00,,Matches,1993-1994
54,Tebaldo Bigliardi,it ITA,DF,Atalanta,30,1963,10,10,871,9.7,0,,0,0,,1,0,0.00,,,0.00,,Matches,1993-1994
55,Rosario Biondo,it ITA,DF,Lecce,26,1966,31,31,"2,790",31.0,2,,2,0,,7,0,0.06,,,0.06,,Matches,1993-1994
56,Pierpaolo Bisoli,it ITA,MF,Cagliari,26,1966,18,17,"1,432",15.9,0,,0,0,,2,2,0.00,,,0.00,,Matches,1993-1994
57,Zvonimir Boban,hr CRO,MF,Milan,24,1968,20,20,"1,667",18.5,4,,4,0,,5,0,0.22,,,0.22,,Matches,1993-1994
58,Alen Bokšić,hr CRO,FW,Lazio,23,1970,21,21,"1,756",19.5,4,,4,0,,1,1,0.21,,,0.21,,Matches,1993-1994
59,Valter Bonacina,it ITA,MF,Roma,29,1964,24,18,"1,522",16.9,1,,1,0,,6,3,0.06,,,0.06,,Matches,1993-1994
60,Mauro Bonomi,it ITA,DF,Lazio,20,1972,22,21,"1,873",20.8,0,,0,0,,10,0,0.00,,,0.00,,Matches,1993-1994
61,Roberto Bordin,it ITA,MF,Napoli,28,1965,32,32,"2,862",31.8,0,,0,0,,3,1,0.00,,,0.00,,Matches,1993-1994
62,Stefano Borgonovo,it ITA,"FW,MF",Udinese,29,1964,12,8,777,8.6,5,,5,0,,2,1,0.58,,,0.58,,Matches,1993-1994
63,Mario Bortolazzi,it ITA,MF,Genoa,28,1965,32,31,"2,804",31.2,0,,0,0,,7,0,0.00,,,0.00,,Matches,1993-1994
64,Nicola Boselli,it ITA,DF,Atalanta,21,1972,2,1,96,1.1,0,,0,0,,0,0,0.00,,,0.00,,Matches,1993-1994
65,Marco Branca,it ITA,FW,Udinese,28,1965,29,28,"2,530",28.1,14,,9,5,,2,0,0.50,,,0.32,,Matches,1993-1994
66,Giorgio Bresciani,it ITA,FW,Napoli,24,1969,11,4,457,5.1,1,,1,0,,1,0,0.20,,,0.20,,Matches,1993-1994
67,Pierpaolo Bresciani,it ITA,MF,Foggia,23,1970,28,28,"2,203",24.5,4,,4,0,,6,1,0.16,,,0.16,,Matches,1993-1994
68,Massimo Brioschi,it ITA,DF,Piacenza,24,1969,23,13,"1,286",14.3,1,,1,0,,4,1,0.07,,,0.07,,Matches,1993-1994
69,Tomas Brolin,se SWE,"FW,MF",Parma,23,1969,29,29,"2,563",28.5,5,,3,2,,4,0,0.18,,,0.11,,Matches,1993-1994
70,Giovanni Bucaro,it ITA,DF,Foggia,22,1970,12,7,813,9.0,0,,0,0,,3,0,0.00,,,0.00,,Matches,1993-1994
71,Roberto Bucchioni,it ITA,DF,Sampdoria,20,1973,4,3,279,3.1,0,,0,0,,1,0,0.00,,,0.00,,Matches,1993-1994
72,Luca Bucci,it ITA,GK,Parma,24,1969,32,32,"2,811",31.2,0,,0,0,,2,0,0.00,,,0.00,,Matches,1993-1994
73,Renato Buso,it ITA,MF,Napoli,23,1969,31,22,"2,060",22.9,4,,4,0,,5,0,0.17,,,0.17,,Matches,1993-1994
74,Gérson Caçapa,br BRA,MF,Lecce,26,1967,31,31,"2,681",29.8,3,,3,0,,9,0,0.10,,,0.10,,Matches,1993-1994
