,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches,Season
230,Diego Godín,uy URU,DF,Cagliari,34,1986,28,28,"2,508",27.9,1,0,1,0,0,3,0,0.04,0.00,0.04,0.04,0.04,0.7,0.7,0.5,1.2,0.03,0.02,0.04,0.03,0.04,Matches,2020-2021
231,Amer Gojak,ba BIH,"MF,FW",Torino,23,1997,15,6,475,5.3,1,1,1,0,0,1,0,0.19,0.19,0.38,0.19,0.38,0.8,0.8,0.3,1.2,0.16,0.06,0.22,0.16,0.22,Matches,2020-2021
232,Edoardo Goldaniga,it ITA,DF,Genoa,26,1993,25,19,"1,857",20.6,0,1,0,0,0,8,0,0.00,0.05,0.05,0.00,0.05,0.4,0.4,1.0,1.4,0.02,0.05,0.07,0.02,0.07,Matches,2020-2021
234,Vladimir Golemić,si SVN,DF,Crotone,29,1991,30,26,"2,341",26.0,2,0,1,1,1,4,1,0.08,0.00,0.08,0.04,0.04,1.2,0.5,0.2,0.7,0.05,0.01,0.06,0.02,0.03,Matches,2020-2021
235,Pierluigi Gollini,it ITA,GK,Atalanta,25,1995,25,25,"2,156",24.0,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,2020-2021
236,Tomislav Gomelt,hr CRO,MF,Crotone,25,1995,2,0,19,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,2020-2021
237,Papu Gómez,ar ARG,"FW,MF",Atalanta,32,1988,10,9,666,7.4,4,2,4,0,0,0,0,0.54,0.27,0.81,0.54,0.81,2.2,2.2,1.4,3.7,0.30,0.19,0.50,0.30,0.50,Matches,2020-2021
238,Robin Gosens,de GER,DF,Atalanta,26,1994,32,30,"2,523",28.0,10,6,10,0,0,9,1,0.36,0.21,0.57,0.36,0.57,6.9,6.9,3.9,10.8,0.25,0.14,0.39,0.25,0.39,Matches,2020-2021
239,Alberto Grassi,it ITA,"MF,DF",Parma,25,1995,23,13,"1,177",13.1,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.6,0.6,0.4,1.0,0.05,0.03,0.08,0.05,0.08,Matches,2020-2021
240,Koray Günter,de GER,DF,Hellas Verona,25,1994,27,21,"1,768",19.6,0,2,0,0,0,4,0,0.00,0.10,0.10,0.00,0.10,0.3,0.3,0.4,0.6,0.01,0.02,0.03,0.01,0.03,Matches,2020-2021
241,Emmanuel Gyasi,gh GHA,FW,Spezia,26,1994,37,32,"2,851",31.7,4,6,4,0,0,4,0,0.13,0.19,0.32,0.13,0.32,6.5,6.5,4.2,10.7,0.20,0.13,0.34,0.20,0.34,Matches,2020-2021
242,Achraf Hakimi,ma MAR,DF,Inter,21,1998,37,29,"2,665",29.6,7,8,7,0,0,6,0,0.24,0.27,0.51,0.24,0.51,4.6,4.6,6.7,11.4,0.16,0.23,0.38,0.16,0.38,Matches,2020-2021
243,Samir Handanović,si SVN,GK,Inter,36,1984,37,37,"3,240",36.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,2020-2021
244,Lukáš Haraslín,sk SVK,"FW,MF",Sassuolo,24,1996,14,2,333,3.7,0,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.9,0.9,0.9,1.8,0.25,0.24,0.49,0.25,0.49,Matches,2020-2021
245,Hans Hateboer,nl NED,DF,Atalanta,26,1994,22,20,"1,762",19.6,2,1,2,0,0,3,0,0.10,0.05,0.15,0.10,0.15,3.1,3.1,1.5,4.6,0.16,0.08,0.24,0.16,0.24,Matches,2020-2021
246,Eduardo Henrique,br BRA,MF,Crotone,25,1995,18,8,924,10.3,1,0,1,0,0,4,0,0.10,0.00,0.10,0.10,0.10,1.2,1.2,0.1,1.4,0.12,0.01,0.13,0.12,0.13,Matches,2020-2021
247,Theo Hernández,fr FRA,DF,Milan,22,1997,33,33,"2,933",32.6,7,5,7,0,0,9,0,0.21,0.15,0.37,0.21,0.37,3.6,3.6,5.2,8.9,0.11,0.16,0.27,0.11,0.27,Matches,2020-2021
248,Hernani,br BRA,MF,Parma,26,1994,33,27,"2,189",24.3,7,3,6,1,1,11,0,0.29,0.12,0.41,0.25,0.37,3.3,2.5,2.6,5.1,0.13,0.11,0.24,0.10,0.21,Matches,2020-2021
249,Përparim Hetemaj,fi FIN,MF,Benevento,33,1986,31,27,"2,212",24.6,0,2,0,0,0,5,0,0.00,0.08,0.08,0.00,0.08,0.8,0.8,1.4,2.2,0.03,0.06,0.09,0.03,0.09,Matches,2020-2021
250,Aaron Hickey,sct SCO,DF,Bologna,18,2002,11,10,758,8.4,0,0,0,0,0,3,1,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.3,0.4,0.01,0.04,0.05,0.01,0.05,Matches,2020-2021
251,Wesley Hoedt,nl NED,DF,Lazio,26,1994,17,10,952,10.6,0,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.2,0.01,0.01,0.02,0.01,0.02,Matches,2020-2021
252,Elseid Hysaj,al ALB,DF,Napoli,26,1994,24,20,"1,768",19.6,0,2,0,0,0,2,0,0.00,0.10,0.10,0.00,0.10,0.2,0.2,1.6,1.8,0.01,0.08,0.09,0.01,0.09,Matches,2020-2021
253,Simone Iacoponi,it ITA,DF,Parma,33,1987,16,13,"1,193",13.3,0,0,0,0,0,3,1,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.01,0.00,0.01,0.01,0.01,Matches,2020-2021
254,Roger Ibanez,br BRA,DF,Roma,21,1998,30,28,"2,398",26.6,0,2,0,0,0,7,1,0.00,0.08,0.08,0.00,0.08,0.9,0.9,0.6,1.5,0.03,0.02,0.05,0.03,0.05,Matches,2020-2021
255,Zlatan Ibrahimović,se SWE,FW,Milan,38,1981,19,18,"1,493",16.6,15,2,12,3,6,2,1,0.90,0.12,1.02,0.72,0.84,16.3,12.1,1.5,13.6,0.98,0.09,1.07,0.73,0.82,Matches,2020-2021
256,Igor,br BRA,DF,Fiorentina,22,1998,21,13,"1,168",13.0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.2,0.3,0.01,0.01,0.03,0.01,0.03,Matches,2020-2021
257,Ivan Ilić,rs SRB,MF,Hellas Verona,19,2001,29,19,"1,835",20.4,2,0,2,0,0,2,0,0.10,0.00,0.10,0.10,0.10,1.1,1.1,0.7,1.8,0.05,0.04,0.09,0.05,0.09,Matches,2020-2021
258,Josip Iličić,si SVN,"FW,MF",Atalanta,32,1988,28,17,"1,526",17.0,6,9,4,2,2,2,0,0.35,0.53,0.88,0.24,0.77,5.6,4.1,7.8,11.9,0.33,0.46,0.79,0.24,0.70,Matches,2020-2021
260,Ciro Immobile,it ITA,FW,Lazio,30,1990,35,34,"2,849",31.7,20,6,16,4,8,4,1,0.63,0.19,0.82,0.51,0.69,19.9,13.9,6.7,20.5,0.63,0.21,0.84,0.44,0.65,Matches,2020-2021
261,Riccardo Improta,it ITA,"MF,DF",Benevento,26,1993,34,23,"2,335",25.9,1,0,1,0,0,7,0,0.04,0.00,0.04,0.04,0.04,2.3,2.3,1.7,4.0,0.09,0.07,0.16,0.09,0.16,Matches,2020-2021
262,Roberto Inglese,it ITA,FW,Parma,28,1991,14,6,576,6.4,0,2,0,0,0,2,0,0.00,0.31,0.31,0.00,0.31,0.6,0.6,1.0,1.6,0.09,0.15,0.24,0.09,0.24,Matches,2020-2021
263,Lorenzo Insigne,it ITA,FW,Napoli,29,1991,35,33,"2,865",31.8,19,8,12,7,8,2,1,0.60,0.25,0.85,0.38,0.63,16.2,10.0,8.5,18.4,0.51,0.27,0.77,0.31,0.58,Matches,2020-2021
264,Roberto Insigne,it ITA,"MF,FW",Benevento,26,1994,30,17,"1,599",17.8,2,4,2,0,0,2,0,0.11,0.23,0.34,0.11,0.34,3.5,3.5,3.6,7.2,0.20,0.20,0.40,0.20,0.40,Matches,2020-2021
265,Artur Ioniță,md MDA,MF,Benevento,29,1990,36,34,"2,835",31.5,2,0,2,0,0,6,0,0.06,0.00,0.06,0.06,0.06,1.5,1.5,0.4,1.9,0.05,0.01,0.06,0.05,0.06,Matches,2020-2021
266,Ardian Ismajli,al ALB,DF,Spezia,23,1996,17,14,"1,297",14.4,1,1,1,0,0,3,1,0.07,0.07,0.14,0.07,0.14,0.5,0.5,0.0,0.5,0.03,0.00,0.03,0.03,0.03,Matches,2020-2021
267,Armando Izzo,it ITA,DF,Torino,28,1992,25,24,"2,004",22.3,2,0,2,0,0,3,0,0.09,0.00,0.09,0.09,0.09,1.4,1.4,0.4,1.8,0.06,0.02,0.08,0.06,0.08,Matches,2020-2021
268,Mato Jajalo,ba BIH,MF,Udinese,32,1988,1,0,34,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,2020-2021
269,Jakub Jankto,cz CZE,MF,Sampdoria,24,1996,35,29,"2,409",26.8,6,3,6,0,0,6,0,0.22,0.11,0.34,0.22,0.34,5.1,5.1,3.1,8.2,0.19,0.12,0.31,0.19,0.31,Matches,2020-2021
270,Juan Jesus,br BRA,DF,Roma,29,1991,5,0,157,1.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,2020-2021
271,Hamed Junior Traorè,ci CIV,"FW,MF",Sassuolo,20,2000,35,20,"1,789",19.9,5,2,5,0,0,6,0,0.25,0.10,0.35,0.25,0.35,4.4,4.4,3.6,8.0,0.22,0.18,0.40,0.22,0.40,Matches,2020-2021
272,Musa Juwara,gm GAM,DF,Bologna,18,2001,5,0,46,0.5,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.04,0.00,0.04,0.04,0.04,Matches,2020-2021
273,Nikola Kalinić,hr CRO,FW,Hellas Verona,32,1988,19,15,"1,063",11.8,2,0,2,0,0,2,0,0.17,0.00,0.17,0.17,0.17,4.0,4.0,0.3,4.3,0.34,0.03,0.36,0.34,0.36,Matches,2020-2021
274,Yayah Kallon,sl SLE,"FW,MF",Genoa,19,2001,1,0,45,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.2,0.28,0.08,0.36,0.28,0.36,Matches,2020-2021
275,Pierre Kalulu,fr FRA,DF,Milan,20,2000,13,7,727,8.1,1,1,1,0,0,1,0,0.12,0.12,0.25,0.12,0.25,0.6,0.6,0.4,1.0,0.08,0.05,0.13,0.08,0.13,Matches,2020-2021
276,Yann Karamoh,fr FRA,"FW,MF",Parma,22,1998,24,16,"1,294",14.4,2,1,2,0,0,3,0,0.14,0.07,0.21,0.14,0.21,3.3,3.3,2.0,5.3,0.23,0.14,0.37,0.23,0.37,Matches,2020-2021
277,Isaac Karamoko,fr FRA,DF,Sassuolo,18,2002,1,0,1,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,2020-2021
