,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches,Season
410,Declan Rice,eng ENG,MF,West Ham,21,1999,32,32,"2,879",32.0,2,1,1,1,2,2,0,0.06,0.03,0.09,0.03,0.06,3.0,1.5,2.1,3.5,0.09,0.06,0.16,0.05,0.11,Matches,2020-2021
411,Lewis Richardson,eng ENG,"FW,MF",Burnley,17,2003,2,0,4,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,2020-2021
412,Richarlison,br BRA,FW,Everton,23,1997,34,33,"2,861",31.8,7,3,6,1,1,4,1,0.22,0.09,0.31,0.19,0.28,11.5,10.7,3.2,13.8,0.36,0.10,0.46,0.34,0.44,Matches,2020-2021
413,Jaïro Riedewald,nl NED,MF,Crystal Palace,23,1996,33,19,"1,820",20.2,2,0,2,0,0,4,0,0.10,0.00,0.10,0.10,0.10,0.7,0.7,1.0,1.6,0.03,0.05,0.08,0.03,0.08,Matches,2020-2021
414,Matt Ritchie,sct SCO,"DF,MF",Newcastle Utd,30,1989,18,15,"1,350",15.0,0,2,0,0,0,2,0,0.00,0.13,0.13,0.00,0.13,0.4,0.4,1.5,1.9,0.03,0.10,0.13,0.03,0.13,Matches,2020-2021
416,Tyler Roberts,wls WAL,"MF,FW",Leeds United,21,1999,27,14,"1,340",14.9,1,2,1,0,0,3,0,0.07,0.13,0.20,0.07,0.20,2.1,2.1,1.8,3.8,0.14,0.12,0.26,0.14,0.26,Matches,2020-2021
417,Andrew Robertson,sct SCO,DF,Liverpool,26,1994,38,38,"3,383",37.6,1,7,1,0,0,2,0,0.03,0.19,0.21,0.03,0.21,1.4,1.4,6.9,8.2,0.04,0.18,0.22,0.04,0.22,Matches,2020-2021
418,Antonee Robinson,us USA,DF,Fulham,22,1997,28,24,"2,162",24.0,0,0,0,0,0,4,1,0.00,0.00,0.00,0.00,0.00,0.6,0.6,1.6,2.2,0.02,0.07,0.09,0.02,0.09,Matches,2020-2021
419,Callum Robinson,ie IRL,"FW,MF",West Brom,25,1995,28,20,"1,560",17.3,5,0,5,0,0,0,0,0.29,0.00,0.29,0.29,0.29,3.1,3.1,0.8,3.9,0.18,0.05,0.22,0.18,0.22,Matches,2020-2021
420,Jack Robinson,eng ENG,DF,Sheffield Utd,26,1993,11,9,877,9.7,0,1,0,0,0,3,0,0.00,0.10,0.10,0.00,0.10,0.4,0.4,0.9,1.2,0.04,0.09,0.13,0.04,0.13,Matches,2020-2021
421,Hal Robson-Kanu,wls WAL,"FW,MF",West Brom,31,1989,19,2,561,6.2,2,0,2,0,0,2,0,0.32,0.00,0.32,0.32,0.32,1.5,1.5,0.4,1.9,0.24,0.06,0.30,0.24,0.30,Matches,2020-2021
422,Marek Rodák,sk SVK,GK,Fulham,23,1996,2,2,180,2.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,2020-2021
423,Joe Rodon,wls WAL,DF,Tottenham,22,1997,12,8,733,8.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,2020-2021
424,Rodri,es ESP,MF,Manchester City,24,1996,34,31,"2,748",30.5,2,2,1,1,1,6,0,0.07,0.07,0.13,0.03,0.10,2.5,1.7,1.7,3.4,0.08,0.06,0.14,0.06,0.11,Matches,2020-2021
425,Rodrigo,es ESP,"MF,FW",Leeds United,29,1991,26,14,"1,288",14.3,7,2,7,0,0,3,0,0.49,0.14,0.63,0.49,0.63,6.3,6.3,2.4,8.6,0.44,0.17,0.60,0.44,0.60,Matches,2020-2021
426,James Rodríguez,co COL,"FW,MF",Everton,29,1991,23,21,"1,764",19.6,6,4,6,0,0,4,0,0.31,0.20,0.51,0.31,0.51,3.4,3.4,5.4,8.8,0.17,0.28,0.45,0.17,0.45,Matches,2020-2021
427,Jay Rodriguez,eng ENG,"FW,MF",Burnley,31,1989,31,12,"1,265",14.1,1,2,1,0,0,3,0,0.07,0.14,0.21,0.07,0.21,2.6,2.6,1.7,4.3,0.18,0.12,0.31,0.18,0.31,Matches,2020-2021
428,Oriol Romeu,es ESP,MF,Southampton,28,1991,21,20,"1,763",19.6,1,1,1,0,0,6,0,0.05,0.05,0.10,0.05,0.10,0.4,0.4,1.1,1.5,0.02,0.05,0.08,0.02,0.08,Matches,2020-2021
429,John Ruddy,eng ENG,GK,Wolves,33,1986,2,1,91,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,2020-2021
430,Antonio Rüdiger,de GER,DF,Chelsea,27,1993,19,19,"1,710",19.0,1,0,1,0,0,0,0,0.05,0.00,0.05,0.05,0.05,1.1,1.1,0.3,1.4,0.06,0.02,0.08,0.06,0.08,Matches,2020-2021
431,Mathew Ryan,au AUS,GK,Brighton,28,1992,11,11,990,11.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,2020-2021
432,Mathew Ryan,au AUS,GK,Arsenal,28,1992,3,3,270,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,2020-2021
433,Allan Saint-Maximin,fr FRA,"FW,MF",Newcastle Utd,23,1997,25,19,"1,560",17.3,3,4,3,0,0,0,0,0.17,0.23,0.40,0.17,0.40,2.6,2.6,3.3,5.9,0.15,0.19,0.34,0.15,0.34,Matches,2020-2021
434,Romain Saïss,ma MAR,DF,Wolves,30,1990,27,27,"2,407",26.7,3,0,3,0,0,2,0,0.11,0.00,0.11,0.11,0.11,3.5,3.5,0.3,3.8,0.13,0.01,0.14,0.13,0.14,Matches,2020-2021
435,Bukayo Saka,eng ENG,"FW,DF",Arsenal,18,2001,32,30,"2,553",28.4,5,3,5,0,0,1,0,0.18,0.11,0.28,0.18,0.28,6.9,6.9,4.7,11.6,0.24,0.17,0.41,0.24,0.41,Matches,2020-2021
436,Mamadou Sakho,fr FRA,DF,Crystal Palace,30,1990,4,3,276,3.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.01,0.00,0.01,0.01,0.01,Matches,2020-2021
437,Mohamed Salah,eg EGY,FW,Liverpool,28,1992,37,34,"3,078",34.2,22,5,16,6,6,0,0,0.64,0.15,0.79,0.47,0.61,20.9,16.4,6.3,22.6,0.61,0.18,0.79,0.48,0.66,Matches,2020-2021
438,Mohammed Salisu,gh GHA,DF,Southampton,21,1999,12,8,844,9.4,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.0,0.4,0.04,0.00,0.05,0.04,0.05,Matches,2020-2021
439,Davinson Sánchez,co COL,DF,Tottenham,24,1996,18,17,"1,486",16.5,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,1.1,1.1,0.0,1.1,0.07,0.00,0.07,0.07,0.07,Matches,2020-2021
440,Robert Sánchez,es ESP,GK,Brighton,22,1997,27,27,"2,430",27.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,2020-2021
442,Morgan Sanson,fr FRA,MF,Aston Villa,25,1994,9,3,294,3.3,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.2,0.01,0.04,0.05,0.01,0.05,Matches,2020-2021
443,Romaine Sawyers,kn SKN,MF,West Brom,28,1991,19,17,"1,487",16.5,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.4,0.5,0.01,0.02,0.03,0.01,0.03,Matches,2020-2021
444,Dane Scarlett,eng ENG,FW,Tottenham,16,2004,1,0,1,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,2020-2021
445,Fabian Schär,ch SUI,DF,Newcastle Utd,28,1991,18,13,"1,246",13.8,1,0,0,1,1,4,1,0.07,0.00,0.07,0.00,0.00,1.2,0.4,0.0,0.4,0.08,0.00,0.09,0.03,0.03,Matches,2020-2021
446,Jeffrey Schlupp,gh GHA,MF,Crystal Palace,27,1992,27,15,"1,428",15.9,2,3,2,0,0,3,0,0.13,0.19,0.32,0.13,0.32,1.6,1.6,1.7,3.3,0.10,0.11,0.21,0.10,0.21,Matches,2020-2021
447,Kasper Schmeichel,dk DEN,GK,Leicester City,33,1986,38,38,"3,420",38.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,2020-2021
448,Nélson Semedo,pt POR,DF,Wolves,26,1993,34,34,"2,983",33.1,1,1,1,0,0,5,0,0.03,0.03,0.06,0.03,0.06,1.9,1.9,1.1,3.0,0.06,0.03,0.09,0.06,0.09,Matches,2020-2021
449,Femi Seriki,eng ENG,DF,Sheffield Utd,18,2002,1,0,1,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,2020-2021
450,Jamie Shackleton,eng ENG,"MF,DF",Leeds United,20,1999,13,3,461,5.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.3,0.3,0.00,0.05,0.05,0.00,0.05,Matches,2020-2021
451,Xherdan Shaqiri,ch SUI,"MF,FW",Liverpool,28,1991,14,5,556,6.2,0,2,0,0,0,2,0,0.00,0.32,0.32,0.00,0.32,0.4,0.4,3.0,3.4,0.06,0.49,0.55,0.06,0.55,Matches,2020-2021
452,Billy Sharp,eng ENG,FW,Sheffield Utd,34,1986,16,7,735,8.2,3,0,1,2,2,1,0,0.37,0.00,0.37,0.12,0.12,2.7,1.2,0.6,1.8,0.33,0.07,0.40,0.15,0.22,Matches,2020-2021
453,Luke Shaw,eng ENG,DF,Manchester Utd,25,1995,32,30,"2,654",29.5,1,5,1,0,0,8,0,0.03,0.17,0.20,0.03,0.20,0.7,0.7,5.2,5.9,0.02,0.18,0.20,0.02,0.20,Matches,2020-2021
454,Jonjo Shelvey,eng ENG,MF,Newcastle Utd,28,1992,30,29,"2,617",29.1,1,3,1,0,0,7,0,0.03,0.10,0.14,0.03,0.14,2.5,2.5,2.7,5.2,0.08,0.09,0.18,0.08,0.18,Matches,2020-2021
455,Shola Shoretire,eng ENG,FW,Manchester Utd,16,2004,2,0,11,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,2020-2021
456,Gylfi Sigurðsson,is ISL,MF,Everton,30,1989,36,24,"2,253",25.0,6,5,3,3,4,2,0,0.24,0.20,0.44,0.12,0.32,6.8,3.7,5.0,8.7,0.27,0.20,0.47,0.15,0.35,Matches,2020-2021
457,Bernardo Silva,pt POR,"MF,FW",Manchester City,25,1994,26,24,"2,065",22.9,2,6,2,0,0,5,0,0.09,0.26,0.35,0.09,0.35,2.8,2.8,3.7,6.5,0.12,0.16,0.28,0.12,0.28,Matches,2020-2021
458,Fábio Silva,pt POR,FW,Wolves,18,2002,32,11,"1,369",15.2,4,3,3,1,1,2,0,0.26,0.20,0.46,0.20,0.39,6.0,5.3,0.5,5.8,0.40,0.04,0.43,0.35,0.38,Matches,2020-2021
459,Thiago Silva,br BRA,DF,Chelsea,35,1984,23,23,"1,935",21.5,2,0,2,0,0,5,1,0.09,0.00,0.09,0.09,0.09,1.1,1.1,0.3,1.5,0.05,0.02,0.07,0.05,0.07,Matches,2020-2021
460,Moussa Sissoko,fr FRA,MF,Tottenham,30,1989,25,15,"1,585",17.6,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.5,0.9,0.02,0.03,0.05,0.02,0.05,Matches,2020-2021
461,Islam Slimani,dz ALG,FW,Leicester City,32,1988,1,0,20,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.1,0.19,0.13,0.32,0.19,0.32,Matches,2020-2021
462,William Smallbone,ie IRL,MF,Southampton,20,2000,3,2,172,1.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.04,0.00,0.04,0.04,0.04,Matches,2020-2021
463,Emile Smith Rowe,eng ENG,"MF,FW",Arsenal,20,2000,20,18,"1,440",16.0,2,4,2,0,0,0,0,0.12,0.25,0.37,0.12,0.37,2.0,2.0,3.0,5.0,0.13,0.18,0.31,0.13,0.31,Matches,2020-2021
464,Robert Snodgrass,sct SCO,"MF,FW",West Brom,32,1987,8,6,526,5.8,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.3,0.5,0.03,0.06,0.09,0.03,0.09,Matches,2020-2021
465,Robert Snodgrass,sct SCO,"FW,DF",West Ham,32,1987,3,0,5,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,2020-2021
