,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,Season
0,Emmanuel Adebayor,tg TOG,FW,Arsenal,24,1984,26,21,"1,876",20.8,10,4,9,1,1,4,1,0.48,0.19,0.67,0.43,0.62,Matches,2008-2009
1,Gabby Agbonlahor,eng ENG,"FW,MF",Aston Villa,21,1986,36,35,"3,122",34.7,12,5,12,0,0,4,0,0.35,0.14,0.49,0.35,0.49,Matches,2008-2009
2,Daniel Agger,dk DEN,DF,Liverpool,23,1984,18,15,"1,370",15.2,1,2,1,0,0,2,0,0.07,0.13,0.20,0.07,0.20,Matches,2008-2009
3,Yakubu Aiyegbeni,ng NGA,FW,Everton,25,1982,14,14,"1,119",12.4,4,1,4,0,1,2,0,0.32,0.08,0.40,0.32,0.40,Matches,2008-2009
4,Alex,br BRA,DF,Chelsea,26,1982,24,22,"1,972",21.9,2,1,2,0,0,1,0,0.09,0.05,0.14,0.09,0.14,Matches,2008-2009
5,Jérémie Aliadière,fr FRA,"FW,MF",Middlesbrough,25,1983,29,27,"2,260",25.1,2,2,2,0,0,1,0,0.08,0.08,0.16,0.08,0.16,Matches,2008-2009
6,Manuel Almunia,es ESP,GK,Arsenal,31,1977,32,32,"2,867",31.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2008-2009
7,Xabi Alonso,es ESP,MF,Liverpool,26,1981,33,27,"2,563",28.5,3,4,2,1,1,5,0,0.11,0.14,0.25,0.07,0.21,Matches,2008-2009
8,Afonso Alves,br BRA,"FW,MF",Middlesbrough,27,1981,31,24,"2,164",24.0,4,1,3,1,1,2,0,0.17,0.04,0.21,0.12,0.17,Matches,2008-2009
9,Shola Ameobi,ng NGA,FW,Newcastle Utd,26,1981,22,14,"1,259",14.0,4,1,3,1,1,1,0,0.29,0.07,0.36,0.21,0.29,Matches,2008-2009
10,Anderson,br BRA,MF,Manchester Utd,20,1988,17,11,930,10.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2008-2009
11,Leon Andreasen,dk DEN,"DF,MF",Fulham,25,1983,6,0,37,0.4,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,2008-2009
12,Keith Andrews,ie IRL,MF,Blackburn,27,1980,33,27,"2,384",26.5,4,0,4,0,0,6,0,0.15,0.00,0.15,0.15,0.15,Matches,2008-2009
13,Nicolas Anelka,fr FRA,FW,Chelsea,29,1979,37,33,"2,913",32.4,19,2,19,0,0,0,0,0.59,0.06,0.65,0.59,0.65,Matches,2008-2009
14,Victor Anichebe,ng NGA,FW,Everton,20,1988,17,5,582,6.5,1,1,1,0,0,0,0,0.15,0.15,0.31,0.15,0.31,Matches,2008-2009
15,Álvaro Arbeloa,es ESP,DF,Liverpool,25,1983,29,29,"2,575",28.6,1,1,1,0,0,9,0,0.03,0.03,0.07,0.03,0.07,Matches,2008-2009
16,Julio Arca,ar ARG,"DF,MF",Middlesbrough,27,1981,18,14,"1,160",12.9,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Matches,2008-2009
17,Andrey Arshavin,ru RUS,"FW,MF",Arsenal,27,1981,12,12,993,11.0,7,5,7,0,0,2,0,0.63,0.45,1.09,0.63,1.09,Matches,2008-2009
18,Mikel Arteta,es ESP,MF,Everton,26,1982,26,26,"2,249",25.0,6,6,4,2,2,3,0,0.24,0.24,0.48,0.16,0.40,Matches,2008-2009
19,Ian Ashbee,eng ENG,MF,Hull City,31,1976,31,31,"2,692",29.9,1,1,1,0,0,10,0,0.03,0.03,0.07,0.03,0.07,Matches,2008-2009
20,Dean Ashton,eng ENG,FW,West Ham,24,1983,4,4,248,2.8,2,0,2,0,0,0,0,0.73,0.00,0.73,0.73,0.73,Matches,2008-2009
21,Benoît Assou-Ekotto,cm CMR,DF,Tottenham,24,1984,29,29,"2,436",27.1,0,1,0,0,0,3,2,0.00,0.04,0.04,0.00,0.04,Matches,2008-2009
22,Fábio Aurélio,br BRA,"DF,MF",Liverpool,28,1979,24,19,"1,738",19.3,2,4,2,0,0,1,0,0.10,0.21,0.31,0.10,0.31,Matches,2008-2009
23,Ryan Babel,nl NED,"FW,MF",Liverpool,21,1986,27,6,852,9.5,3,1,3,0,0,2,0,0.32,0.11,0.42,0.32,0.42,Matches,2008-2009
24,Leighton Baines,eng ENG,DF,Everton,23,1984,31,26,"2,329",25.9,1,6,1,0,0,2,0,0.04,0.23,0.27,0.04,0.27,Matches,2008-2009
26,Chris Baird,nir NIR,"DF,MF",Fulham,26,1982,10,3,267,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2008-2009
27,Gareth Bale,wls WAL,"FW,MF",Tottenham,19,1989,16,12,994,11.0,0,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,Matches,2008-2009
28,Michael Ball,eng ENG,DF,Manchester City,28,1979,8,8,713,7.9,0,1,0,0,0,0,0,0.00,0.13,0.13,0.00,0.13,Matches,2008-2009
29,Michael Ballack,de GER,MF,Chelsea,31,1976,29,22,"2,030",22.6,1,4,1,0,0,6,0,0.04,0.18,0.22,0.04,0.22,Matches,2008-2009
30,Phil Bardsley,sct SCO,DF,Sunderland,23,1985,28,27,"2,459",27.3,0,0,0,0,0,11,0,0.00,0.00,0.00,0.00,0.00,Matches,2008-2009
31,Nick Barmby,eng ENG,"FW,MF",Hull City,34,1974,21,13,"1,097",12.2,1,1,1,0,0,2,0,0.08,0.08,0.16,0.08,0.16,Matches,2008-2009
32,Leon Barnett,eng ENG,DF,West Brom,22,1985,11,10,912,10.1,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,2008-2009
33,Gareth Barry,eng ENG,MF,Aston Villa,27,1981,38,38,"3,383",37.6,5,7,1,4,4,8,0,0.13,0.19,0.32,0.03,0.21,Matches,2008-2009
34,Joey Barton,eng ENG,MF,Newcastle Utd,25,1982,9,6,450,5.0,1,1,0,1,1,2,1,0.20,0.20,0.40,0.00,0.20,Matches,2008-2009
35,Chris Basham,eng ENG,"DF,MF",Bolton,20,1988,11,4,471,5.2,1,0,1,0,0,0,0,0.19,0.00,0.19,0.19,0.19,Matches,2008-2009
36,Angelos Basinas,gr GRE,MF,Portsmouth,32,1976,3,3,226,2.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2008-2009
37,Sébastien Bassong,cm CMR,DF,Newcastle Utd,22,1986,30,26,"2,386",26.5,0,0,0,0,0,3,2,0.00,0.00,0.00,0.00,0.00,Matches,2008-2009
38,Matthew Bates,eng ENG,DF,Middlesbrough,21,1986,17,15,"1,384",15.4,1,0,1,0,0,4,1,0.07,0.00,0.07,0.07,0.07,Matches,2008-2009
39,Jose Baxter,eng ENG,"FW,MF",Everton,16,1992,3,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2008-2009
40,Craig Beattie,sct SCO,FW,West Brom,24,1984,7,1,155,1.7,1,0,1,0,0,0,0,0.58,0.00,0.58,0.58,0.58,Matches,2008-2009
41,James Beattie,eng ENG,FW,Stoke City,30,1978,16,16,"1,367",15.2,7,3,6,1,1,1,0,0.46,0.20,0.66,0.40,0.59,Matches,2008-2009
42,Roman Bednář,cz CZE,FW,West Brom,25,1983,26,12,"1,197",13.3,6,1,5,1,2,6,0,0.45,0.08,0.53,0.38,0.45,Matches,2008-2009
43,Asmir Begović,ba BIH,GK,Portsmouth,21,1987,2,2,180,2.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2008-2009
44,Valon Behrami,ch SUI,"DF,MF",West Ham,23,1985,24,24,"2,001",22.2,1,1,1,0,0,4,0,0.04,0.04,0.09,0.04,0.09,Matches,2008-2009
45,Nadir Belhadj,dz ALG,"DF,MF",Portsmouth,26,1982,29,21,"1,930",21.4,2,3,2,0,0,3,1,0.09,0.14,0.23,0.09,0.23,Matches,2008-2009
46,Craig Bellamy,wls WAL,FW,Manchester City,29,1979,8,7,631,7.0,2,0,2,0,0,1,0,0.29,0.00,0.29,0.29,0.29,Matches,2008-2009
47,Craig Bellamy,wls WAL,FW,West Ham,29,1979,16,13,"1,231",13.7,5,0,5,0,0,5,0,0.37,0.00,0.37,0.37,0.37,Matches,2008-2009
48,Juliano Belletti,br BRA,"DF,MF",Chelsea,32,1976,20,5,718,8.0,3,0,3,0,0,2,0,0.38,0.00,0.38,0.38,0.38,Matches,2008-2009
49,Tal Ben Haim,il ISR,DF,Manchester City,26,1982,9,8,765,8.5,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,2008-2009
50,Tal Ben Haim,il ISR,DF,Sunderland,26,1982,5,5,436,4.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2008-2009
52,Yossi Benayoun,il ISR,MF,Liverpool,28,1980,32,21,"1,887",21.0,8,5,8,0,0,0,0,0.38,0.24,0.62,0.38,0.62,Matches,2008-2009
