club_name,player_name,age,position,club_involved_name,fee,transfer_movement,transfer_period,fee_cleaned,league_name,year,season
FC Girondins Bordeaux,Hervé Alicarte,23,Sweeper,Montpellier,€3.30m,in,Summer,3.3,Ligue 1,1998,1998/1999
FC Girondins Bordeaux,Ivan Vukomanovic,21,Defensive Midfield,FK Obilic,free transfer,in,Summer,NA,Ligue 1,1998,1998/1999
FC Girondins Bordeaux,Ali Benarbia,29,Attacking Midfield,Monaco,?,in,Summer,NA,Ligue 1,1998,1998/1999
FC Girondins Bordeaux,Víctor Torres Mestre,27,Left-Back,Espanyol,?,in,Summer,NA,Ligue 1,1998,1998/1999
FC Girondins Bordeaux,Pascal Feindouno,17,Right Winger,Bordeaux U19,-,in,Summer,0,Ligue 1,1998,1998/1999
FC Girondins Bordeaux,Bruno Da Rocha,20,Defensive Midfield,G. Bordeaux B,-,in,Summer,0,Ligue 1,1998,1998/1999
FC Girondins Bordeaux,Sylvain N'Diaye,22,Defensive Midfield,FC Martigues,"End of loanJun 30, 1998",in,Summer,0,Ligue 1,1998,1998/1999
FC Girondins Bordeaux,Kaba Diawara,22,Centre-Forward,Stade Rennais,"End of loanJun 1, 1998",in,Summer,0,Ligue 1,1998,1998/1999
FC Girondins Bordeaux,Ricardinho,22,Attacking Midfield,Corinthians,free transfer,out,Summer,NA,Ligue 1,1998,1998/1999
FC Girondins Bordeaux,Peter Luccin,19,Defensive Midfield,Marseille,?,out,Summer,NA,Ligue 1,1998,1998/1999
FC Girondins Bordeaux,Jean-Pierre Papin,34,Centre-Forward,Guingamp,?,out,Summer,NA,Ligue 1,1998,1998/1999
FC Girondins Bordeaux,Patrick Blondeau,30,Right-Back,Marseille,?,out,Summer,NA,Ligue 1,1998,1998/1999
FC Girondins Bordeaux,Yannick Quesnel,24,Goalkeeper,Cannes,?,out,Summer,NA,Ligue 1,1998,1998/1999
FC Girondins Bordeaux,Paulo Sérgio Gralak,28,Centre-Back,Istanbulspor,?,out,Summer,NA,Ligue 1,1998,1998/1999
FC Girondins Bordeaux,Marc Zanotti,22,Left Midfield,AS Nancy,loan transfer,out,Summer,NA,Ligue 1,1998,1998/1999
FC Lorient,David Bouard,21,Defensive Midfield,SM Caen,free transfer,in,Summer,NA,Ligue 1,1998,1998/1999
FC Lorient,Yannick Fischer,23,Centre-Back,Marseille,loan transfer,in,Summer,NA,Ligue 1,1998,1998/1999
FC Lorient,Ousmane Soumah,24,Centre-Forward,SC Bastia,loan transfer,in,Summer,NA,Ligue 1,1998,1998/1999
FC Lorient,Loïc Druon,26,Left-Back,LB Châteauroux,?,in,Summer,NA,Ligue 1,1998,1998/1999
FC Lorient,Pascal Bédrossian,23,Left Midfield,Stade Rennais,?,in,Summer,NA,Ligue 1,1998,1998/1999
FC Lorient,Ismaël Triki,30,Centre-Back,Lausanne-Sport,?,in,Summer,NA,Ligue 1,1998,1998/1999
FC Lorient,Stéphane Le Garrec,29,Goalkeeper,Stade Lavallois,?,in,Summer,NA,Ligue 1,1998,1998/1999
FC Lorient,Angelo Hugues,31,Goalkeeper,Guingamp,?,in,Summer,NA,Ligue 1,1998,1998/1999
