,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,Season
0,Kike López,es ESP,FW,Valladolid,19,1988,3,0,39,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2007-2008
1,Christian Abbiati,it ITA,GK,Atlético Madrid,30,1977,21,20,"1,804",20.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,2007-2008
2,Pato Abbondanzieri,ar ARG,GK,Getafe,34,1972,34,34,"3,046",33.8,0,0,0,0,0,3,1,0.00,0.00,0.00,0.00,0.00,Matches,2007-2008
3,Damià Abella,es ESP,"DF,MF",Betis,25,1982,26,24,"2,230",24.8,0,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,Matches,2007-2008
4,Éric Abidal,fr FRA,DF,Barcelona,27,1979,30,28,"2,523",28.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,2007-2008
5,Santiago Acasiete,pe PER,DF,Almería,29,1977,20,17,"1,373",15.3,2,0,2,0,0,3,1,0.13,0.00,0.13,0.13,0.13,Matches,2007-2008
6,Adriano,br BRA,"DF,MF",Sevilla,22,1984,27,23,"1,773",19.7,1,1,1,0,0,5,1,0.05,0.05,0.10,0.05,0.10,Matches,2007-2008
7,Aritz Aduriz,es ESP,FW,Athletic Club,26,1981,33,20,"1,942",21.6,7,4,6,1,1,4,0,0.32,0.19,0.51,0.28,0.46,Matches,2007-2008
8,Sergio Agüero,ar ARG,FW,Atlético Madrid,19,1988,37,35,"2,933",32.6,20,6,20,0,0,9,2,0.61,0.18,0.80,0.61,0.80,Matches,2007-2008
9,Alberto Aguilar,es ESP,"DF,MF",Getafe,23,1984,2,0,31,0.3,0,,0,0,,0,0,0.00,,,0.00,,Matches,2007-2008
10,Marcos Aguirre,ar ARG,MF,Valladolid,23,1984,8,3,342,3.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2007-2008
11,Pablo Aimar,ar ARG,MF,Zaragoza,27,1979,22,16,"1,443",16.0,0,2,0,0,0,4,0,0.00,0.12,0.12,0.00,0.12,Matches,2007-2008
12,David Albelda,es ESP,"DF,MF",Valencia,29,1977,15,11,"1,026",11.4,0,1,0,0,0,5,0,0.00,0.09,0.09,0.00,0.09,Matches,2007-2008
13,Alberto,es ESP,GK,Valladolid,38,1969,7,6,599,6.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2007-2008
14,Raúl Albiol,es ESP,DF,Valencia,21,1985,32,32,"2,863",31.8,1,0,1,0,0,7,1,0.03,0.00,0.03,0.03,0.03,Matches,2007-2008
15,Alexis,es ESP,DF,Valencia,21,1985,14,12,"1,028",11.4,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,2007-2008
16,Alexis,es ESP,DF,Valladolid,33,1974,11,6,576,6.4,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,2007-2008
17,Alejandro Alfaro,es ESP,"FW,MF",Sevilla,20,1986,2,0,4,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2007-2008
18,Iván Alonso,uy URU,FW,Real Murcia,28,1979,29,23,"2,030",22.6,10,3,7,3,3,6,0,0.44,0.13,0.58,0.31,0.44,Matches,2007-2008
19,Pablo Álvarez,es ESP,MF,Racing Sant,27,1980,18,10,971,10.8,1,1,1,0,0,3,1,0.09,0.09,0.19,0.09,0.19,Matches,2007-2008
20,Pablo Álvarez,es ESP,MF,La Coruña,27,1980,1,0,12,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2007-2008
21,Quique Álvarez,es ESP,DF,Recreativo,32,1975,11,9,722,8.0,0,0,0,0,0,5,1,0.00,0.00,0.00,0.00,0.00,Matches,2007-2008
22,Álvaro,br BRA,DF,Levante,29,1977,28,26,"2,297",25.5,3,0,3,0,0,10,1,0.12,0.00,0.12,0.12,0.12,Matches,2007-2008
23,Dani Alves,br BRA,"DF,MF",Sevilla,24,1983,33,33,"2,820",31.3,2,12,2,0,0,12,3,0.06,0.38,0.45,0.06,0.45,Matches,2007-2008
24,Diego Alves,br BRA,GK,Almería,22,1985,22,21,"1,957",21.7,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,2007-2008
26,Luis Amaranto Perea,co COL,DF,Atlético Madrid,28,1979,30,30,"2,605",28.9,0,0,0,0,0,15,0,0.00,0.00,0.00,0.00,0.00,Matches,2007-2008
27,Pablo Amo,es ESP,DF,La Coruña,29,1978,19,19,"1,691",18.8,3,0,3,0,0,3,1,0.16,0.00,0.16,0.16,0.16,Matches,2007-2008
28,Fernando Amorebieta,ve VEN,DF,Athletic Club,22,1985,34,34,"2,990",33.2,0,1,0,0,0,13,1,0.00,0.03,0.03,0.00,0.03,Matches,2007-2008
29,Juan Ángel Albín,uy URU,"FW,MF",Getafe,21,1986,30,17,"1,659",18.4,7,2,7,0,0,4,0,0.38,0.11,0.49,0.38,0.49,Matches,2007-2008
30,Miguel Ángel Angulo,es ESP,"FW,MF",Valencia,30,1977,16,9,867,9.6,2,0,2,0,0,2,0,0.21,0.00,0.21,0.21,0.21,Matches,2007-2008
31,José Ángel Crespo,es ESP,DF,Sevilla,20,1987,13,13,945,10.5,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,2007-2008
32,Miguel Ángel Moyá,es ESP,GK,Mallorca,23,1984,29,29,"2,558",28.4,0,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,Matches,2007-2008
33,Miguel Ángel,es ESP,MF,Levante,28,1978,23,18,"1,679",18.7,1,0,1,0,0,6,0,0.05,0.00,0.05,0.05,0.05,Matches,2007-2008
34,José Antonio Reyes,es ESP,MF,Atlético Madrid,23,1983,26,10,"1,146",12.7,0,2,0,0,0,5,2,0.00,0.16,0.16,0.00,0.16,Matches,2007-2008
35,Dudu Aouate,il ISR,GK,La Coruña,29,1977,28,28,"2,520",28.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,2007-2008
36,Dani Aquino,es ESP,"FW,MF",Real Murcia,17,1990,13,10,928,10.3,1,1,1,0,0,1,0,0.10,0.10,0.19,0.10,0.19,Matches,2007-2008
37,Juan Arango,ve VEN,MF,Mallorca,27,1980,38,34,"2,995",33.3,12,9,12,0,0,1,0,0.36,0.27,0.63,0.36,0.63,Matches,2007-2008
