,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,Season
0,Aymen Abdennour,tn TUN,DF,Valencia,26,1989,13,9,879,9.8,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches,2016-2017
1,Antonio Adán,es ESP,GK,Betis,29,1987,37,37,"3,330",37.0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Matches,2016-2017
2,Aritz Aduriz,es ESP,FW,Athletic Club,35,1981,32,27,"2,458",27.3,16,1,11,5,5,8,1,0.59,0.04,0.62,0.40,0.44,Matches,2016-2017
3,Akram Afif,qa QAT,MF,Sporting Gijón,19,1996,9,2,234,2.6,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,2016-2017
4,Rachid Aït-Atmane,dz ALG,MF,Sporting Gijón,23,1993,8,6,492,5.5,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,2016-2017
5,Javi Álamo,es ESP,"FW,MF",Osasuna,27,1988,2,0,13,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2016-2017
6,Jordi Alba,es ESP,DF,Barcelona,27,1989,26,21,"1,968",21.9,1,6,1,0,0,4,0,0.05,0.27,0.32,0.05,0.32,Matches,2016-2017
7,Raúl Albentosa,es ESP,DF,La Coruña,27,1988,27,26,"2,335",25.9,1,1,1,0,0,10,1,0.04,0.04,0.08,0.04,0.08,Matches,2016-2017
8,Paco Alcácer,es ESP,FW,Barcelona,22,1993,20,6,858,9.5,6,3,6,0,0,1,0,0.63,0.31,0.94,0.63,0.94,Matches,2016-2017
9,Paco Alcácer,es ESP,FW,Valencia,22,1993,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2016-2017
