,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,Season
36,Dudu Aouate,il ISR,GK,Mallorca,30,1977,14,14,"1,239",13.8,0,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,Matches,2008-2009
37,Apoño,es ESP,MF,Málaga,24,1984,32,30,"2,726",30.3,9,4,2,7,8,11,0,0.30,0.13,0.43,0.07,0.20,Matches,2008-2009
38,Carlos Aranda,es ESP,FW,Numancia,28,1980,20,14,"1,321",14.7,6,1,5,1,2,3,0,0.41,0.07,0.48,0.34,0.41,Matches,2008-2009
39,Juan Arango,ve VEN,MF,Mallorca,28,1980,37,35,"3,055",33.9,8,9,8,0,0,6,0,0.24,0.27,0.50,0.24,0.50,Matches,2008-2009
40,Daniel Aranzubia,es ESP,GK,La Coruña,28,1979,37,37,"3,323",36.9,0,0,0,0,0,3,1,0.00,0.00,0.00,0.00,0.00,Matches,2008-2009
41,Armando,es ESP,GK,Athletic Club,37,1971,2,2,180,2.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,2008-2009
42,Emiliano Armenteros,ar ARG,MF,Sevilla,22,1986,4,0,80,0.9,1,0,1,0,0,0,0,1.13,0.00,1.13,1.13,1.13,Matches,2008-2009
43,Francesc Arnau,es ESP,GK,Málaga,33,1975,13,13,"1,170",13.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2008-2009
44,César Arzo,es ESP,"DF,MF",Recreativo,22,1986,24,24,"2,160",24.0,1,0,1,0,0,10,0,0.04,0.00,0.04,0.04,0.04,Matches,2008-2009
45,Arzu,es ESP,"DF,MF",Betis,27,1981,34,34,"2,950",32.8,2,0,2,0,0,11,1,0.06,0.00,0.06,0.06,0.06,Matches,2008-2009
46,Sergio Asenjo,es ESP,GK,Valladolid,19,1989,23,23,"2,070",23.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,2008-2009
47,Paulo Assunção,br BRA,MF,Atlético Madrid,28,1980,34,34,"2,796",31.1,0,0,0,0,0,14,0,0.00,0.00,0.00,0.00,0.00,Matches,2008-2009
48,Mehmet Aurélio,tr TUR,MF,Betis,30,1977,29,29,"2,530",28.1,4,2,4,0,0,6,0,0.14,0.07,0.21,0.14,0.21,Matches,2008-2009
49,Gerard Autet,es ESP,DF,Sporting Gijón,29,1978,26,25,"2,199",24.4,1,0,1,0,0,7,1,0.04,0.00,0.04,0.04,0.04,Matches,2008-2009
50,César Azpilicueta,es ESP,"DF,MF",Osasuna,18,1989,36,36,"3,190",35.4,0,0,0,0,0,8,1,0.00,0.00,0.00,0.00,0.00,Matches,2008-2009
52,Marko Babić,hr CRO,"DF,MF",Betis,27,1981,2,1,106,1.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2008-2009
53,Nabil Baha,ma MAR,FW,Málaga,26,1981,36,35,"2,678",29.8,9,0,8,1,1,5,0,0.30,0.00,0.30,0.27,0.27,Matches,2008-2009
54,Mikel Balenziaga,es ESP,DF,Athletic Club,20,1988,24,21,"1,911",21.2,0,0,0,0,0,7,1,0.00,0.00,0.00,0.00,0.00,Matches,2008-2009
55,Salva Ballesta,es ESP,FW,Málaga,33,1975,14,5,588,6.5,5,0,5,0,0,2,1,0.77,0.00,0.77,0.77,0.77,Matches,2008-2009
56,Éver Banega,ar ARG,MF,Atlético Madrid,20,1988,24,5,788,8.8,1,0,1,0,0,4,2,0.11,0.00,0.11,0.11,0.11,Matches,2008-2009
57,Javier Baraja,es ESP,"DF,MF",Valladolid,27,1980,22,17,"1,615",17.9,1,0,0,1,1,3,0,0.06,0.00,0.06,0.00,0.00,Matches,2008-2009
58,Rubén Baraja,es ESP,MF,Valencia,33,1975,28,22,"1,853",20.6,3,0,3,0,0,13,0,0.15,0.00,0.15,0.15,0.15,Matches,2008-2009
59,Rafael Barber,es ESP,MF,Recreativo,27,1980,22,20,"1,664",18.5,0,0,0,0,0,8,0,0.00,0.00,0.00,0.00,0.00,Matches,2008-2009
60,José Barkero,es ESP,MF,Numancia,29,1979,37,34,"2,963",32.9,12,6,7,5,6,4,1,0.36,0.18,0.55,0.21,0.39,Matches,2008-2009
61,David Barral,es ESP,FW,Sporting Gijón,25,1983,35,19,"2,042",22.7,10,3,7,3,3,8,1,0.44,0.13,0.57,0.31,0.44,Matches,2008-2009
62,Iñaki Bea Jauregi,es ESP,DF,Valladolid,30,1978,17,14,"1,326",14.7,0,0,0,0,0,5,2,0.00,0.00,0.00,0.00,0.00,Matches,2008-2009
63,Edu Bedia,es ESP,MF,Racing Sant,19,1989,12,2,399,4.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2008-2009
64,David Belenguer,es ESP,DF,Getafe,35,1972,14,9,964,10.7,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Matches,2008-2009
65,Carlos Bellvís,es ESP,DF,Numancia,23,1985,28,15,"1,482",16.5,1,0,1,0,0,2,0,0.06,0.00,0.06,0.06,0.06,Matches,2008-2009
