,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches,Season
216,John Guidetti,se SWE,FW,Alavés,26,1992,22,6,631,7.0,2,1,2,0,0,2,0,0.29,0.14,0.43,0.29,0.43,1.8,1.8,0.6,2.4,0.26,0.09,0.35,0.26,0.35,Matches,2018-2019
217,Gerard Gumbau,es ESP,MF,Leganés,23,1994,16,13,"1,199",13.3,1,1,0,1,1,6,1,0.08,0.08,0.15,0.00,0.08,1.6,0.9,0.4,1.3,0.12,0.03,0.15,0.06,0.10,Matches,2018-2019
218,Serdar Gürler,tr TUR,"FW,MF",Huesca,26,1991,13,5,482,5.4,0,1,0,0,0,2,0,0.00,0.19,0.19,0.00,0.19,0.3,0.3,0.3,0.6,0.05,0.06,0.11,0.05,0.11,Matches,2018-2019
219,Gorka Guruzeta,es ESP,"FW,MF",Athletic Club,21,1996,6,0,50,0.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.1,0.12,0.09,0.21,0.12,0.21,Matches,2018-2019
220,Hacen,mr MTN,FW,Valladolid,20,1997,1,0,3,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,2018-2019
221,Munir El Haddadi,ma MAR,FW,Barcelona,22,1995,7,1,152,1.7,1,1,1,0,0,0,0,0.59,0.59,1.18,0.59,1.18,0.6,0.6,0.9,1.5,0.37,0.54,0.91,0.37,0.91,Matches,2018-2019
222,Munir El Haddadi,ma MAR,"FW,MF",Sevilla,22,1995,16,12,"1,042",11.6,5,1,5,0,0,2,0,0.43,0.09,0.52,0.43,0.52,4.0,4.0,1.1,5.0,0.34,0.09,0.43,0.34,0.43,Matches,2018-2019
223,Uche Henry Agbo,ng NGA,MF,Rayo Vallecano,22,1995,6,5,372,4.1,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.01,0.00,0.01,Matches,2018-2019
224,Mario Hermoso,es ESP,DF,Espanyol,23,1995,32,31,"2,806",31.2,3,0,3,0,0,7,0,0.10,0.00,0.10,0.10,0.10,1.8,1.8,0.1,1.9,0.06,0.00,0.06,0.06,0.06,Matches,2018-2019
225,Lucas Hernández,fr FRA,DF,Atlético Madrid,22,1996,14,13,"1,117",12.4,1,0,1,0,0,5,0,0.08,0.00,0.08,0.08,0.08,0.5,0.5,0.7,1.2,0.04,0.06,0.10,0.04,0.10,Matches,2018-2019
