club_name,player_name,age,position,club_involved_name,fee,transfer_movement,transfer_period,fee_cleaned,league_name,year,season
UC Sampdoria,Mirko Conte,29,Centre-Back,Messina Peloro,?,out,Summer,NA,Serie A,2004,2004/2005
UC Sampdoria,Thomas Job,19,Right Winger,Pescara,loan transfer,out,Summer,NA,Serie A,2004,2004/2005
UC Sampdoria,Luca Antonini,21,Left-Back,Modena,loan transfer,out,Summer,NA,Serie A,2004,2004/2005
UC Sampdoria,Atsushi Yanagisawa,27,Centre-Forward,Messina Peloro,loan transfer,out,Summer,NA,Serie A,2004,2004/2005
UC Sampdoria,Fabian Natale Valtolina,33,Left Winger,Without Club,-,out,Summer,0,Serie A,2004,2004/2005
UC Sampdoria,Nenad Sakic,33,Centre-Back,Retired,-,out,Summer,0,Serie A,2004,2004/2005
UC Sampdoria,Francesco Pedone,36,Right Midfield,Retired,-,out,Summer,0,Serie A,2004,2004/2005
UC Sampdoria,Cristian Zenoni,27,Right-Back,Juventus,"End of loanJun 30, 2004",out,Summer,0,Serie A,2004,2004/2005
UC Sampdoria,Antonio Floro Flores,21,Centre-Forward,Napoli,"End of loanJun 30, 2004",out,Summer,0,Serie A,2004,2004/2005
US Lecce,Aleksey Eremenko Jr.,21,Attacking Midfield,HJK Helsinki,€250Th.,in,Summer,0.25,Serie A,2004,2004/2005
US Lecce,Samuele Dalla Bona,23,Central Midfield,AC Milan,loan transfer,in,Summer,NA,Serie A,2004,2004/2005
US Lecce,Souleymane Diamoutene,21,Centre-Back,Perugia,?,in,Summer,NA,Serie A,2004,2004/2005
US Lecce,Sasa Bjelanovic,25,Centre-Forward,Genoa,?,in,Summer,NA,Serie A,2004,2004/2005
US Lecce,Francesco Marianini,25,Central Midfield,Triestina,?,in,Summer,NA,Serie A,2004,2004/2005
US Lecce,Alex Pinardi,23,Defensive Midfield,Atalanta BC,?,in,Summer,NA,Serie A,2004,2004/2005
US Lecce,Massimo Paci,26,Centre-Back,Ternana,?,in,Summer,NA,Serie A,2004,2004/2005
US Lecce,Babù,23,Right Winger,AC Venezia 1907,?,in,Summer,NA,Serie A,2004,2004/2005
US Lecce,Luca Anania,24,Goalkeeper,Avellino,?,in,Summer,NA,Serie A,2004,2004/2005
US Lecce,Alessandro Camisa,19,Centre-Back,Lecce U19,-,in,Summer,0,Serie A,2004,2004/2005
US Lecce,Javier Chevantón,23,Centre-Forward,Monaco,€10.00m,out,Summer,10,Serie A,2004,2004/2005
US Lecce,Aldo Osorio,30,Centre-Forward,CD Numancia,€500Th.,out,Summer,0.5,Serie A,2004,2004/2005
US Lecce,Max Tonetto,29,Left-Back,Sampdoria,free transfer,out,Summer,NA,Serie A,2004,2004/2005
US Lecce,Philippe Billy,22,Right-Back,RAEC Mons,free transfer,out,Summer,NA,Serie A,2004,2004/2005
US Lecce,Arnaud Kouyo,20,Centre-Back,RAEC Mons,loan transfer,out,Summer,NA,Serie A,2004,2004/2005
US Lecce,Cesare Bovo,21,Centre-Back,AS Roma,€10Th.,out,Summer,0.01,Serie A,2004,2004/2005
US Lecce,Djuric Winklaar,22,Left Midfield,AGOVV,?,out,Summer,NA,Serie A,2004,2004/2005
US Lecce,Carmine Nuzzaci,20,midfield,Retired,-,out,Summer,0,Serie A,2004,2004/2005
US Lecce,Sebastiano Siviglia,31,Centre-Back,Parma,"End of loanJun 30, 2004",out,Summer,0,Serie A,2004,2004/2005
US Lecce,Daniele Franceschini,28,Left Midfield,Chievo Verona,"End of loanJun 30, 2004",out,Summer,0,Serie A,2004,2004/2005
US Lecce,Wilfried Dalmat,21,Right Winger,Grenoble,"End of loanJun 30, 2004",out,Summer,0,Serie A,2004,2004/2005
US Lecce,Nicola Mariniello,27,Right Midfield,Foggia,"End of loanJun 30, 2004",out,Summer,0,Serie A,2004,2004/2005
US Lecce,Mariano Stendardo,21,Centre-Back,Napoli,"End of loanJun 30, 2004",out,Summer,0,Serie A,2004,2004/2005
US Lecce,Jorge Bolaño,27,Central Midfield,Parma,"End of loanJun 30, 2004",out,Summer,0,Serie A,2004,2004/2005
Atalanta BC,Demetrio Albertini,32,Defensive Midfield,Lazio,free transfer,in,Summer,NA,Serie A,2004,2004/2005
