club_name,player_name,age,position,club_involved_name,fee,transfer_movement,transfer_period,fee_cleaned,league_name,year,season
Chelsea FC,Eden Hazard,21,Left Winger,LOSC Lille,€35.00m,in,Summer,35,Premier League,2012,2012/2013
Chelsea FC,Oscar,20,Attacking Midfield,Internacional,€32.00m,in,Summer,32,Premier League,2012,2012/2013
Chelsea FC,Victor Moses,21,Right Midfield,Wigan,€11.50m,in,Summer,11.5,Premier League,2012,2012/2013
Chelsea FC,César Azpilicueta,22,Right-Back,Marseille,€8.80m,in,Summer,8.8,Premier League,2012,2012/2013
Chelsea FC,Marko Marin,23,Attacking Midfield,Werder Bremen,€8.00m,in,Summer,8,Premier League,2012,2012/2013
Chelsea FC,Thorgan Hazard,19,Left Winger,Lens,€500Th.,in,Summer,0.5,Premier League,2012,2012/2013
Chelsea FC,Lamisha Musonda,20,Central Midfield,RSC Anderlecht,?,in,Summer,NA,Premier League,2012,2012/2013
Chelsea FC,Nathaniel Chalobah,17,Defensive Midfield,Chelsea U18,-,in,Summer,0,Premier League,2012,2012/2013
Chelsea FC,Todd Kane,18,Right-Back,Chelsea U18,-,in,Summer,0,Premier League,2012,2012/2013
Chelsea FC,Anjur Osmanovic,17,Central Midfield,Chelsea U18,-,in,Summer,0,Premier League,2012,2012/2013
Chelsea FC,Nathaniel Chalobah,18,Defensive Midfield,Watford,"End of loanMay 31, 2013",in,Summer,0,Premier League,2012,2012/2013
Chelsea FC,Romelu Lukaku,20,Centre-Forward,West Brom,"End of loanMay 31, 2013",in,Summer,0,Premier League,2012,2012/2013
Chelsea FC,Josh McEachran,20,Central Midfield,Middlesbrough,"End of loanMay 31, 2013",in,Summer,0,Premier League,2012,2012/2013
Chelsea FC,Conor Clifford,20,Central Midfield,Portsmouth,"End of loanSep 16, 2012",in,Summer,0,Premier League,2012,2012/2013
Chelsea FC,Sam Hutchinson,23,Defensive Midfield,Nottm Forest,"End of loanMay 31, 2013",in,Summer,0,Premier League,2012,2012/2013
Chelsea FC,Kevin De Bruyne,21,Attacking Midfield,KRC Genk,"End of loanJun 30, 2012",in,Summer,0,Premier League,2012,2012/2013
Chelsea FC,Gaël Kakuta,21,Attacking Midfield,Dijon,"End of loanJun 30, 2012",in,Summer,0,Premier League,2012,2012/2013
Chelsea FC,Matej Delac,19,Goalkeeper,C. Budejovice,"End of loanJun 30, 2012",in,Summer,0,Premier League,2012,2012/2013
Chelsea FC,Ulises Dávila,21,Attacking Midfield,Vitesse,"End of loanJun 30, 2012",in,Summer,0,Premier League,2012,2012/2013
Chelsea FC,Raúl Meireles,29,Central Midfield,Fenerbahce,€10.00m,out,Summer,10,Premier League,2012,2012/2013
Chelsea FC,Kevin De Bruyne,21,Attacking Midfield,Werder Bremen,Loan fee:€450Th.,out,Summer,0.45,Premier League,2012,2012/2013
Chelsea FC,Bosingwa,29,Right-Back,QPR,free transfer,out,Summer,NA,Premier League,2012,2012/2013
Chelsea FC,Salomon Kalou,26,Left Winger,LOSC Lille,free transfer,out,Summer,NA,Premier League,2012,2012/2013
Chelsea FC,Didier Drogba,34,Centre-Forward,SH Shenhua,free transfer,out,Summer,NA,Premier League,2012,2012/2013
Chelsea FC,Conor Clifford,20,Central Midfield,Portsmouth,loan transfer,out,Summer,NA,Premier League,2012,2012/2013
Chelsea FC,Gaël Kakuta,21,Attacking Midfield,Vitesse,loan transfer,out,Summer,NA,Premier League,2012,2012/2013
Chelsea FC,Sam Hutchinson,23,Defensive Midfield,Nottm Forest,loan transfer,out,Summer,NA,Premier League,2012,2012/2013
Chelsea FC,Josh McEachran,19,Central Midfield,Middlesbrough,loan transfer,out,Summer,NA,Premier League,2012,2012/2013
